## 1
## 예컨대 유대치는 이동인의 소개를 받아 직접 오촌의 원산 포교당으로 찾아갔다.
## 예컨대 <유대치:PER>는 <이동인:PER>의 소개를 받아 직접 <오촌:LOC>의 <원산 포교당:LOC>으로 찾아갔다.
예컨대	예컨데	MAG	O
_	_	_	O
유대치	유대치	NNP	B-PER
는	는	JX	O
_	_	_	O
이동인	이동인	NNP	B-PER
의	의	JKG	O
_	_	_	O
소개	소개	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
오촌	오촌	NNG	B-LOC
의	의	JKG	O
_	_	_	O
원산	원산	NNP	B-LOC
_	_	_	I-LOC
포교당	포교당	NNG	I-LOC
으로	으로	JKB	O
_	_	_	O
찾아갔	찾아가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 시진핑(習近平) 중국 국가주석이 3일 전승절 70주년 열병식에서 병력을 230만 명에서 30만 명 감축하겠다고 선언했으나 국방 예산은 크게 늘어날 것이라는 전망이 나왔다.
## <시진핑:PER>(<習近平:PER>) <중국:ORG> 국가주석이 <3일 전승절 :DAT><70주년:NOH> 열병식에서 병력을 <230만 명:NOH>에서 <30만 명:NOH> 감축하겠다고 선언했으나 국방 예산은 크게 늘어날 것이라는 전망이 나왔다.
시진핑	시진핑	NNP	B-PER
(	(	SS	O
習近平	習近平	SH	B-PER
)	)	SS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
국가주석	국가주석	NNG	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	I-DAT
전승	전승	NNG	I-DAT
절	절	NNG	I-DAT
_	_	_	I-DAT
70	70	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
열병식	열병식	NNG	O
에서	에서	JKB	O
_	_	_	O
병력	병력	NNG	O
을	을	JKO	O
_	_	_	O
230	230	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
30	30	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
감축하	감축하	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
국방	국방	NNG	O
_	_	_	O
예산	예산	NNG	O
은	은	JX	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
늘어날	늘어나+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
