## 1
## 서태종 금감원 수석부원장은 “많은 국민이 쓰지 않는 계좌를 해지하고 싶어도 자신의 금융계좌가 어느 회사 것인지 조차 파악하기 곤란한 경우가 많다”며 “이런 휴면계좌가 대포 통장에 악용되고 ‘잠자는 돈’이 계속 나오면서 국민이 금융재산을 손실보고 있다”고 말했다.
## <서태종:PER> <금감원:ORG> 수석부원장은 “많은 국민이 쓰지 않는 계좌를 해지하고 싶어도 자신의 금융계좌가 어느 회사 것인지 조차 파악하기 곤란한 경우가 많다”며 “이런 휴면계좌가 대포 통장에 악용되고 ‘잠자는 돈’이 계속 나오면서 국민이 금융재산을 손실보고 있다”고 말했다.
서태종	서태종	NNP	B-PER
_	_	_	O
금감원	금감원	NNG	B-ORG
_	_	_	O
수석	수석	NNG	O
부원장	부원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
국민	국민	NNG	O
이	이	JKS	O
_	_	_	O
쓰	쓰	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
계좌	계좌	NNG	O
를	를	JKO	O
_	_	_	O
해지	해지	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
어도	어도	EC	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
금융	금융	NNG	O
계좌	계좌	NNG	O
가	가	JKS	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
회사	회사	NNG	O
_	_	_	O
것	것	NNB	O
인지	이+ㄴ지	VCP+EC	O
_	_	_	O
조차	조차	JX	O
_	_	_	O
파악하	파악하	VV	O
기	기	ETN	O
_	_	_	O
곤란한	곤란하+ㄴ	VA+ETM	O
_	_	_	O
경우	경우	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이런	이런	MM	O
_	_	_	O
휴면	휴면	NNG	O
계좌	계좌	NNG	O
가	가	JKS	O
_	_	_	O
대포	대포	NNG	O
_	_	_	O
통장	통장	NNG	O
에	에	JKB	O
_	_	_	O
악용되	악용되	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
잠자	잠자	VV	O
는	는	ETM	O
_	_	_	O
돈	돈	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
나오	나오	VV	O
면서	면서	EC	O
_	_	_	O
국민	국민	NNG	O
이	이	JKS	O
_	_	_	O
금융	금융	NNG	O
재산	재산	NNG	O
을	을	JKO	O
_	_	_	O
손실	손실	NNG	O
보	보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 공무원 조직의 경직성을 걷어내고 자유로운 분위기 속에서 직원들의 창의성을 펼치도록 분위기를 북돋워주는 서초구청의 업무 분위기도 한껏 추겨 세웠다.
## 공무원 조직의 경직성을 걷어내고 자유로운 분위기 속에서 직원들의 창의성을 펼치도록 분위기를 북돋워주는 <서초구청:ORG>의 업무 분위기도 한껏 추겨 세웠다.
공무원	공무원	NNG	O
_	_	_	O
조직	조직	NNG	O
의	의	JKG	O
_	_	_	O
경직성	경직성	NNG	O
을	을	JKO	O
_	_	_	O
걷	걷	VV	O
어	어	EC	O
내	내	VX	O
고	고	EC	O
_	_	_	O
자유로	자유롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
분위기	분위기	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
창의성	창의성	NNG	O
을	을	JKO	O
_	_	_	O
펼치	펼치	VV	O
도록	도록	EC	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
북돋	북돋우	VV	O
워	어	EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
서초	서초	NNP	B-ORG
구청	구청	NNG	I-ORG
의	의	JKG	O
_	_	_	O
업무	업무	NNG	O
_	_	_	O
분위기	분위기	NNG	O
도	도	JX	O
_	_	_	O
한껏	한껏	MAG	O
_	_	_	O
추겨	추기+어	VV+EC	O
_	_	_	O
세	세우	VV	O
