## 1
## 지난 21일 방송된 JTBC ‘백인백곡-끝까지 간다’에는 과거 그룹 씨야에서 메인 보컬로 활동했던 가수 김연지가 출연해 화제를 모았다.
## 지난 <21일:DAT> 방송된 <JTBC:POH> ‘<백인백곡-끝까지 간다:POH>’에는 과거 그룹 <씨야:ORG>에서 메인 보컬로 활동했던 가수 <김연지:PER>가 출연해 화제를 모았다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
JTBC	JTBC	SL	B-POH
_	_	_	O
‘	‘	SS	O
백인	백인	NNG	B-POH
백곡	백곡	NNG	I-POH
-	-	SO	I-POH
끝	끝	NNG	I-POH
까지	까지	JX	I-POH
_	_	_	I-POH
간다	가+ㄴ다	VV+EF	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
씨야	씨야	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
메인	메인	NNG	O
_	_	_	O
보컬	보컬	NNG	O
로	로	JKB	O
_	_	_	O
활동	활동하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
김연지	김연지	NNP	B-PER
가	가	JKS	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
화제	화제	NNG	O
를	를	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이날 4년 만에 솔로로 돌아온 김연지는 박정현의 ‘꿈에’를 열창했다.
## 이날 <4년:DUR> 만에 솔로로 돌아온 <김연지:PER>는 <박정현:PER>의 ‘<꿈에:POH>’를 열창했다.
이날	이날	NNG	O
_	_	_	O
4	4	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
솔로	솔로	NNG	O
로	로	JKB	O
_	_	_	O
돌아온	돌아오+ㄴ	VV+ETM	O
_	_	_	O
김연지	김연지	NNP	B-PER
는	는	JX	O
_	_	_	O
박정현	박정현	NNP	B-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
꿈	꿈	NNG	B-POH
에	에	JKB	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
열창	열창하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 남아공월드컵 직전인 2010년 6월을 마지막으로 한 번도 1위에 오르지 못했던 브라질은 6년10개월 만에 왕좌를 되찾았다.
## <남아공월드컵:POH> 직전인 <2010년 6월:DAT>을 마지막으로 <한 번:NOH>도 <1위:NOH>에 오르지 못했던 <브라질:ORG>은 <6년10개월:DUR> 만에 왕좌를 되찾았다.
남아공	남아공	NNP	B-POH
월드컵	월드컵	NNG	I-POH
_	_	_	O
직전	직전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
을	을	JKO	O
_	_	_	O
마지막	마지막	NNG	O
으로	으로	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
도	도	JX	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
오르	오르	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
브라질	브라질	NNP	B-ORG
은	은	JX	O
_	_	_	O
6	6	SN	B-DUR
년	년	NNB	I-DUR
10	10	SN	I-DUR
개월	개월	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
왕좌	왕좌	NNG	O
를	를	JKO	O
_	_	_	O
되찾	되찾	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 트레더티셔츠는 멜란지 소재와 메시 원단을 사용해 바람이 잘 통한다.
## <트레더티셔츠:ORG>는 멜란지 소재와 메시 원단을 사용해 바람이 잘 통한다.
트레	트레	NNG	B-ORG
더	더	NNP	I-ORG
티셔츠	티셔츠	NNG	I-ORG
는	는	JX	O
_	_	_	O
멜	멜	NNP	O
란	란	NNG	O
지	지	XSN	O
_	_	_	O
소재	소재	NNG	O
와	와	JC	O
_	_	_	O
메시	메시	NNP	O
_	_	_	O
원단	원단	NNG	O
을	을	JKO	O
_	_	_	O
사용해	사용하+여	VV+EC	O
_	_	_	O
바람	바람	NNG	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
통한다	통하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 한국은 세계무대에서 당당히 경쟁할 수 있는 높은 수준의 의료와 IT를 보유하고 있다.
## <한국:ORG>은 세계무대에서 당당히 경쟁할 수 있는 높은 수준의 의료와 IT를 보유하고 있다.
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
세계무대	세계무대	NNG	O
에서	에서	JKB	O
_	_	_	O
당당히	당당히	MAG	O
_	_	_	O
경쟁할	경쟁하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
수준	수준	NNG	O
의	의	JKG	O
_	_	_	O
의료	의료	NNG	O
와	와	JC	O
_	_	_	O
IT	IT	SL	O
를	를	JKO	O
_	_	_	O
보유하	보유하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 실제 고향이 드라마 촬영지인 강원도 태백이라는 사실까지 화제가 될 정도였다.
## 실제 고향이 드라마 촬영지인 <강원도 태백:LOC>이라는 사실까지 화제가 될 정도였다.
실제	실제	NNG	O
_	_	_	O
고향	고향	NNG	O
이	이	JKS	O
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
촬영	촬영	NNG	O
지인	지인	NNG	O
_	_	_	O
강원도	강원도	NNP	B-LOC
_	_	_	I-LOC
태백	태백	NNP	I-LOC
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
사실	사실	NNG	O
까지	까지	JX	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
정도	정도+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 금성출판사에서는 LA지사장, 상무이사를 거쳤고 교과서 회사인 (주)캠프를 설립해 현재 사장을 겸하고 있다.
