## 1
## 1980년대만 해도 논밭이 있던 작은 시골 마을. 마을 앞 개울이 서리서리 굽이쳐 흐른다고 해서 서래마을로 불렸던 곳. 이 마을이 바로 서울의 대표 고급 주거지로 자리매김한 서초구 반포4동 일대 서래마을이다.
## <1980년대:DUR>만 해도 논밭이 있던 작은 시골 마을. 마을 앞 개울이 서리서리 굽이쳐 흐른다고 해서 <서래마을:LOC>로 불렸던 곳. 이 마을이 바로 <서울:LOC>의 대표 고급 주거지로 자리매김한 <서초구:LOC> <반포4동:LOC> 일대 <서래마을:LOC>이다.
1980	1980	SN	B-DUR
년대	년대	NNB	I-DUR
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
논밭	논밭	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
시골	시골	NNG	O
_	_	_	O
마을	마을	NNG	O
.	.	SF	O
_	_	_	O
마을	마을	NNG	O
_	_	_	O
앞	앞	NNG	O
_	_	_	O
개울	개울	NNG	O
이	이	JKS	O
_	_	_	O
서리서리	서리서리	MAG	O
_	_	_	O
굽이쳐	굽이치+어	VV+EC	O
_	_	_	O
흐른다고	흐르+ㄴ다고	VV+EC	O
_	_	_	O
해서	하+여서	VV+EC	O
_	_	_	O
서래	서래	NNP	B-LOC
마을	마을	NNG	I-LOC
로	로	JKB	O
_	_	_	O
불	불리	VV	O
렸	었	EP	O
던	던	ETM	O
_	_	_	O
곳	곳	NNG	O
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
마을	마을	NNG	O
이	이	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
고급	고급	NNG	O
_	_	_	O
주거지	주거지	NNG	O
로	로	JKB	O
_	_	_	O
자리매김	자리매김	NNG	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
서초구	서초구	NNP	B-LOC
_	_	_	O
반포	반포	NNP	B-LOC
4	4	SN	I-LOC
동	동	NNG	I-LOC
_	_	_	O
일대	일대	NNG	O
_	_	_	O
서래	서래	NNP	B-LOC
마을	마을	NNG	I-LOC
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## “나이 차이와 상관없이 친구가 된다”는 염정아의 말처럼 김영애는 누구보다 ‘사람’을 좋아했다.
## “나이 차이와 상관없이 친구가 된다”는 <염정아:PER>의 말처럼 <김영애:PER>는 누구보다 ‘사람’을 좋아했다.
“	“	SS	O
나이	나이	NNG	O
_	_	_	O
차이	차이	NNG	O
와	와	JKB	O
_	_	_	O
상관없이	상관없이	MAG	O
_	_	_	O
친구	친구	NNG	O
가	가	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
염정아	염정아	NNP	B-PER
의	의	JKG	O
_	_	_	O
말	말	NNG	O
처럼	처럼	JKB	O
_	_	_	O
김영애	김영애	NNP	B-PER
는	는	JX	O
_	_	_	O
누구	누구	NP	O
보다	보다	JKB	O
_	_	_	O
‘	‘	SS	O
사람	사람	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
좋아	좋아하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 시간 관련 추가취업 가능자는 주당 36시간 미만으로 근무하면서 추가취업을 희망하는 사람을 일컫는다.
## 시간 관련 추가취업 가능자는 주당 <36시간:TIM> 미만으로 근무하면서 추가취업을 희망하는 사람을 일컫는다.
시간	시간	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
추가	추가	NNG	O
취업	취업	NNG	O
_	_	_	O
가능	가능	NNG	O
자	자	NNB	O
는	는	JX	O
_	_	_	O
주	주	NNG	O
당	당	XSN	O
_	_	_	O
36	36	SN	B-TIM
시간	시간	NNB	I-TIM
_	_	_	O
미만	미만	NNG	O
으로	으로	JKB	O
_	_	_	O
근무하	근무하	VV	O
면서	면서	EC	O
_	_	_	O
추가	추가	NNG	O
취업	취업	NNG	O
을	을	JKO	O
_	_	_	O
희망하	희망하	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
을	을	JKO	O
_	_	_	O
일컫	일컫	VV	O
는다	는다	EF	O
.	.	SF	O

## 4
## 이날 기재부는 국내 기업들의 이란 진출을 돕기 위해 ‘이란 교역·투자 지원센터’를 열고 업무를 시작했다고 밝혔다.
## 이날 <기재부:ORG>는 국내 기업들의 <이란:LOC> 진출을 돕기 위해 ‘<이란 교역·투자 지원센터:ORG>’를 열고 업무를 시작했다고 밝혔다.
이날	이날	NNG	O
_	_	_	O
기재부	기재부	NNG	B-ORG
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
이	이	VCP	B-LOC
란	란	ETM	I-LOC
_	_	_	O
진출	진출	NNG	O
을	을	JKO	O
_	_	_	O
돕	돕	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
이	이	VCP	B-ORG
란	란	ETM	I-ORG
_	_	_	I-ORG
교역	교역	NNG	I-ORG
·	·	SP	I-ORG
투자	투자	NNG	I-ORG
_	_	_	I-ORG
지원	지원	NNG	I-ORG
센터	센터	NNG	I-ORG
’	’	SS	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
고	고	EC	O
_	_	_	O
업무	업무	NNG	O
를	를	JKO	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 민음사의 대표작 중 하나인 ‘세계문학전집’을 바탕으로 삼아 선보인 책들이다.
## <민음사:ORG>의 대표작 중 하나인 ‘<세계문학전집:POH>’을 바탕으로 삼아 선보인 책들이다.
민음사	민음사	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대표작	대표작	NNG	O
