## 1
## 기상청에 따르면 새해 들어 13일까지 서울을 비롯한 수도권에 눈이나 비가 내린 날은 2, 5, 6, 8, 10, 12, 13일 등 7일이나 된다.
## <기상청:ORG>에 따르면 새해 들어 <13일:DAT>까지 <서울:LOC>을 비롯한 수도권에 눈이나 비가 내린 날은 <2:DAT>, <5:DAT>, <6:DAT>, <8:DAT>, <10:DAT>, <12:DAT>, <13일:DAT> 등 <7일:NOH>이나 된다.
기상청	기상청	NNG	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
새해	새해	NNG	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
수도권	수도권	NNG	O
에	에	JKB	O
_	_	_	O
눈	눈	NNG	O
이나	이나	JC	O
_	_	_	O
비	비	NNG	O
가	가	JKS	O
_	_	_	O
내린	내리+ㄴ	VV+ETM	O
_	_	_	O
날	날	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-DAT
,	,	SP	O
_	_	_	O
5	5	SN	B-DAT
,	,	SP	O
_	_	_	O
6	6	SN	B-DAT
,	,	SP	O
_	_	_	O
8	8	SN	B-DAT
,	,	SP	O
_	_	_	O
10	10	SN	B-DAT
,	,	SP	O
_	_	_	O
12	12	SN	B-DAT
,	,	SP	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
등	등	NNB	O
_	_	_	O
7	7	SN	B-NOH
일	일	NNB	I-NOH
이나	이나	JX	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 지난해 이후 19차 당대회를 앞두고 지방 수장에 오른 즈장신쥔 인맥들은 차이치(蔡奇) 베이징(北京) 시장, 잉융(應勇) 상하이 시장, 리창(李强) 장쑤(江蘇) 성 서기 등 10명에 가깝다.
## 지난해 이후 <19차:NOH> 당대회를 앞두고 지방 수장에 오른 <즈장신쥔:ORG> 인맥들은 <차이치:PER>(<蔡奇:PER>) <베이징:ORG>(<北京:ORG>) 시장, <잉융:PER>(<應勇:PER>) <상하이:ORG> 시장, <리창:PER>(<李强:PER>) <장쑤(江蘇) 성:ORG> 서기 등 <10명:NOH>에 가깝다.
지난해	지난해	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
19	19	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
당대회	당대회	NNG	O
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
수장	수장	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
즈장신쥔	즈장신쥔	NNG	B-ORG
_	_	_	O
인맥	인맥	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
차이	차이	NNG	B-PER
치	치	XSN	I-PER
(	(	SS	O
蔡奇	蔡奇	SH	B-PER
)	)	SS	O
_	_	_	O
베이징	베이징	NNP	B-ORG
(	(	SS	O
北京	北京	SH	B-ORG
)	)	SS	O
_	_	_	O
시장	시장	NNG	O
,	,	SP	O
_	_	_	O
잉	잉	NNP	B-PER
융	융	NNP	I-PER
(	(	SS	O
應勇	應勇	SH	B-PER
)	)	SS	O
_	_	_	O
상하이	상하이	NNP	B-ORG
_	_	_	O
시장	시장	NNG	O
,	,	SP	O
_	_	_	O
리	리	NNB	B-PER
창	창	NNG	I-PER
(	(	SS	O
李强	李强	SH	B-PER
)	)	SS	O
_	_	_	O
장쑤	장쑤	NNG	B-ORG
(	(	SS	I-ORG
江蘇	江蘇	SH	I-ORG
)	)	SS	I-ORG
_	_	_	I-ORG
성	성	NNG	I-ORG
_	_	_	O
서기	서기	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
가깝	가깝	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 왜 ‘뻑’ 하면 당 지도부에게 책임을 묻느냐”, “대통령이 평소 의지하던 지인과 대화한 것뿐”, “지금은 국민이 아니라 언론과의 싸움”, “누구보다도 마음고생이 심할 대통령을 걱정하는 여론도 있다”는 취지로 박 대통령과 이 대표를 감쌌다.
## 왜 ‘뻑’ 하면 당 지도부에게 책임을 묻느냐”, “대통령이 평소 의지하던 지인과 대화한 것뿐”, “지금은 국민이 아니라 언론과의 싸움”, “누구보다도 마음고생이 심할 대통령을 걱정하는 여론도 있다”는 취지로 <박:PER> 대통령과 <이:PER> 대표를 감쌌다.
왜	왜	MAG	O
_	_	_	O
‘	‘	SS	O
뻑	뻑	MAG	O
