## 1
## 조범구 이사장은 “1974년 봄 중앙정보부에서 2명이 나를 찾아왔다.
## <조범구:PER> 이사장은 “<1974년:DAT> 봄 <중앙정보부:ORG>에서 <2명:NOH>이 나를 찾아왔다.
조범구	조범구	NNP	B-PER
_	_	_	O
이사장	이사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
1974	1974	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
봄	봄	NNG	O
_	_	_	O
중앙정보부	중앙정보부	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
나	나	NP	O
를	를	JKO	O
_	_	_	O
찾아	찾아오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 『거짓말이다』에 따르면 그는 민간 잠수사들을 제대로 지원하기는커녕 잠수사의 죽음에 대한 책임을 물어 이들을 법정에 세운, 애초에 대참사를 빚은 정부에 대한 분노가 컸다.
## 『<거짓말이다:POH>』에 따르면 그는 민간 잠수사들을 제대로 지원하기는커녕 잠수사의 죽음에 대한 책임을 물어 이들을 법정에 세운, 애초에 대참사를 빚은 정부에 대한 분노가 컸다.
『	『	SS	O
거짓말	거짓말	NNG	B-POH
이	이	VCP	I-POH
다	다	EF	I-POH
』	』	SS	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
민간	민간	NNG	O
_	_	_	O
잠수	잠수	NNG	O
사	사	XSN	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
지원하	지원하	VV	O
기	기	ETN	O
는커녕	는커녕	JX	O
_	_	_	O
잠수	잠수	NNG	O
사	사	XSN	O
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
물	묻	VV	O
어	어	EC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
법정	법정	NNG	O
에	에	JKB	O
_	_	_	O
세운	세우+ㄴ	VV+ETM	O
,	,	SP	O
_	_	_	O
애초	애초	NNG	O
에	에	JKB	O
_	_	_	O
대	대	XPN	O
참사	참사	NNG	O
를	를	JKO	O
_	_	_	O
빚	빚	VV	O
은	은	ETM	O
_	_	_	O
정부	정부	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
분노	분노	NNG	O
가	가	JKS	O
_	_	_	O
컸	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 美 호버보드 폭발 화재로 첫 사망자 발생…3살 여아 사망
## <美:LOC> 호버보드 폭발 화재로 첫 사망자 발생…<3살:NOH> 여아 사망
美	美	SH	B-LOC
_	_	_	O
호	호	NNB	O
버	버	NNG	O
보드	보드	NNG	O
_	_	_	O
폭발	폭발	NNG	O
_	_	_	O
화재	화재	NNG	O
로	로	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
사망자	사망자	NNG	O
_	_	_	O
발생	발생	NNG	O
…	…	SE	O
3	3	SN	B-NOH
살	살	NNB	I-NOH
_	_	_	O
여아	여아	NNG	O
_	_	_	O
사망	사망	NNG	O

## 4
## NHK에 의하면 초당파 의원 모임인 ‘다함께 야스쿠니신사에 참배하는 국회의원 모임’ 소속 의원 95명은 야스쿠니신사의 춘계 예대제(例大祭) 첫날을 맞아 이날 오전 8시께 야스쿠니신사를 집단 참배했다.
## <NHK:ORG>에 의하면 초당파 의원 모임인 ‘<다함께 야스쿠니신사에 참배하는 국회의원 모임:ORG>’ 소속 의원 <95명:NOH>은 <야스쿠니신사:LOC>의 춘계 예대제(例大祭) 첫날을 맞아 이날 <오전 8시:TIM>께 <야스쿠니신사:LOC>를 집단 참배했다.
NHK	NHK	SL	B-ORG
에	에	JKB	O
_	_	_	O
의하	의하	VV	O
면	면	EC	O
_	_	_	O
초당파	초당파	NNG	O
_	_	_	O
의원	의원	NNG	O
_	_	_	O
모임	모임	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
다	다	MAG	B-ORG
함께	함께	MAG	I-ORG
_	_	_	I-ORG
야스쿠니신사	야스쿠니신사	NNP	I-ORG
에	에	JKB	I-ORG
_	_	_	I-ORG
참배하	참배하	VV	I-ORG
는	는	ETM	I-ORG
_	_	_	I-ORG
국회의원	국회의원	NNG	I-ORG
_	_	_	I-ORG
모임	모임	NNG	I-ORG
’	’	SS	O
_	_	_	O
소속	소속	NNG	O
_	_	_	O
의원	의원	NNG	O
_	_	_	O
95	95	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
야스쿠니신사	야스쿠니신사	NNP	B-LOC
의	의	JKG	O
_	_	_	O
춘계	춘계	NNG	O
_	_	_	O
예	예	NNG	O
대제	대제	NNG	O
(	(	SS	O
例大祭	例大祭	SH	O
)	)	SS	O
_	_	_	O
첫날	첫날	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
8	8	SN	I-TIM
