## 1
## 슬픔 연관어를 분석해보면 ‘힘들다(11.4%)’는 단어가 눈에 띈다.
## 슬픔 연관어를 분석해보면 ‘힘들다(<11.4%:PNT>)’는 단어가 눈에 띈다.
슬픔	슬픔	NNG	O
_	_	_	O
연관	연관	NNG	O
어	어	XSN	O
를	를	JKO	O
_	_	_	O
분석해	분석하+여	VV+EC	O
보	보	VX	O
면	면	EC	O
_	_	_	O
‘	‘	SS	O
힘들	힘들	VA	O
다	다	EF	O
(	(	SS	O
11.4	11.4	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
는	는	JX	O
_	_	_	O
단어	단어	NNG	O
가	가	JKS	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
띈다	띄+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 또한 에스카다는 이번 시즌 봄기운이 물씬 느껴지는 다양한 플로럴 컬렉션을 선보인다.
## 또한 <에스카다:ORG>는 이번 시즌 봄기운이 물씬 느껴지는 다양한 플로럴 컬렉션을 선보인다.
또한	또한	MAG	O
_	_	_	O
에스카다	에스카다	NNP	B-ORG
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
봄기운	봄기운	NNG	O
이	이	JKS	O
_	_	_	O
물씬	물씬	MAG	O
_	_	_	O
느껴	느끼+어	VV+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
플로럴	플로럴	NNG	O
_	_	_	O
컬렉션	컬렉션	NNG	O
을	을	JKO	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 이원영 중앙대 유아교육과 명예교수는 “존댓말을 사용하면 상대방뿐 아니라 모두에게 좋은 결과를 가져온다”고 강조했다.
## <이원영:PER> <중앙대 유아교육과:ORG> 명예교수는 “존댓말을 사용하면 상대방뿐 아니라 모두에게 좋은 결과를 가져온다”고 강조했다.
이원영	이원영	NNP	B-PER
_	_	_	O
중앙대	중앙대	NNP	B-ORG
_	_	_	I-ORG
