## 1
## 현대차는 이르면 내년 말부터 장거리 운전이 잦은 상용차에 드라이버 스테이트 모니터링 시스템을 적용할 계획이다.
## <현대차:ORG>는 이르면 내년 말부터 장거리 운전이 잦은 상용차에 드라이버 스테이트 모니터링 시스템을 적용할 계획이다.
현대차	현대차	NNP	B-ORG
는	는	JX	O
_	_	_	O
이르	이르	VA	O
면	면	EC	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
말	말	NNB	O
부터	부터	JX	O
_	_	_	O
장거리	장거리	NNG	O
_	_	_	O
운전	운전	NNG	O
이	이	JKS	O
_	_	_	O
잦	잦	VA	O
은	은	ETM	O
_	_	_	O
상용차	상용차	NNG	O
에	에	JKB	O
_	_	_	O
드라이버	드라이버	NNG	O
_	_	_	O
스테이트	스테이트	NNG	O
_	_	_	O
모니터링	모니터링	NNG	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
적용할	적용하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 지자체 부채 증가율은 2013년 1.7%에서 지난해 7.2%로 크게 높아졌다.
## 지자체 부채 증가율은 <2013년:DAT> <1.7%:PNT>에서 지난해 <7.2%:PNT>로 크게 높아졌다.
지자체	지자체	NNG	O
_	_	_	O
부채	부채	NNG	O
_	_	_	O
증가율	증가율	NNG	O
은	은	JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1.7	1.7	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
7.2	7.2	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
높아	높아지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김우진은 32강전에서 탈락한 뒤 “환경을 탓하고 싶지는 않다”고 했다.
## <김우진:PER>은 <32강:NOH>전에서 탈락한 뒤 “환경을 탓하고 싶지는 않다”고 했다.
김우진	김우진	NNP	B-PER
은	은	JX	O
_	_	_	O
32	32	SN	B-NOH
강	강	NNG	I-NOH
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
탈락한	탈락하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
“	“	SS	O
환경	환경	NNG	O
을	을	JKO	O
_	_	_	O
탓하	탓하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
지	지	EC	O
는	는	JX	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 서울 소공동에 위치한 본점과 잠실점에 이어 전국에서 세 번째로 매출이 많은 지점이기도 하다.
## <서울:LOC> <소공동:LOC>에 위치한 본점과 잠실점에 이어 전국에서 세 번째로 매출이 많은 지점이기도 하다.
서울	서울	NNP	B-LOC
_	_	_	O
소공동	소공동	NNP	B-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
본점	본점	NNG	O
과	과	JC	O
_	_	_	O
잠실	잠실	NNP	O
점	점	XSN	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
전국	전국	NNG	O
에서	에서	JKB	O
_	_	_	O
세	세	MM	O
