## 1
## 최호열 기자 | honeypapa@donga.com <이 기사는 신동아｜11월호 에 실린 기사입니다.
## <최호열:PER> 기자 | <honeypapa@donga.com:POH> <이 기사는 <신동아:POH>｜<11월호:NOH> 에 실린 기사입니다.
최호열	최호열	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
|	|	SW	O
_	_	_	O
honeypapa	honeypapa	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
_	_	_	O
<	<	SS	O
이	이	MM	O
_	_	_	O
기사	기사	NNG	O
는	는	JX	O
_	_	_	O
신동아	신동아	NNP	B-POH
｜	｜	SW	O
11	11	SN	B-NOH
월	월	NNB	I-NOH
호	호	NNB	I-NOH
_	_	_	O
에	에	JKB	O
_	_	_	O
실린	실리+ㄴ	VV+ETM	O
_	_	_	O
기사	기사	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 2
## 과학철학 입문서인 이 책의 원제는 ‘과학의 의미(The Meaning of Science)’이다.
## 과학철학 입문서인 이 책의 원제는 ‘<과학의 의미:POH>(<The Meaning of Science:POH>)’이다.
과학	과학	NNG	O
철학	철학	NNG	O
_	_	_	O
입문서	입문서	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
책	책	NNG	O
의	의	JKG	O
_	_	_	O
원제	원제	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
과학	과학	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
의미	의미	NNG	I-POH
(	(	SS	O
The	The	SL	B-POH
_	_	_	I-POH
Meaning	Meaning	SL	I-POH
_	_	_	I-POH
of	of	SL	I-POH
_	_	_	I-POH
Science	Science	SL	I-POH
)	)	SS	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 현대 과학철학의 토대를 놓은 오스트리아 출신 영국 철학자 칼 포퍼(1902~1994)의 이야기로부터 책은 시작한다.
## 현대 과학철학의 토대를 놓은 <오스트리아:LOC> 출신 <영국:ORG> 철학자 <칼 포퍼:PER>(<1902~1994:DUR>)의 이야기로부터 책은 시작한다.
현대	현대	NNG	O
_	_	_	O
과학	과학	NNG	O
철학	철학	NNG	O
의	의	JKG	O
_	_	_	O
토대	토대	NNG	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
은	은	ETM	O
_	_	_	O
오스트리아	오스트리아	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	O
철학자	철학자	NNG	O
_	_	_	O
칼	칼	NNP	B-PER
_	_	_	I-PER
포퍼	포퍼	NNP	I-PER
(	(	SS	O
1902	1902	SN	B-DUR
~	~	SO	I-DUR
1994	1994	SN	I-DUR
)	)	SS	O
의	의	JKG	O
_	_	_	O
이야기	이야기	NNG	O
로부터	로부터	JKB	O
_	_	_	O
책	책	NNG	O
은	은	JX	O
_	_	_	O
시작한다	시작하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 염명배 충남대 경제학과 교수는 “영리를 목적으로 하는 기업의 의사 결정을 지자체가 ‘이래라저래라’ 하긴 어렵다”며 “기업이 나가는 걸 막기 위한 인센티브 제공과 지역경제 회복 방안을 마련해야 한다”고 말했다.
