## 1
## 두산과 니퍼트는 쉽사리 의견 차를 좁히지 못했다.
## <두산:ORG>과 <니퍼트:PER>는 쉽사리 의견 차를 좁히지 못했다.
두산	두산	NNP	B-ORG
과	과	JC	O
_	_	_	O
니퍼트	니퍼트	NNP	B-PER
는	는	JX	O
_	_	_	O
쉽사리	쉽사리	MAG	O
_	_	_	O
의견	의견	NNG	O
_	_	_	O
차	차	NNG	O
를	를	JKO	O
_	_	_	O
좁히	좁히	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 브루스 카스만 JP모건 수석이코노미스트는 “달러화 강세는 미국 제조업에 타격을 주고 디플레를 발생시킨다”고 말했다.
## <브루스 카스만:PER> <JP모건:ORG> 수석이코노미스트는 “달러화 강세는 <미국:LOC> 제조업에 타격을 주고 디플레를 발생시킨다”고 말했다.
브루스	브루스	NNP	B-PER
_	_	_	I-PER
카스	카스	NNG	I-PER
만	만	JX	I-PER
_	_	_	O
JP	JP	SL	B-ORG
모건	모건	NNP	I-ORG
_	_	_	O
수석	수석	NNG	O
이코노미스트	이코노미스트	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
달러화	달러화	NNG	O
_	_	_	O
강세	강세	NNG	O
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
제조업	제조업	NNG	O
에	에	JKB	O
_	_	_	O
타격	타격	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
_	_	_	O
디플레	디플레	NNG	O
를	를	JKO	O
_	_	_	O
발생	발생	NNG	O
시킨다	시키+ㄴ다	XSV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 작년 재산공개때 법원내 최저액인 6천여만원을 등록, 청렴성이 돋보였던 조무제부산고법부장판사는 예상대로 창원지법원장에 중용됐다.
## 작년 재산공개때 법원내 최저액인 <6천여만원:NOH>을 등록, 청렴성이 돋보였던 <조무제:PER>부산고법부장판사는 예상대로 창원지법원장에 중용됐다.
작년	작년	NNG	O
_	_	_	O
재산	재산	NNG	O
공개	공개	NNG	O
때	때	NNG	O
_	_	_	O
법원	법원	NNG	O
내	내	NNB	O
_	_	_	O
최저액	최저액	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
6	6	SN	B-NOH
천	천	NR	I-NOH
여	여	XSN	I-NOH
만	만	NR	I-NOH
원	원	NNB	I-NOH
을	을	JKO	O
_	_	_	O
등록	등록	NNG	O
,	,	SP	O
_	_	_	O
청렴	청렴	NNG	O
성	성	XSN	O
이	이	JKS	O
_	_	_	O
돋보	돋보이	VV	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
조무제	조무제	NNP	B-PER
부산고법	부산고법	NNP	O
부장	부장	NNG	O
판사	판사	NNG	O
는	는	JX	O
_	_	_	O
예상	예상	NNG	O
대로	대로	JX	O
_	_	_	O
창원	창원	NNP	O
지법	지법	NNG	O
원장	원장	NNG	O
에	에	JKB	O
_	_	_	O
중용	중용되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## '캡틴 아메리카:시빌워(이하 시빌워)'에 이어 '인피니티 워'의 연출을 맡은 조 루소 감독은 북미 웹진 IGN과의 인터뷰에서 ''인피니티 워'는 마블 시네마틱 유니버스의 정점이 될 것'이라고 밝혔다.
## '<캡틴 아메리카:시빌워:POH>(이하 <시빌워:POH>)'에 이어 '<인피니티 워:POH>'의 연출을 맡은 <조 루소:PER> 감독은 <북미:LOC> 웹진 <IGN:ORG>과의 인터뷰에서 ''<인피니티 워:POH>'는 <마블 시네마틱 유니버스:POH>의 정점이 될 것'이라고 밝혔다.
'	'	SS	O
캡틴	캡틴	NNG	B-POH
_	_	_	I-POH
아메리카	아메리카	NNP	I-POH
:	:	SP	I-POH
시빌	시빌	NNP	I-POH
워	워	NNG	I-POH
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
시빌	시빌	NNP	B-POH
워	워	NNG	I-POH
)	)	SS	O
'	'	SS	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
'	'	SS	O
인피니티	인피니티	NNP	B-POH
_	_	_	I-POH
워	워	NNG	I-POH
'	'	SS	O
의	의	JKG	O
_	_	_	O
연출	연출	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
조	조	NNG	B-PER
_	_	_	I-PER
루소	루소	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
북미	북미	NNP	B-LOC
_	_	_	O
웹진	웹진	NNG	O
_	_	_	O
IGN	IGN	SL	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
'	'	SS	O
'	'	SS	O
인피니티	인피니티	NNP	B-POH
_	_	_	I-POH
워	워	NNG	I-POH
'	'	SS	O
는	는	JX	O
_	_	_	O
마블	마블	NNG	B-POH
_	_	_	I-POH
시네마	시네마	NNG	I-POH
틱	틱	NNG	I-POH
_	_	_	I-POH
유니버스	유니버스	NNG	I-POH
의	의	JKG	O
_	_	_	O
정점	정점	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
'	'	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
