## 1
## 그동안 더블린 규약은 이탈리아, 그리스, 헝가리 등 EU 외부와 국경을 맞대고 있는 국가들에만 부담을 지우고 독일 영국 등 국경이 맞닿아 있지 않은 다른 국가들에는 난민 입국을 거부할 수 있는 근거가 돼 왔다.
## 그동안 <더블린 규약:POH>은 <이탈리아:ORG>, <그리스:ORG>, <헝가리:ORG> 등 <EU:ORG> 외부와 국경을 맞대고 있는 국가들에만 부담을 지우고 <독일:ORG> <영국:ORG> 등 국경이 맞닿아 있지 않은 다른 국가들에는 난민 입국을 거부할 수 있는 근거가 돼 왔다.
그동안	그동안	NNG	O
_	_	_	O
더블린	더블린	NNP	B-POH
_	_	_	I-POH
규약	규약	NNG	I-POH
은	은	JX	O
_	_	_	O
이탈리아	이탈리아	NNP	B-ORG
,	,	SP	O
_	_	_	O
그리스	그리스	NNP	B-ORG
,	,	SP	O
_	_	_	O
헝가리	헝가리	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
EU	EU	SL	B-ORG
_	_	_	O
외부	외부	NNG	O
와	와	JC	O
_	_	_	O
국경	국경	NNG	O
을	을	JKO	O
_	_	_	O
맞대	맞대	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
부담	부담	NNG	O
을	을	JKO	O
_	_	_	O
지우	지우	VV	O
고	고	EC	O
_	_	_	O
독일	독일	NNP	B-ORG
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
국경	국경	NNG	O
이	이	JKS	O
_	_	_	O
맞닿	맞닿	VV	O
아	아	EC	O
_	_	_	O
있	있	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
난민	난민	NNG	O
_	_	_	O
입국	입국	NNG	O
을	을	JKO	O
_	_	_	O
거부할	거부하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
근거	근거	NNG	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김진현은 4일 호주 시드니에서 열린 사우디아라비아와의 평가전에 선발 출장했다.
