## 1
## 29일 관계자에 따르면 애니메이션 ‘쿵푸팬더3’ 홍보 차 내년 1월 20일 내한하는 잭 블랙이 ‘무한도전’ 출연을 논의 중이다.
## <29일:DAT> 관계자에 따르면 애니메이션 ‘<쿵푸팬더3:POH>’ 홍보 차 내년 <1월 20일:DAT> 내한하는 <잭 블랙:PER>이 ‘<무한도전:POH>’ 출연을 논의 중이다.
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
관계자	관계자	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
애니메이션	애니메이션	NNG	O
_	_	_	O
‘	‘	SS	O
쿵푸	쿵푸	NNG	B-POH
팬더	팬더	NNG	I-POH
3	3	SN	I-POH
’	’	SS	O
_	_	_	O
홍보	홍보	NNG	O
_	_	_	O
차	차	NNB	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
20	20	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
내한하	내한하	VV	O
는	는	ETM	O
_	_	_	O
잭	잭	NNP	B-PER
_	_	_	I-PER
블랙	블랙	NNG	I-PER
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
_	_	_	O
출연	출연	NNG	O
을	을	JKO	O
_	_	_	O
논의	논의	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 관계자는 “잭 블랙의 ‘무한도전’ 출연이 아직 확정된 것은 아니다.
## 관계자는 “<잭 블랙:PER>의 ‘<무한도전:POH>’ 출연이 아직 확정된 것은 아니다.
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
잭	잭	NNP	B-PER
_	_	_	I-PER
블랙	블랙	NNP	I-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
_	_	_	O
출연	출연	NNG	O
이	이	JKS	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
확정된	확정되+ㄴ	VV+ETM	O
