## 1
## 9·11 테러와 IS(이슬람 수니파 무장단체)의 득세 등을 예언한 점성술가가 생전에 “흑인이 미국의 마지막 대통령이 될 것”이라고 말한 것이 화제가 되고 있다.
## <9·11 테러:POH>와 <IS:ORG>(<이슬람 수니파 무장단체:ORG>)의 득세 등을 예언한 점성술가가 생전에 “흑인이 <미국:ORG>의 마지막 대통령이 될 것”이라고 말한 것이 화제가 되고 있다.
9	9	SN	B-POH
·	·	SP	I-POH
11	11	SN	I-POH
_	_	_	I-POH
테러	테러	NNG	I-POH
와	와	JC	O
_	_	_	O
IS	IS	SL	B-ORG
(	(	SS	O
이슬람	이슬람	NNG	B-ORG
_	_	_	I-ORG
수니파	수니파	NNG	I-ORG
_	_	_	I-ORG
무장	무장	NNG	I-ORG
단체	단체	NNG	I-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
득세	득세	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
예언한	예언하+ㄴ	VV+ETM	O
_	_	_	O
점성술	점성술	NNG	O
가	가	XSN	O
가	가	JKS	O
_	_	_	O
생전	생전	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
흑인	흑인	NNG	O
이	이	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 최근 영국 메트로 등은 ‘발칸반도의 노스트라다무스’라 불리던 바바 반가의 이같은 예언에 이 흑인 대통령이 현 미국 대통령인 버락 오바마 대통령이 아니냐는 추측을 내놓고 있다.
## 최근 <영국 메트로:POH> 등은 ‘<발칸반도의 노스트라다무스:PER>’라 불리던 <바바 반가:PER>의 이같은 예언에 이 흑인 대통령이 현 <미국:ORG> 대통령인 <버락 오바마:PER> 대통령이 아니냐는 추측을 내놓고 있다.
최근	최근	NNG	O
_	_	_	O
영국	영국	NNP	B-POH
_	_	_	I-POH
메트로	메트로	NNG	I-POH
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
발칸반도	발칸반도	NNP	B-PER
의	의	JKG	I-PER
_	_	_	I-PER
노스트라다무스	노스트라다무스	NNP	I-PER
’	’	SS	O
라	라	JKQ	O
_	_	_	O
불리	불리	VV	O
던	던	ETM	O
_	_	_	O
바바	바바	NNP	B-PER
_	_	_	I-PER
반가	반가	NNG	I-PER
의	의	JKG	O
_	_	_	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
예언	예언	NNG	O
에	에	JKB	O
_	_	_	O
이	이	MM	O
_	_	_	O
흑인	흑인	NNG	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
현	현	MM	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
냐는	냐는	ETM	O
_	_	_	O
추측	추측	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 슈틸리케 감독은 쿠웨이트전을 포함해 15승3무3패를 기록했다.
## <슈틸리케:PER> 감독은 <쿠웨이트전:POH>을 포함해 <15승:NOH><3무:NOH><3패:NOH>를 기록했다.
슈틸리케	슈틸리케	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
