## 1
## 그러나 김희진의 세리머니가 본격 도마 위에 오른 건 올스타전이 끝난 이후부터였다.
## 그러나 <김희진:PER>의 세리머니가 본격 도마 위에 오른 건 올스타전이 끝난 이후부터였다.
그러나	그러나	MAJ	O
_	_	_	O
김희진	김희진	NNP	B-PER
의	의	JKG	O
_	_	_	O
세리머니	세리머니	NNG	O
가	가	JKS	O
_	_	_	O
본격	본격	NNG	O
_	_	_	O
도마	도마	NNG	O
_	_	_	O
위	위	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
올스타	올스타	NNG	O
전	전	XSN	O
이	이	JKS	O
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
부터	부터+이	JX+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 함께 출연한 세월호 변호사, 박주민 더불어민주당 의원도 “(문을 떼냄으로 인해) 그 사실여부에 대한 검증이 어려워지는 것이 있어서 전문가들은 어쩔 수 없이 떼내더라도 잠금장치 부분 이런 걸 사진을 좀 촬영해 둬서 이후에 진상규명할 때 증거로 쓸 수 있게 해야 된다는 이야기들을 많이 하고 있다”고 밝혔다.
## 함께 출연한 <세월호:POH> 변호사, <박주민:PER> <더불어민주당:ORG> 의원도 “(문을 떼냄으로 인해) 그 사실여부에 대한 검증이 어려워지는 것이 있어서 전문가들은 어쩔 수 없이 떼내더라도 잠금장치 부분 이런 걸 사진을 좀 촬영해 둬서 이후에 진상규명할 때 증거로 쓸 수 있게 해야 된다는 이야기들을 많이 하고 있다”고 밝혔다.
함께	함께	MAG	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
변호사	변호사	NNG	O
,	,	SP	O
_	_	_	O
박주민	박주민	NNP	B-PER
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
의원	의원	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
(	(	SS	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
떼	떼+어	VV+EC	O
냄	내+ㅁ	VX+ETN	O
으로	으로	JKB	O
_	_	_	O
인해	인하+여	VV+EF	O
)	)	SS	O
_	_	_	O
그	그	MM	O
_	_	_	O
사실	사실	NNG	O
여부	여부	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
검증	검증	NNG	O
이	이	JKS	O
_	_	_	O
어려	어렵	VA	O
워	어	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어서	어서	EC	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
어쩔	어쩌+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
떼	떼+어	VV+EC	O
내	내	VX	O
더라도	더라도	EC	O
_	_	_	O
잠금장치	잠금장치	NNG	O
_	_	_	O
부분	부분	NNG	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
걸	것+ㄹ	NNB+JKO	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
촬영해	촬영하+여	VV+EC	O
_	_	_	O
둬서	두+어서	VV+EC	O
_	_	_	O
이후	이후	NNG	O
에	에	JKB	O
_	_	_	O
진상	진상	NNG	O
규명	규명	NNG	O
할	할	NNB	O
_	_	_	O
때	때	NNG	O
_	_	_	O
증거	증거	NNG	O
로	로	JKB	O
_	_	_	O
쓸	쓰+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
해야	하+여야	VX+EC	O
_	_	_	O
된다는	되+ㄴ다는	VV+ETM	O
_	_	_	O
이야기	이야기	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이랜드타운힐스가 이처럼 파격적인 금액으로 분양하는 것은 이랜드그룹의 경영철학을 반영했기 때문이라고 관계자는 말한다.
## 이랜드타운힐스가 이처럼 파격적인 금액으로 분양하는 것은 <이랜드그룹:ORG>의 경영철학을 반영했기 때문이라고 관계자는 말한다.
