## 1
## 주 5회(월·목·금·토·일) 인천∼호놀룰루 노선을 운행한다.
## 주 <5회:NOH>(<월:DAT>·<목:DAT>·<금:DAT>·<토:DAT>·<일:DAT>) <인천:LOC>∼<호놀룰루:LOC> 노선을 운행한다.
주	주	NNP	O
_	_	_	O
5	5	SN	B-NOH
회	회	NNB	I-NOH
(	(	SS	O
월	월	NNG	B-DAT
·	·	SP	O
목	목	NNG	B-DAT
·	·	SP	O
금	금	NNG	B-DAT
·	·	SP	O
토	토	NNG	B-DAT
·	·	SP	O
일	일	NNP	B-DAT
)	)	SS	O
_	_	_	O
인천	인천	NNP	B-LOC
∼	∼	SO	O
호놀룰루	호놀룰루	NNP	B-LOC
_	_	_	O
노선	노선	NNG	O
을	을	JKO	O
_	_	_	O
운행한다	운행하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이치로가 40개를 남겨둔 3000안타 고지는 140년 메이저리그 역사에서도 단 29명만이 밟은 대기록이다.
## <이치로:PER>가 <40개:NOH>를 남겨둔 <3000안타:NOH> 고지는 <140년:DUR> <메이저리그:ORG> 역사에서도 단 <29명:NOH>만이 밟은 대기록이다.
이치로	이치로	NNP	B-PER
가	가	JKS	O
_	_	_	O
40	40	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
남겨	남기+어	VV+EC	O
둔	두+ㄴ	VX+ETM	O
_	_	_	O
3000	3000	SN	B-NOH
안타	안타	NNG	I-NOH
_	_	_	O
고지	고지	NNG	O
는	는	JX	O
_	_	_	O
140	140	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
메이저리그	메이저리그	NNG	B-ORG
_	_	_	O
역사	역사	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
단	단	MAG	O
_	_	_	O
29	29	SN	B-NOH
명	명	NNB	I-NOH
만	만	JX	O
이	이	JKS	O
_	_	_	O
밟	밟	VV	O
은	은	ETM	O
_	_	_	O
대기록	대기록	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 2020년에 완공되면 50인승 소형 비행기가 착륙할 수 있다.
## <2020년:DAT>에 완공되면 <50인승:NOH> 소형 비행기가 착륙할 수 있다.
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
완공되	완공되	VV	O
면	면	EC	O
_	_	_	O
50	50	SN	B-NOH
인	인	NNG	I-NOH
승	승	NNB	I-NOH
_	_	_	O
소형	소형	NNG	O
_	_	_	O
비행기	비행기	NNG	O
가	가	JKS	O
_	_	_	O
착륙할	착륙하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 유재석은 방송에서 “새해부터는 더 열심히 달리겠다.
## <유재석:PER>은 방송에서 “새해부터는 더 열심히 달리겠다.
유재석	유재석	NNP	B-PER
은	은	JX	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
새해	새해	NNG	O
부터	부터	JX	O
는	는	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
열심히	열심히	MAG	O
_	_	_	O
달리	달리	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 31일 코레일에 따르면 지난달 30일 오후 9시경 서울 용산역에서 출발해 익산으로 향하던 무궁화호 열차 5호칸 출입문이 운행 도중 열렸다.
