## 1
## 승우무역 강태승사장은 『중국이 섬유대국으로 부상중이지만 아직 대규모 투자를 감행할 수 없고 낡은 직기로 만든 품질이 조악하다』며 『앞으로 5년간 직물수출의 호기가 계속 이어질 것』이라고 말했다.
## <승우무역:ORG> <강태승:PER>사장은 『<중국:ORG>이 섬유대국으로 부상중이지만 아직 대규모 투자를 감행할 수 없고 낡은 직기로 만든 품질이 조악하다』며 『앞으로 <5년간:DUR> 직물수출의 호기가 계속 이어질 것』이라고 말했다.
승우	승우	NNP	B-ORG
무역	무역	NNG	I-ORG
_	_	_	O
강태승	강태승	NNP	B-PER
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
『	『	SS	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
섬유	섬유	NNG	O
대국	대국	NNG	O
으로	으로	JKB	O
_	_	_	O
부상	부상	NNG	O
중	중	NNB	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
투자	투자	NNG	O
를	를	JKO	O
_	_	_	O
감행할	감행하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
고	고	EC	O
_	_	_	O
낡	낡	VA	O
은	은	ETM	O
_	_	_	O
직기	직기	NNG	O
로	로	JKB	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
품질	품질	NNG	O
이	이	JKS	O
_	_	_	O
조악하	조악하	VA	O
다	다	EF	O
』	』	SS	O
며	며	EC	O
_	_	_	O
『	『	SS	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
직물	직물	NNG	O
수출	수출	NNG	O
의	의	JKG	O
_	_	_	O
호	호	NNB	O
기	기	NNB	O
가	가	JKS	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
이어질	이어지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
』	』	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또한, 작년부터 유통 분 야 유망 벤처 기업을 선정해 SK플래닛의 O2O커머스 분야 역량을 공유하고 있다.
## 또한, 작년부터 유통 분 야 유망 벤처 기업을 선정해 <SK플래닛:ORG>의 O2O커머스 분야 역량을 공유하고 있다.
또한	또한	MAG	O
,	,	SP	O
_	_	_	O
작년	작년	NNG	O
부터	부터	JX	O
_	_	_	O
유통	유통	NNG	O
_	_	_	O
분	분	NNB	O
_	_	_	O
야	야	IC	O
_	_	_	O
유망	유망	NNG	O
_	_	_	O
벤처	벤처	NNG	O
_	_	_	O
기업	기업	NNG	O
을	을	JKO	O
_	_	_	O
선정해	선정하+여	VV+EC	O
_	_	_	O
SK	SK	SL	B-ORG
플래닛	플래닛	NNP	I-ORG
의	의	JKG	O
_	_	_	O
O	O	SL	O
2	2	SN	O
O	O	SL	O
커머스	커머스	NNP	O
_	_	_	O
분야	분야	NNG	O
_	_	_	O
역량	역량	NNG	O
을	을	JKO	O
_	_	_	O
공유하	공유하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 이번 발표 행사는, SK플래닛의 101 스타트업 코리아가 제공하는 7개월 간의 프로그램을 이수한 10개 기업이 참여했다.
## 이번 발표 행사는, <SK플래닛:ORG>의 <101 스타트업 코리아:POH>가 제공하는 <7개월 간:DUR>의 프로그램을 이수한 <10개:NOH> 기업이 참여했다.
이번	이번	NNG	O
_	_	_	O
발표	발표	NNG	O
_	_	_	O
행사	행사	NNG	O
는	는	JX	O
,	,	SP	O
_	_	_	O
SK	SK	SL	B-ORG
플래닛	플래닛	NNP	I-ORG
의	의	JKG	O
_	_	_	O
101	101	SN	B-POH
_	_	_	I-POH
스타트	스타트	NNG	I-POH
업	업	NNG	I-POH
_	_	_	I-POH
코리아	코리아	NNP	I-POH
가	가	JKS	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
7	7	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	I-DUR
간	간	NNB	I-DUR
의	의	JKG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
이수한	이수하+ㄴ	VV+ETM	O
_	_	_	O
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘오시리스-렉스(OSIRIS-REx)’라고 이름 붙여진 이 탐사선은 지름 550m의 소행성 ‘벤누(Bennu)’에 도착해 지표면에 있는 토양 샘플을 수집한 뒤 2023년 지구로 돌아온다.
## ‘<오시리스-렉스:POH>(<OSIRIS-REx:POH>)’라고 이름 붙여진 이 탐사선은 지름 <550m:NOH>의 소행성 ‘<벤누:POH>(<Bennu:POH>)’에 도착해 지표면에 있는 토양 샘플을 수집한 뒤 <2023년:DAT> 지구로 돌아온다.
‘	‘	SS	O
오시리스	오시리스	NNG	B-POH
-	-	SO	I-POH
렉스	렉스	NNP	I-POH
(	(	SS	O
OSIRIS	OSIRIS	SL	B-POH
-	-	SO	I-POH
REx	REx	SL	I-POH
)	)	SS	O
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
이름	이름	NNG	O
_	_	_	O
붙	붙이	VV	O
여	어	EC	O
진	지+ㄴ	VX+ETM	O
