## 1
## 이어 옆으로 움직여 김일성의 오른쪽에서 한 차례씩 두 번 상체를 굽혀 조문했으며 이윽고 안경을 벗고 손수건으로 눈주위를 닦기도 했다.
## 이어 옆으로 움직여 <김일성:PER>의 오른쪽에서 <한 차례:NOH>씩 <두 번:NOH> 상체를 굽혀 조문했으며 이윽고 안경을 벗고 손수건으로 눈주위를 닦기도 했다.
이어	이어	MAG	O
_	_	_	O
옆	옆	NNG	O
으로	으로	JKB	O
_	_	_	O
움직	움직이	VV	O
여	어	EC	O
_	_	_	O
김일성	김일성	NNP	B-PER
의	의	JKG	O
_	_	_	O
오른쪽	오른쪽	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
씩	씩	XSN	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
상체	상체	NNG	O
를	를	JKO	O
_	_	_	O
굽혀	굽히+어	VV+EC	O
_	_	_	O
조문	조문하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
이윽고	이윽고	MAG	O
_	_	_	O
안경	안경	NNG	O
을	을	JKO	O
_	_	_	O
벗	벗	VV	O
고	고	EC	O
_	_	_	O
손수건	손수건	NNG	O
으로	으로	JKB	O
_	_	_	O
눈	눈	NNG	O
주위	주위	NNG	O
를	를	JKO	O
_	_	_	O
닦	닦	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 제철과일리코타치즈샐러드는 직접 만든 쫀쫀한 치즈도 맛있지만, 영귤청드레싱이 상큼함을 더한다.
## <제철과일리코타치즈샐러드:POH>는 직접 만든 쫀쫀한 치즈도 맛있지만, 영귤청드레싱이 상큼함을 더한다.
제철	제철	NNG	B-POH
과일	과일	NNG	I-POH
리	리	NNB	I-POH
코타	코타	NNP	I-POH
치즈	치즈	NNG	I-POH
샐러드	샐러드	NNG	I-POH
는	는	JX	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
쫀쫀한	쫀쫀하+ㄴ	VA+ETM	O
_	_	_	O
치즈	치즈	NNG	O
도	도	JX	O
_	_	_	O
맛있	맛있	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
영	영	MAG	O
귤	귤	NNG	O
청	청	XSN	O
드레싱	드레싱	NNG	O
이	이	JKS	O
_	_	_	O
상큼함	상큼하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
더한다	더하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 정씨는 “사고 예측을 위한 빅데이터나 전자 항해 등 그동안 알지 못했던 분야에 대해 배울 수 있는 기회였다”며 “새로운 교육이 재취업에 많은 도움이 됐다”고 말했다.
## <정:PER>씨는 “사고 예측을 위한 빅데이터나 전자 항해 등 그동안 알지 못했던 분야에 대해 배울 수 있는 기회였다”며 “새로운 교육이 재취업에 많은 도움이 됐다”고 말했다.
정	정	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
사고	사고	NNG	O
_	_	_	O
예측	예측	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
빅	빅	NNG	O
데이터	데이터	NNG	O
나	나	JC	O
_	_	_	O
전자	전자	NNG	O
_	_	_	O
항해	항해	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
알	알	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
분야	분야	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
배울	배우+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
기회	기회+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
교육	교육	NNG	O
이	이	JKS	O
_	_	_	O
재취업	재취업	NNG	O
에	에	JKB	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
도움	도움	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ―효진 역의 김환희(14)가 특히 인상적이었다.
## ―<효진:PER> 역의 <김환희:PER>(<14:NOH>)가 특히 인상적이었다.
―	―	SS	O
효진	효진	NNG	B-PER
_	_	_	O
역	역	NNG	O
의	의	JKG	O
_	_	_	O
김환희	김환희	NNP	B-PER
(	(	SS	O
14	14	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
인상적	인상적	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 전문가들은 미국 증시의 상승세가 유지되고 ‘트럼프노믹스’에 대한 불확실성이 걷히면 국내 증시도 박스권 탈출을 시도할 수 있다는 분석을 내놓았다.
## 전문가들은 <미국:ORG> 증시의 상승세가 유지되고 ‘<트럼프노믹스:POH>’에 대한 불확실성이 걷히면 국내 증시도 박스권 탈출을 시도할 수 있다는 분석을 내놓았다.
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
증시	증시	NNG	O
의	의	JKG	O
_	_	_	O
상승세	상승세	NNG	O
가	가	JKS	O
_	_	_	O
유지되	유지되	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
트럼프	트럼프	NNP	B-POH
노믹스	노믹스	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
불확실성	불확실성	NNG	O
이	이	JKS	O
_	_	_	O
걷히	걷히	VV	O
면	면	EC	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
증시	증시	NNG	O
도	도	JX	O
_	_	_	O
박스권	박스권	NNG	O
_	_	_	O
탈출	탈출	NNG	O
을	을	JKO	O
_	_	_	O
시도할	시도하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
분석	분석	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘어깨동무’와 ‘쩨쩨한 로맨스’를 연출한 김정훈 감독의 신작 ‘탐정: 더 비기닝’은 오는 9월 24일 추석에 개봉할 예정이다.
## ‘<어깨동무:POH>’와 ‘<쩨쩨한 로맨스:POH>’를 연출한 <김정훈:PER> 감독의 신작 ‘<탐정: 더 비기닝:POH>’은 오는 <9월 24일 추석:DAT>에 개봉할 예정이다.
‘	‘	SS	O
어깨동무	어깨동무	NNG	B-POH
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
쩨쩨한	쩨쩨하+ㄴ	VA+ETM	B-POH
_	_	_	I-POH
로맨스	로맨스	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
연출한	연출하+ㄴ	VV+ETM	O
_	_	_	O
김정훈	김정훈	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
신작	신작	NNG	O
_	_	_	O
‘	‘	SS	O
탐정	탐정	NNG	B-POH
:	:	SP	I-POH
_	_	_	I-POH
더	더	NNP	I-POH
_	_	_	I-POH
비기닝	비기닝	NNG	I-POH
