## 1
## 산들통배고는 무엇보다 방부제, 설탕, 색소, 향료 등의 첨가물이 전혀 들어가지 않기 때문에 돌 지난 아이부터 고령의 어르신까지 안전하게 복용이 가능하다.
## <산들통배고:POH>는 무엇보다 방부제, 설탕, 색소, 향료 등의 첨가물이 전혀 들어가지 않기 때문에 돌 지난 아이부터 고령의 어르신까지 안전하게 복용이 가능하다.
산	산	NNG	B-POH
들	들	XSN	I-POH
통배	통배	NNG	I-POH
고	고	NNP	I-POH
는	는	JX	O
_	_	_	O
무엇	무엇	NP	O
보다	보다	JKB	O
_	_	_	O
방부제	방부제	NNG	O
,	,	SP	O
_	_	_	O
설탕	설탕	NNG	O
,	,	SP	O
_	_	_	O
색소	색소	NNG	O
,	,	SP	O
_	_	_	O
향료	향료	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
첨가물	첨가물	NNG	O
이	이	JKS	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
들어가	들어가	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
돌	돌	NNG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
아이	아이	NNG	O
부터	부터	JX	O
_	_	_	O
고령	고령	NNG	O
의	의	JKG	O
_	_	_	O
어르신	어르신	NNG	O
까지	까지	JX	O
_	_	_	O
안전하	안전하	VA	O
게	게	EC	O
_	_	_	O
복용	복용	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 디스냐? 안정환과 이을용의 치열한 족구 매치가 공개됐다.
## 디스냐? <안정환:PER>과 <이을용:PER>의 치열한 족구 매치가 공개됐다.
디스	디스+이	NNG+VCP	O
냐	냐	EF	O
?	?	SF	O
_	_	_	O
안정환	안정환	NNP	B-PER
과	과	JC	O
_	_	_	O
이을용	이을용	NNP	B-PER
의	의	JKG	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
족구	족구	NNG	O
_	_	_	O
매치	매치	NNG	O
가	가	JKS	O
_	_	_	O
공개	공개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 중국 본토 및 홍콩, 국내 공모주 등에 분산 투자해 안정적인 수익을 추구하는 게 특징이다.
## <중국:ORG> 본토 및 <홍콩:ORG>, 국내 공모주 등에 분산 투자해 안정적인 수익을 추구하는 게 특징이다.
중국	중국	NNP	B-ORG
_	_	_	O
본토	본토	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
홍콩	홍콩	NNP	B-ORG
,	,	SP	O
_	_	_	O
