## 1
## 창업공간 ‘드림엔터’ 개관 1年… 7만5099명 발길
## 창업공간 ‘<드림엔터:ORG>’ 개관 <1年:NOH>… <7만5099명:NOH> 발길
창업	창업	NNG	O
공간	공간	NNG	O
_	_	_	O
‘	‘	SS	O
드림	드림	NNG	B-ORG
엔터	엔터	NNG	I-ORG
’	’	SS	O
_	_	_	O
개관	개관	NNG	O
_	_	_	O
1	1	SN	B-NOH
年	年	SH	I-NOH
…	…	SE	O
_	_	_	O
7	7	SN	B-NOH
만	만	NR	I-NOH
5099	5099	SN	I-NOH
명	명	NNB	I-NOH
_	_	_	O
발길	발길	NNG	O

## 2
## 또 소셜네트워크서비스(SNS)인 카카오톡도 3위에 올랐다.
## 또 소셜네트워크서비스(SNS)인 <카카오톡:POH>도 <3위:NOH>에 올랐다.
또	또	MAG	O
_	_	_	O
소셜	소셜	NNG	O
네트워크	네트워크	NNG	O
서비스	서비스	NNG	O
(	(	SS	O
SNS	SNS	SL	O
)	)	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
카카오톡	카카오톡	NNP	B-POH
도	도	NNG	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그런데 우리 입장에선 ‘우연히’ 일본 환율이 올라가면서 우리보다 생산단가가 30%에서 많게는 50%까지 비싸졌어요.
## 그런데 우리 입장에선 ‘우연히’ <일본:ORG> 환율이 올라가면서 우리보다 생산단가가 <30%:PNT>에서 많게는 <50%:PNT>까지 비싸졌어요.
그런데	그런데	MAJ	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
입장	입장	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
우연히	우연히	MAG	O
’	’	SS	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
환율	환율	NNG	O
이	이	JKS	O
_	_	_	O
올라가	올라가	VV	O
면서	면서	EC	O
_	_	_	O
우리	우리	NP	O
보다	보다	JKB	O
_	_	_	O
생산	생산	NNG	O
단가	단가	NNG	O
가	가	JKS	O
_	_	_	O
30	30	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
많	많	VA	O
게	게	EC	O
는	는	JX	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
_	_	_	O
비싸	비싸+아	VA+EC	O
졌	지+었	VX+EP	O
어요	어요	EF	O
.	.	SF	O

## 4
## 다음 해인 2010년의 설날 연휴는 토·일·월요일이었다.
## 다음 해인 <2010년:DAT>의 <설날:DAT> 연휴는 <토:DAT>·<일:DAT>·<월요일:DAT>이었다.
다음	다음	NNG	O
_	_	_	O
해	해	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
의	의	JKG	O
_	_	_	O
설날	설날	NNG	B-DAT
_	_	_	O
연휴	연휴	NNG	O
는	는	JX	O
_	_	_	O
토	토	NNG	B-DAT
·	·	SP	O
일	일	NNP	B-DAT
·	·	SP	O
월요일	월요일	NNG	B-DAT
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 미국 통계 사이트 ‘steamerprojections.com’은 강정호가 빅리그 3년차인 내년 시즌 21개의 홈런과 73타점을 기록할 것으로 내다봤다.
## <미국:ORG> 통계 사이트 ‘<steamerprojections.com:POH>’은 <강정호:PER>가 <빅리그:POH> <3년차:NOH>인 내년 시즌 <21개:NOH>의 홈런과 <73타:NOH>점을 기록할 것으로 내다봤다.
미국	미국	NNP	B-ORG
_	_	_	O
통계	통계	NNG	O
_	_	_	O
사이트	사이트	NNG	O
_	_	_	O
‘	‘	SS	O
steamerprojections	steamerprojections	SL	B-POH
.	.	SF	I-POH
com	com	SL	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
강정호	강정호	NNP	B-PER
가	가	JKS	O
_	_	_	O
빅	빅	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	O
3	3	SN	B-NOH
년	년	NNB	I-NOH
차	차	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
21	21	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
홈런	홈런	NNG	O
과	과	JC	O
_	_	_	O
73	73	SN	B-NOH
타점	타점	NNG	O
을	을	JKO	O
_	_	_	O
기록할	기록하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
내다	내다보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 폭파 협박범은 롯데월드몰에 840㎏의 폭발물을 설치했다고 주장한 것으로 알려졌다.
## 폭파 협박범은 <롯데월드몰:LOC>에 <840㎏:NOH>의 폭발물을 설치했다고 주장한 것으로 알려졌다.
폭파	폭파	NNG	O
_	_	_	O
협박범	협박범	NNG	O
은	은	JX	O
_	_	_	O
롯데월드	롯데월드	NNP	B-LOC
몰	몰	NNG	I-LOC
에	에	JKB	O
_	_	_	O
840	840	SN	B-NOH
㎏	㎏	SW	I-NOH
의	의	JKG	O
