## 1
## 전승절 행사에 미국이 불참한 만큼 박 대통령의 자리가 시 주석의 오른쪽 두번째에 마련된 것이 우리측의 부담을 덜아주기 위한 것이란 평가도 나온다.
## 전승절 행사에 <미국:ORG>이 불참한 만큼 <박:PER> 대통령의 자리가 시 주석의 오른쪽 두번째에 마련된 것이 우리측의 부담을 덜아주기 위한 것이란 평가도 나온다.
전승	전승	NNG	O
절	절	NNG	O
_	_	_	O
행사	행사	NNG	O
에	에	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
불참한	불참하+ㄴ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
자리	자리	NNG	O
가	가	JKS	O
_	_	_	O
시	시	NNP	O
_	_	_	O
주석	주석	NNG	O
의	의	JKG	O
_	_	_	O
오른쪽	오른쪽	NNG	O
_	_	_	O
두	두	MM	O
번째	번째	NNB	O
에	에	JKB	O
_	_	_	O
마련된	마련되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
부담	부담	NNG	O
을	을	JKO	O
_	_	_	O
덜	덜	VV	O
아	아	EC	O
주	주	VX	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
평가	평가	NNG	O
도	도	JX	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## SUV로 만들어진 이 콘셉트카는 1회 충전으로 800km이상 주행할 수 있는 것으로 알려졌다.
## SUV로 만들어진 이 콘셉트카는 <1회:NOH> 충전으로 <800km:NOH>이상 주행할 수 있는 것으로 알려졌다.
SUV	SUV	SL	O
로	로	JKB	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
콘셉트카	콘셉트카	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
충전	충전	NNG	O
으로	으로	JKB	O
_	_	_	O
800	800	SN	B-NOH
km	km	SL	I-NOH
이상	이상	NNG	O
_	_	_	O
주행할	주행하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 먼저 차에서 내린 트럼프는 부인을 챙기지 않고 혼자서 성큼성큼 계단을 올라갔고, 멜라니아는 그런 남편의 뒷 모습을 멍하게 바라보는 상황이 연출됐다.
