## 1
## 방송인 유재석과 김병만이 2015 ‘SAF(SBS Awards Festival) 연예대상’을 공동수상(사진)하면서 대중의 비난이 거세지고 있다.
## 방송인 <유재석:PER>과 <김병만:PER>이 <2015:DAT> ‘<SAF:POH>(<SBS Awards Festival:POH>) 연예대상’을 공동수상(사진)하면서 대중의 비난이 거세지고 있다.
방송인	방송인	NNG	O
_	_	_	O
유재석	유재석	NNP	B-PER
과	과	JC	O
_	_	_	O
김병만	김병만	NNP	B-PER
이	이	JKS	O
_	_	_	O
2015	2015	SN	B-DAT
_	_	_	O
‘	‘	SS	O
SAF	SAF	SL	B-POH
(	(	SS	O
SBS	SBS	SL	B-POH
_	_	_	I-POH
Awards	Awards	SL	I-POH
_	_	_	I-POH
Festival	Festival	SL	I-POH
)	)	SS	O
_	_	_	O
연예	연예	NNG	O
대상	대상	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
공동	공동	NNG	O
수상	수상	NNG	O
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
대중	대중	NNG	O
의	의	JKG	O
_	_	_	O
비난	비난	NNG	O
이	이	JKS	O
_	_	_	O
거세지	거세지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 소금중독 대한민국김성권 지음북스코프, 284쪽1만6500원“소금을 잘 알고 대처하는 것만으로도 많은 사람이 100세까지 무병장수할 수 있다.
## <소금중독 대한민국:POH><김성권:PER> 지음<북스코프:ORG>, <284쪽:NOH><1만6500원:MNY>“소금을 잘 알고 대처하는 것만으로도 많은 사람이 <100세:NOH>까지 무병장수할 수 있다.
소금	소금	NNG	B-POH
중독	중독	NNG	I-POH
_	_	_	I-POH
대한민국	대한민국	NNP	I-POH
김성권	김성권	NNP	B-PER
_	_	_	O
지음	지음	NNG	O
북	북	NNP	B-ORG
스코프	스코프	NNG	I-ORG
,	,	SP	O
_	_	_	O
284	284	SN	B-NOH
쪽	쪽	NNG	I-NOH
1	1	SN	B-MNY
만	만	NR	I-MNY
6500	6500	SN	I-MNY
원	원	NNB	I-MNY
“	“	SS	O
소금	소금	NNG	O
을	을	JKO	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
대처하	대처하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
만	만	JX	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
100	100	SN	B-NOH
세	세	NNB	I-NOH
까지	까지	JX	O
