## 1
## 싸이는 10일 오후 자신의 트위터에 "여름 공연이 없어서 근질거렸는데 금주 금요일 해운대에서 간만에 흠뻑쇼 한번 할랍니다!
## <싸이:PER>는 <10일:DAT> 오후 자신의 <트위터:POH>에 "여름 공연이 없어서 근질거렸는데 금주 금요일 <해운대:LOC>에서 간만에 <흠뻑쇼:POH> 한번 할랍니다!
싸이	싸이	VV	B-PER
는	는	ETM	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
트위터	트위터	NNP	B-POH
에	에	JKB	O
_	_	_	O
"	"	SS	O
여름	여름	NNG	O
_	_	_	O
공연	공연	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
어서	어서	EC	O
_	_	_	O
근질거	근질거리	VV	O
렸	었	EP	O
는데	는데	EC	O
_	_	_	O
금주	금주	NNG	O
_	_	_	O
금요일	금요일	NNG	O
_	_	_	O
해운대	해운대	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
간만	간만	NNG	O
에	에	JKB	O
_	_	_	O
흠뻑	흠뻑	MAG	B-POH
쇼	쇼	NNG	I-POH
_	_	_	O
한번	한번	NNG	O
_	_	_	O
할랍니다	하+ㄹ랍니다	VV+EF	O
!	!	SF	O

## 2
## 이 같은 바운스 트램폴린 파크의 안전한 시설과 프로그램을 통해 아이들이 실내에서 보다
## 이 같은 <바운스 트램폴린 파크:LOC>의 안전한 시설과 프로그램을 통해 아이들이 실내에서 보다
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
바운스	바운스	NNP	B-LOC
_	_	_	I-LOC
트램	트램	NNG	I-LOC
폴린	폴린	NNP	I-LOC
_	_	_	I-LOC
파크	파크	NNG	I-LOC
의	의	JKG	O
_	_	_	O
안전한	안전하+ㄴ	VA+ETM	O
_	_	_	O
시설	시설	NNG	O
과	과	JC	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
아이	아이	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
실내	실내	NNG	O
에서	에서	JKB	O
_	_	_	O
보다	보다	JKB	O

## 3
## 이번 논문은 명나라 조정의 관보, 양광 총독의 상소문, 당시 저술된 서적 등을 검토해 나왔다.
## 이번 논문은 명나라 조정의 <관보:PER>, <양광:PER> 총독의 상소문, 당시 저술된 서적 등을 검토해 나왔다.
이번	이번	NNG	O
_	_	_	O
논문	논문	NNG	O
은	은	JX	O
_	_	_	O
명나라	명나라	NNG	O
_	_	_	O
조정	조정	NNG	O
의	의	JKG	O
_	_	_	O
관보	관보	NNG	B-PER
,	,	SP	O
_	_	_	O
양광	양광	NNG	B-PER
_	_	_	O
총독	총독	NNG	O
의	의	JKG	O
_	_	_	O
상소문	상소문	NNG	O
,	,	SP	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
저술된	저술되+ㄴ	VV+ETM	O
_	_	_	O
서적	서적	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
검토해	검토하+여	VV+EC	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김무성 새누리당 대표나 문재인 새정치연합 대표는 결속된 100만 공무원과 가족 표를 의식하면서도 2000만 국민연금 가입자들의 시선이 부담스러웠을 것이다.
## <김무성:PER> <새누리당:ORG> 대표나 <문재인:PER> <새정치연합:ORG> 대표는 결속된 <100만:NOH> 공무원과 가족 표를 의식하면서도 <2000만:NOH> 국민연금 가입자들의 시선이 부담스러웠을 것이다.
김무성	김무성	NNP	B-PER
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
나	나	JC	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
새정치연합	새정치연합	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
결속된	결속되+ㄴ	VV+ETM	O
_	_	_	O
100	100	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
공무원	공무원	NNG	O
과	과	JC	O
_	_	_	O
가족	가족	NNG	O
_	_	_	O
표	표	NNG	O
를	를	JKO	O
_	_	_	O
의식하	의식하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
2000	2000	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
국민	국민	NNG	O
