## 1
## ‘손흥민 골’잉글랜드 프리미어리그(EPL) 토트넘 핫스퍼로 이적한 손흥민(23)이 홈 데뷔전에서 멀티골을 터뜨렸다.
## ‘<손흥민:PER> 골’<잉글랜드 프리미어리그:ORG>(<EPL:ORG>) <토트넘 핫스퍼:ORG>로 이적한 <손흥민:PER>(<23:NOH>)이 홈 데뷔전에서 멀티골을 터뜨렸다.
‘	‘	SS	O
손흥민	손흥민	NNP	B-PER
_	_	_	O
골	골	NNG	O
’	’	SS	O
잉글랜드	잉글랜드	NNP	B-ORG
_	_	_	I-ORG
프리미어	프리미어	NNG	I-ORG
리그	리그	NNG	I-ORG
(	(	SS	O
EPL	EPL	SL	B-ORG
)	)	SS	O
_	_	_	O
토트넘	토트넘	NNP	B-ORG
_	_	_	I-ORG
핫스퍼	핫스퍼	NNP	I-ORG
로	로	JKB	O
_	_	_	O
이적한	이적하+ㄴ	VV+ETM	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
홈	홈	NNG	O
_	_	_	O
데뷔	데뷔	NNG	O
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
멀티	멀티	NNG	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
터뜨	터뜨리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 18일(한국시각) 영국 런던의 화이트하트레인에서 열린 2015-2016 유럽축구연맹(UEFA) 유로파리그 조별리그 J조 1차전 카라바크(아제르바이잔)와의 경기에서 손흥민은 2골을 넣으며 토트넘의 3-1 승리를 이끌었다.
## <18일:DAT>(<한국:LOC>시각) <영국:LOC> <런던:LOC>의 <화이트하트레인:LOC>에서 열린 <2015-2016:DUR> <유럽축구연맹:ORG>(<UEFA:ORG>) <유로파리그:POH> 조별리그 <J조:ORG> <1차전:NOH> <카라바크:ORG>(<아제르바이잔:ORG>)와의 경기에서 <손흥민:PER>은 <2골:NOH>을 넣으며 <토트넘:ORG>의 <3-1:NOH> 승리를 이끌었다.
18	18	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시각	시각	NNG	O
)	)	SS	O
_	_	_	O
영국	영국	NNP	B-LOC
_	_	_	O
런던	런던	NNP	B-LOC
의	의	JKG	O
_	_	_	O
화이트하트레인	화이트하트레인	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DUR
-	-	SO	I-DUR
2016	2016	SN	I-DUR
_	_	_	O
유럽	유럽	NNP	B-ORG
축구	축구	NNG	I-ORG
연맹	연맹	NNG	I-ORG
(	(	SS	O
UEFA	UEFA	SL	B-ORG
)	)	SS	O
_	_	_	O
유로파	유로파	NNP	B-POH
리그	리그	NNG	I-POH
_	_	_	O
조별	조별	NNG	O
리그	리그	NNG	O
_	_	_	O
