## 1
## 최경철은 2월 팀의 일본 오키나와 스프링캠프에서 한국도핑방지위원회(KADA)의 도핑테스트에 임했다.
## <최경철:PER>은 <2월:DAT> 팀의 <일본:LOC> <오키나와:LOC> 스프링캠프에서 <한국도핑방지위원회:ORG>(<KADA:ORG>)의 도핑테스트에 임했다.
최경철	최경철	NNP	B-PER
은	은	JX	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
오키나와	오키나와	NNP	B-LOC
_	_	_	O
스프링	스프링	NNG	O
캠프	캠프	NNG	O
에서	에서	JKB	O
_	_	_	O
한국도핑방지위원회	한국도핑방지위원회	NNP	B-ORG
(	(	SS	O
KADA	KADA	SL	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
도핑	도핑	NNG	O
테스트	테스트	NNG	O
에	에	JKB	O
_	_	_	O
임	임하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 미라클은 아직은 재원이 부족해 창단 초기에는 선수들로부터 숙식비와 훈련비 형태로 한 달에 70만원 정도를 받는다.
## <미라클:ORG>은 아직은 재원이 부족해 창단 초기에는 선수들로부터 숙식비와 훈련비 형태로 <한 달:NOH>에 <70만원:MNY> 정도를 받는다.
미라클	미라클	NNP	B-ORG
은	은	JX	O
_	_	_	O
아직	아직	MAG	O
은	은	JX	O
_	_	_	O
재원	재원	NNG	O
이	이	JKS	O
_	_	_	O
부족해	부족하+여	VA+EC	O
_	_	_	O
창단	창단	NNG	O
_	_	_	O
초기	초기	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
로부터	로부터	JKB	O
_	_	_	O
숙식	숙식	NNG	O
비	비	XSN	O
와	와	JC	O
_	_	_	O
훈련	훈련	NNG	O
비	비	XSN	O
_	_	_	O
형태	형태	NNG	O
로	로	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
에	에	JKB	O
_	_	_	O
70	70	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
정도	정도	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는다	는다	EF	O
.	.	SF	O

## 3
## 이로부터 3일 후 폴라리스 이 회장과 클라라가 나눈 대화가 공개됐다.
## 이로부터 <3일:DAT> 후 <폴라리스:ORG> <이:PER> 회장과 <클라라:PER>가 나눈 대화가 공개됐다.
이	이	NP	O
로부터	로부터	JKB	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
후	후	NNG	O
_	_	_	O
폴라리스	폴라리스	NNG	B-ORG
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
과	과	JC	O
_	_	_	O
