## 1
## 1930년대 이후 사상 최악의 실업률과 양극화 현상을 겪고 있는 브라질은 이번 올림픽을 통해 극적인 경제 부활을 기대하고 있습니다.
## <1930년대:DUR> 이후 사상 최악의 실업률과 양극화 현상을 겪고 있는 <브라질:ORG>은 이번 올림픽을 통해 극적인 경제 부활을 기대하고 있습니다.
1930	1930	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
이후	이후	NNG	O
_	_	_	O
사상	사상	NNG	O
_	_	_	O
최악	최악	NNG	O
의	의	JKG	O
_	_	_	O
실업률	실업률	NNG	O
과	과	JC	O
_	_	_	O
양극화	양극화	NNG	O
_	_	_	O
현상	현상	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
브라질	브라질	NNP	B-ORG
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
올림픽	올림픽	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
극적	극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
부활	부활	NNG	O
을	을	JKO	O
_	_	_	O
기대하	기대하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 보통 부활절이 있는 4, 5월은 격동의 현대사와 관련된 기념일이 적지 않다.
## 보통 부활절이 있는 <4:DAT>, <5월:DAT>은 격동의 현대사와 관련된 기념일이 적지 않다.
보통	보통	NNG	O
_	_	_	O
부활절	부활절	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
4	4	SN	B-DAT
,	,	SP	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
은	은	JX	O
_	_	_	O
격동	격동	NNG	O
의	의	JKG	O
_	_	_	O
현대사	현대사	NNG	O
와	와	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
기념일	기념일	NNG	O
이	이	JKS	O
_	_	_	O
적	적	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 호세 프랑코씨는 수영장 만드는 과정과 완성된 모습을 그의 페이스북에 올렸다.
## <호세 프랑코:PER>씨는 수영장 만드는 과정과 완성된 모습을 그의 <페이스북:POH>에 올렸다.
호세	호세	NNP	B-PER
_	_	_	I-PER
프랑코	프랑코	NNP	I-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
수영장	수영장	NNG	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
과	과	JC	O
_	_	_	O
완성된	완성되+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
에	에	JKB	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 서울시 공무원 합격자 발표, 응시번호 모르면 합격유무 확인 못한다?
## <서울시:ORG> 공무원 합격자 발표, 응시번호 모르면 합격유무 확인 못한다?
서울시	서울시	NNP	B-ORG
_	_	_	O
공무원	공무원	NNG	O
_	_	_	O
합격자	합격자	NNG	O
_	_	_	O
발표	발표	NNG	O
,	,	SP	O
_	_	_	O
응시	응시	NNG	O
번호	번호	NNG	O
_	_	_	O
모르	모르	VV	O
면	면	EC	O
_	_	_	O
합격	합격	NNG	O
유무	유무	NNG	O
_	_	_	O
확인	확인	NNG	O
_	_	_	O
못한다	못하+ㄴ다	VV+EF	O
?	?	SF	O

## 5
## 장래에는 자신이 좋아하는 축구단인 ‘전북 현대’와 ‘울산 현대’의 홍보맨이 되고 싶다고 한다.
## 장래에는 자신이 좋아하는 축구단인 ‘<전북 현대:ORG>’와 ‘<울산 현대:ORG>’의 홍보맨이 되고 싶다고 한다.
장래	장래	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
좋아하	좋아하	VV	O
는	는	ETM	O
_	_	_	O
축구단	축구단	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
전북	전북	NNP	B-ORG
_	_	_	I-ORG
현대	현대	NNP	I-ORG
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
울산	울산	NNP	B-ORG
_	_	_	I-ORG
현대	현대	NNP	I-ORG
’	’	SS	O
의	의	JKG	O
_	_	_	O
홍보	홍보	NNG	O
맨	맨	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## ‘삼성페이 갤럭시 노트5 갤럭시 S6 엣지+’삼성전자는 ‘갤럭시 노트5’와 ‘갤럭시 S6 엣지+’를 20일 국내에 출시했다.
## ‘<삼성페이:POH> <갤럭시 노트5:POH> <갤럭시 S6 엣지:POH>+’<삼성전자:ORG>는 ‘<갤럭시 노트5:POH>’와 ‘<갤럭시 S6 엣지:POH>+’를 <20일:DAT> 국내에 출시했다.
‘	‘	SS	O
삼성	삼성	NNP	B-POH
페이	페이	NNG	I-POH
_	_	_	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
노트	노트	NNG	I-POH
5	5	SN	I-POH
_	_	_	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
S	S	SL	I-POH
6	6	SN	I-POH
_	_	_	I-POH
엣지+	엣지++	NNG+SW	O
’	’	SS	O
삼성전자	삼성전자	NNP	B-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
노트	노트	NNG	I-POH
5	5	SN	I-POH
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
S	S	SL	I-POH
6	6	SN	I-POH
_	_	_	I-POH
