## 1
## 김하늘은 SBS ‘신사의 품격’ 이후 4년만 안방극장 복귀작으로 ‘공항 가는 길’을 선택했다.
## <김하늘:PER>은 <SBS:ORG> ‘<신사의 품격:POH>’ 이후 <4년만:DUR> 안방극장 복귀작으로 ‘<공항 가는 길:POH>’을 선택했다.
김하늘	김하늘	NNP	B-PER
은	은	JX	O
_	_	_	O
SBS	SBS	SL	B-ORG
_	_	_	O
‘	‘	SS	O
신사	신사	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
품격	품격	NNG	I-POH
’	’	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
4	4	SN	B-DUR
년	년	NNB	I-DUR
만	만	JX	I-DUR
_	_	_	O
안방극장	안방극장	NNG	O
_	_	_	O
복귀	복귀	NNG	O
작	작	XSN	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
공항	공항	NNG	B-POH
_	_	_	I-POH
가	가	VV	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
길	길	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
선택	선택하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 새누리당 정우택 원내대표는 3일 "대한민국의 백년대계와 국가 시스템 재설계를 위한 대선 전 개헌을 합의해야 한다"며 '여야 대선주자 개헌 연석회의' 구성을 제안했다.
## <새누리당:ORG> <정우택:PER> 원내대표는 <3일:DAT> "<대한민국:ORG>의 백년대계와 국가 시스템 재설계를 위한 대선 전 개헌을 합의해야 한다"며 '여야 대선주자 개헌 연석회의' 구성을 제안했다.
새누리당	새누리당	NNP	B-ORG
_	_	_	O
정우택	정우택	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
"	"	SS	O
대한민국	대한민국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
백년대계	백년대계	NNG	O
와	와	JC	O
_	_	_	O
국가	국가	NNG	O
_	_	_	O
시스템	시스템	NNG	O
_	_	_	O
재설계	재설계	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
개헌	개헌	NNG	O
을	을	JKO	O
_	_	_	O
합의해야	합의하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
'	'	SS	O
여야	여야	NNG	O
_	_	_	O
대선	대선	NNG	O
주자	주자	NNG	O
_	_	_	O
개헌	개헌	NNG	O
_	_	_	O
연석회의	연석회의	NNG	O
'	'	SS	O
_	_	_	O
구성	구성	NNG	O
을	을	JKO	O
_	_	_	O
제안	제안하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
