## 1
## 탐앤탐스는 2015년 8월 충전식 선불카드와 앱을 출시하면서 한 달 동안 3만 원 이상 충전 시 아메리카노를, 7만 원 이상 충전 시 텀블러를 증정하는 이벤트를 진행했다.
## <탐앤탐스:PER>는 <2015년 8월:DAT> 충전식 선불카드와 앱을 출시하면서 <한 달 동안:DUR> <3만 원:MNY> 이상 충전 시 아메리카노를, <7만 원:MNY> 이상 충전 시 텀블러를 증정하는 이벤트를 진행했다.
탐앤탐스	탐앤탐스	NNP	B-PER
는	는	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
8	8	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
충전	충전	NNG	O
식	식	XSN	O
_	_	_	O
선불카드	선불카드	NNG	O
와	와	JC	O
_	_	_	O
앱	앱	NNG	O
을	을	JKO	O
_	_	_	O
출시하	출시하	VV	O
면서	면서	EC	O
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
달	달	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
3	3	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
아메리카	아메리카	NNP	O
노	노	NNP	O
를	를	JKO	O
,	,	SP	O
_	_	_	O
7	7	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
텀블러	텀블러	NNG	O
를	를	JKO	O
_	_	_	O
증정하	증정하	VV	O
는	는	ETM	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 남산 조망 가능하고, 전망용 엘리베이터까지 ‘충무로 엘크루 메트로시티Ⅱ’는 남산 조망이 가능한 것이 장점이다.
## <남산:POH> 조망 가능하고, 전망용 엘리베이터까지 ‘<충무로 엘크루 메트로시티Ⅱ:POH>’는 <남산:POH> 조망이 가능한 것이 장점이다.
남산	남산	NNP	B-POH
_	_	_	O
조망	조망	NNG	O
_	_	_	O
가능하	가능하	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
전망	전망	NNG	O
용	용	XSN	O
_	_	_	O
엘리베이터	엘리베이터	NNG	O
까지	까지	JX	O
_	_	_	O
‘	‘	SS	O
충무로	충무로	NNP	B-POH
_	_	_	I-POH
엘크	엘크	NNP	I-POH
루	루	JKB	I-POH
_	_	_	I-POH
메트로	메트로	NNG	I-POH
시티	시티	NNG	I-POH
Ⅱ	Ⅱ	SW	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
남산	남산	NNP	B-POH
_	_	_	O
조망	조망	NNG	O
이	이	JKS	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
장점	장점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 文 마이웨이, 千 창당발표… 野 ‘운명의 1주일’
## <文:PER> 마이웨이, 千 창당발표… 野 ‘운명의 <1주일:DUR>’
文	文	SH	B-PER
_	_	_	O
마이	마이	NNG	O
웨이	웨이	NNG	O
,	,	SP	O
