## 1
## 우규민은 18일 마산 NC전에서 2이닝 5탈삼진 무실점의 쾌투를 펼쳤다.
## <우규민:PER>은 <18일:DAT> <마산:LOC> <NC:ORG>전에서 <2이닝:NOH> <5탈삼진:NOH> 무실점의 쾌투를 펼쳤다.
우규민	우규민	NNP	B-PER
은	은	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
마산	마산	NNP	B-LOC
_	_	_	O
NC	NC	SL	B-ORG
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
5	5	SN	B-NOH
탈	탈	XPN	I-NOH
삼진	삼진	NNG	I-NOH
_	_	_	O
무실점	무실점	NNG	O
의	의	JKG	O
_	_	_	O
쾌투	쾌투	NNG	O
를	를	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 전 대통령과 신격호 롯데그룹 총괄회장은 영남 출신이면서 일본에서 살았다는 공통적인 이력을 지녔다.
## <이:PER> 전 대통령과 <신격호:PER> <롯데그룹:ORG> 총괄회장은 <영남:LOC> 출신이면서 <일본:LOC>에서 살았다는 공통적인 이력을 지녔다.
이	이	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
신격호	신격호	NNP	B-PER
_	_	_	O
롯데	롯데	NNP	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
총괄	총괄	NNG	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
영남	영남	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
이	이	VCP	O
면서	면서	EC	O
_	_	_	O
일본	일본	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
살	살	VV	O
았	았	EP	O
다는	다는	ETM	O
_	_	_	O
공통적	공통적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이력	이력	NNG	O
을	을	JKO	O
_	_	_	O
지	지니	VV	O
녔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [사가라 교 오노약품 회장] 암 치료의 패러다임 바꾼다
## [<사가라 교:PER> <오노약품:ORG> 회장] 암 치료의 패러다임 바꾼다
[	[	SS	O
사가라	사가라	NNP	B-PER
_	_	_	I-PER
교	교	NNG	I-PER
_	_	_	O
오노	오노	NNP	B-ORG
약품	약품	NNG	I-ORG
_	_	_	O
회장	회장	NNG	O
]	]	SS	O
_	_	_	O
암	암	NNG	O
_	_	_	O
치료	치료	NNG	O
의	의	JKG	O
_	_	_	O
패러다임	패러다임	NNG	O
_	_	_	O
바꾼다	바꾸+ㄴ다	VV+EF	O

## 4
## 모집인원은 총 10명이며, 당첨자는 오는 18일 발표한다.
## 모집인원은 총 <10명:NOH>이며, 당첨자는 오는 <18일:DAT> 발표한다.
