## 1
## 영국 내 펀드 운용 자산 중 ISA 자산의 비중은 2006년 13.8%에서 2013년 22.9%로 높아졌다.
## <영국:ORG> 내 펀드 운용 자산 중 <ISA:ORG> 자산의 비중은 <2006년:DAT> <13.8%:PNT>에서 <2013년:DAT> <22.9%:PNT>로 높아졌다.
영국	영국	NNP	B-ORG
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
펀드	펀드	NNG	O
_	_	_	O
운용	운용	NNG	O
_	_	_	O
자산	자산	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
ISA	ISA	SL	B-ORG
_	_	_	O
자산	자산	NNG	O
의	의	JKG	O
_	_	_	O
비중	비중	NNG	O
은	은	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
13.8	13.8	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
22.9	22.9	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
높아	높아지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 보건복지부는 올해 초 20대 아버지가 생후 2개월된 자녀를 숨지게 하는 등 구체적인 사례를 근거로 게임과몰입 문제를 지적하고 있으며, 지난 2월 열린 제78회 국가정책조정회의에서 인터넷 중독에 대한 질병코드를 신설하겠다고 밝히기도 했다.
## <보건복지부:ORG>는 올해 초 <20대:NOH> 아버지가 생후 <2개월:NOH>된 자녀를 숨지게 하는 등 구체적인 사례를 근거로 게임과몰입 문제를 지적하고 있으며, 지난 <2월:DAT> 열린 <제78회:NOH> <국가정책조정회의:POH>에서 인터넷 중독에 대한 질병코드를 신설하겠다고 밝히기도 했다.
보건	보건	NNG	B-ORG
복지	복지	NNG	I-ORG
부	부	NNG	I-ORG
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
아버지	아버지	NNG	O
가	가	JKS	O
_	_	_	O
생후	생후	NNG	O
_	_	_	O
2	2	SN	B-NOH
개월	개월	NNB	I-NOH
된	되+ㄴ	VV+ETM	O
_	_	_	O
자녀	자녀	NNG	O
를	를	JKO	O
_	_	_	O
숨지	숨지	VV	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
구체적	구체적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사례	사례	NNG	O
를	를	JKO	O
_	_	_	O
근거	근거	NNG	O
로	로	JKB	O
_	_	_	O
게임	게임	NNG	O
과	과	XSN	O
몰입	몰입	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
지적하	지적하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
제	제	XPN	B-NOH
78	78	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
국가	국가	NNG	B-POH
정책	정책	NNG	I-POH
조정	조정	NNG	I-POH
회의	회의	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
중독	중독	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
질병	질병	NNG	O
코드	코드	NNG	O
를	를	JKO	O
_	_	_	O
신설하	신설하	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
밝히	밝히	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
