## 1
## 2003년 신세계(현 KEB하나은행) 유니폼을 입고 데뷔한 양지희는 2007년 겨울리그까지 7시즌 연속 평균 득점이 4점을 넘지 못했다.
## <2003년:DAT> <신세계:ORG>(현 <KEB하나은행:ORG>) 유니폼을 입고 데뷔한 <양지희:PER>는 <2007년:DAT> 겨울리그까지 <7시즌:NOH> 연속 평균 득점이 <4점:NOH>을 넘지 못했다.
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
신세계	신세계	NNP	B-ORG
(	(	SS	O
현	현	MM	O
_	_	_	O
KEB	KEB	SL	B-ORG
하나은행	하나은행	NNP	I-ORG
)	)	SS	O
_	_	_	O
유니폼	유니폼	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
고	고	EC	O
_	_	_	O
데뷔한	데뷔하+ㄴ	VV+ETM	O
_	_	_	O
양지희	양지희	NNP	B-PER
는	는	JX	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
겨울	겨울	NNG	O
리그	리그	NNG	O
까지	까지	JX	O
_	_	_	O
7	7	SN	B-NOH
시즌	시즌	NNG	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
득점	득점	NNG	O
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 우리가 국제적인 이란 제재에 동참하면서 관계가 다소 소원해졌다.
## 하지만 우리가 국제적인 <이란:ORG> 제재에 동참하면서 관계가 다소 소원해졌다.
하지만	하지만	MAJ	O
_	_	_	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
국제적	국제적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	VCP	B-ORG
란	란	ETM	I-ORG
_	_	_	O
제재	제재	NNG	O
에	에	JKB	O
_	_	_	O
동참하	동참하	VV	O
면서	면서	EC	O
_	_	_	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
소원해	소원하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 3
## A를 비롯한 시리아인 28명은 시리아에서 터키와 중국 등을 경유해 지난해 11월~올해 1월 인천공항에 입국해 난민 지위 인정을 요청했다.
## <A:PER>를 비롯한 시리아인 <28명:NOH>은 <시리아:LOC>에서 <터키:LOC>와 <중국:LOC> 등을 경유해 지난해 <11월:DAT>~올해 <1월:DAT> <인천공항:LOC>에 입국해 난민 지위 인정을 요청했다.
A	A	SL	B-PER
를	를	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
시리아	시리아	NNP	O
인	인	XSN	O
_	_	_	O
28	28	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
시리아	시리아	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
터키	터키	NNP	B-LOC
와	와	JC	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
경유해	경유하+여	VV+EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
~	~	SO	O
올해	올해	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
인천	인천	NNP	B-LOC
공항	공항	NNG	I-LOC
에	에	JKB	O
_	_	_	O
입국해	입국하+여	VV+EC	O
_	_	_	O
난민	난민	NNG	O
_	_	_	O
지위	지위	NNG	O
_	_	_	O
인정	인정	NNG	O
을	을	JKO	O
_	_	_	O
요청	요청하	VV	O
했	였	EP	O
