## 1
## 폴크스바겐파이낸셜서비스코리아가 BNP 파리바 카디프 생명보험과 함께 고객의 예기치 못한 사고 발생 시 할부금 잔액을 대신 상환해주는 ‘세이프 플랜’ 서비스를 출시하고, 이를 기념해 7월 한 달 간 특별 무이자 할부 프로모션을 실시한다고 13일 밝혔다.
## <폴크스바겐파이낸셜서비스코리아:ORG>가 <BNP 파리바 카디프 생명보험:POH>과 함께 고객의 예기치 못한 사고 발생 시 할부금 잔액을 대신 상환해주는 ‘세이프 플랜’ 서비스를 출시하고, 이를 기념해 <7월:DAT> <한 달 간:DUR> 특별 무이자 할부 프로모션을 실시한다고 <13일:DAT> 밝혔다.
폴크스바겐	폴크스바겐	NNP	B-ORG
파이낸셜	파이낸셜	NNG	I-ORG
서비스	서비스	NNG	I-ORG
코리아	코리아	NNP	I-ORG
가	가	JKS	O
_	_	_	O
BNP	BNP	SL	B-POH
_	_	_	I-POH
파리바	파리바	NNP	I-POH
_	_	_	I-POH
카디프	카디프	NNP	I-POH
_	_	_	I-POH
생명	생명	NNG	I-POH
보험	보험	NNG	I-POH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
고객	고객	NNG	O
의	의	JKG	O
_	_	_	O
예기	예기하	VV	O
치	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
사고	사고	NNG	O
_	_	_	O
발생	발생	NNG	O
_	_	_	O
시	시	NNB	O
_	_	_	O
할부금	할부금	NNG	O
_	_	_	O
잔액	잔액	NNG	O
을	을	JKO	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
상환해	상환하+여	VV+EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
세이프	세이프	NNG	O
_	_	_	O
플랜	플랜	NNG	O
’	’	SS	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
출시하	출시하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
기념해	기념하+여	VV+EC	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
달	달	NNB	I-DUR
_	_	_	I-DUR
간	간	NNB	I-DUR
_	_	_	O
특별	특별	NNG	O
_	_	_	O
무이자	무이자	NNG	O
_	_	_	O
할부	할부	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
실시한다고	실시하+ㄴ다고	VV+EC	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 만약 경제가 죽어가고 있다면 문민정부의 존재이유도, 개혁과 변화도, 개방화및 세계화도 별 의미를 지닐 수 없기때문이다.
## 만약 경제가 죽어가고 있다면 <문민정부:ORG>의 존재이유도, 개혁과 변화도, 개방화및 세계화도 별 의미를 지닐 수 없기때문이다.
만약	만약	NNG	O
_	_	_	O
경제	경제	NNG	O
가	가	JKS	O
_	_	_	O
죽	죽	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다면	다면	EC	O
_	_	_	O
문민정부	문민정부	NNG	B-ORG
의	의	JKG	O
_	_	_	O
존재	존재	NNG	O
이유	이유	NNG	O
도	도	JX	O
,	,	SP	O
_	_	_	O
개혁	개혁	NNG	O
과	과	JC	O
_	_	_	O
변화	변화	NNG	O
도	도	JX	O
,	,	SP	O
_	_	_	O
개방화	개방화	NNG	O
및	및	MAG	O
_	_	_	O
세계화	세계화	NNG	O
도	도	JX	O
_	_	_	O
별	별	MM	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
지닐	지니+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
기	기	ETN	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 매티스 장관은 이날 오후 황교안 대통령 권한대행을 만나 “주한미군의 사드 배치는 계획대로 추진해 나갈 것”이라고 말했다.
## <매티스:PER> 장관은 이날 오후 <황교안:PER> 대통령 권한대행을 만나 “<주한미군:ORG>의 <사드:POH> 배치는 계획대로 추진해 나갈 것”이라고 말했다.
매	매	NNG	B-PER
티스	티스	NNP	I-PER
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
황교안	황교안	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
권한	권한	NNG	O
대행	대행	NNG	O
을	을	JKO	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
“	“	SS	O
주한	주한	NNG	B-ORG
미군	미군	NNG	I-ORG
의	의	JKG	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
는	는	JX	O
_	_	_	O
계획	계획	NNG	O
대로	대로	JX	O
_	_	_	O
추진해	추진하+여	VV+EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 10개 구단 가운데 외국인 선수를 뽑기 위해 가장 많은 돈을 쓴 곳은 한화다.
## <10개:NOH> 구단 가운데 외국인 선수를 뽑기 위해 가장 많은 돈을 쓴 곳은 <한화:ORG>다.
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구단	구단	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
뽑	뽑	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
한화	한화	NNP	B-ORG
다	다	NNG	O
.	.	SF	O

## 5
## 박진영은 평소 배용준과 절친한 사이로 이날 결혼식 축가를 맡았다.
## <박진영:PER>은 평소 <배용준:PER>과 절친한 사이로 이날 결혼식 축가를 맡았다.
박진영	박진영	NNP	B-PER
은	은	JX	O
_	_	_	O
평소	평소	NNG	O
_	_	_	O
