## 1
## 허쉬 초콜릿은 제2차 세계대전 중 미군의 전투식량에 포함되면서 세계로 퍼져 나갔다.
## <허쉬 초콜릿:POH>은 <제2차 세계대전:POH> 중 미군의 전투식량에 포함되면서 세계로 퍼져 나갔다.
허쉬	허쉬	NNP	B-POH
_	_	_	I-POH
초콜릿	초콜릿	NNG	I-POH
은	은	JX	O
_	_	_	O
제	제	XPN	B-POH
2	2	SN	I-POH
차	차	NNB	I-POH
_	_	_	I-POH
세계	세계	NNG	I-POH
대전	대전	NNG	I-POH
_	_	_	O
중	중	NNB	O
_	_	_	O
미군	미군	NNG	O
의	의	JKG	O
_	_	_	O
전투	전투	NNG	O
식량	식량	NNG	O
에	에	JKB	O
_	_	_	O
포함되	포함되	VV	O
면서	면서	EC	O
_	_	_	O
세계	세계	NNG	O
로	로	JKB	O
_	_	_	O
퍼져	퍼지+어	VV+EC	O
_	_	_	O
나갔	나가+았	VX+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 후생노동성은 현재 자택에서 요양 중인 이 남성의 정확한 감염 경로 등을 조사하고 있다.
## <후생노동성:ORG>은 현재 자택에서 요양 중인 이 남성의 정확한 감염 경로 등을 조사하고 있다.
후생	후생	NNG	B-ORG
노동	노동	NNG	I-ORG
성	성	NNG	I-ORG
은	은	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
자택	자택	NNG	O
에서	에서	JKB	O
_	_	_	O
요양	요양	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
남성	남성	NNG	O
의	의	JKG	O
_	_	_	O
정확한	정확하+ㄴ	VA+ETM	O
_	_	_	O
감염	감염	NNG	O
_	_	_	O
경로	경로	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
조사하	조사하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 전북 구단 관계자는 “세계 각지의 팀들과 파트너십을 추진하고 있다.
## <전북:ORG> 구단 관계자는 “세계 각지의 팀들과 파트너십을 추진하고 있다.
전북	전북	NNP	B-ORG
_	_	_	O
구단	구단	NNG	O
_	_	_	O
