## 1
## 당시 김희애는 화보에서 빨간색 민소매 요가복과 검정색 숏팬츠 의상만 입고 섹시한 포즈를 취하고 있다.
## 당시 <김희애:PER>는 화보에서 빨간색 민소매 요가복과 검정색 숏팬츠 의상만 입고 섹시한 포즈를 취하고 있다.
당시	당시	NNG	O
_	_	_	O
김희애	김희애	NNP	B-PER
는	는	JX	O
_	_	_	O
화보	화보	NNG	O
에서	에서	JKB	O
_	_	_	O
빨간색	빨간색	NNG	O
_	_	_	O
민소매	민소매	NNG	O
_	_	_	O
요가	요가	NNG	O
복	복	XSN	O
과	과	JC	O
_	_	_	O
검정	검정	NNG	O
색	색	NNG	O
_	_	_	O
숏	숏	NNG	O
팬츠	팬츠	NNG	O
_	_	_	O
의상	의상	NNG	O
만	만	JX	O
_	_	_	O
입	입	VV	O
고	고	EC	O
_	_	_	O
섹시한	섹시하+ㄴ	VA+ETM	O
_	_	_	O
포즈	포즈	NNG	O
를	를	JKO	O
_	_	_	O
취하	취하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 서울시는 온맵시 나눔 바자회를 18, 19일 지하 1층 시민청에서 연다고 17일 밝혔다.
## <서울시:ORG>는 <온맵시 나눔 바자회:POH>를 <18:DAT>, <19일:DAT> 지하 1층 <시민청:LOC>에서 연다고 <17일:DAT> 밝혔다.
서울시	서울시	NNP	B-ORG
는	는	JX	O
_	_	_	O
온	온	NNG	B-POH
맵시	맵시	NNG	I-POH
_	_	_	I-POH
나눔	나누+ㅁ	VV+ETN	I-POH
_	_	_	I-POH
바자회	바자회	NNG	I-POH
를	를	JKO	O
_	_	_	O
18	18	SN	B-DAT
,	,	SP	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
지하	지하	NNG	O
_	_	_	O
1	1	SN	O
층	층	NNG	O
_	_	_	O
시민	시민	NNG	B-LOC
청	청	XSN	I-LOC
에서	에서	JKB	O
_	_	_	O
연다고	열+ㄴ다고	VV+EC	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 중년기부터 하나 둘 생겨난 질병은 해가 지날수록 하나씩 늘어나고 노년기에 이르러서는 그 숫자가 많아질 수 밖에 없다.
## 중년기부터 <하나:NOH> <둘:NOH> 생겨난 질병은 해가 지날수록 <하나:NOH>씩 늘어나고 노년기에 이르러서는 그 숫자가 많아질 수 밖에 없다.
중년기	중년기	NNG	O
부터	부터	JX	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
둘	둘	NR	B-NOH
