## 1
## 문희경은 숙대 불문과 84학번으로 1987년 강변가요제에서 대상을 수상하며 가수의 꿈을 키웠다.
## <문희경:PER>은 <숙대 불문과:ORG> <84학번:NOH>으로 <1987년:DAT> <강변가요제:POH>에서 대상을 수상하며 가수의 꿈을 키웠다.
문희경	문희경	NNP	B-PER
은	은	JX	O
_	_	_	O
숙대	숙대	NNP	B-ORG
_	_	_	I-ORG
불문	불문	NNG	I-ORG
과	과	NNG	I-ORG
_	_	_	O
84	84	SN	B-NOH
학번	학번	NNG	I-NOH
으로	으로	JKB	O
_	_	_	O
1987	1987	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
강변	강변	NNG	B-POH
가요제	가요제	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
대상	대상	NNG	O
을	을	JKO	O
_	_	_	O
수상하	수상하	VV	O
며	며	EC	O
_	_	_	O
가수	가수	NNG	O
의	의	JKG	O
_	_	_	O
꿈	꿈	NNG	O
을	을	JKO	O
_	_	_	O
키	키우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 각계각층에서 식재료를 보내온 덕분에 이날 노인 60여 명에게 제공하고도 남을 만큼 넉넉한 양의 음식이 만들어졌다.
## 각계각층에서 식재료를 보내온 덕분에 이날 노인 <60여 명:NOH>에게 제공하고도 남을 만큼 넉넉한 양의 음식이 만들어졌다.
각계각층	각계각층	NNG	O
에서	에서	JKB	O
_	_	_	O
식	식	NNG	O
재료	재료	NNG	O
를	를	JKO	O
_	_	_	O
보내온	보내오+ㄴ	VV+ETM	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
노인	노인	NNG	O
_	_	_	O
60	60	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
제공하	제공하	VV	O
고도	고도	EC	O
_	_	_	O
남	남	VV	O
을	을	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
넉넉한	넉넉하+ㄴ	VA+ETM	O
_	_	_	O
양	양	NNG	O
의	의	JKG	O
_	_	_	O
음식	음식	NNG	O
이	이	JKS	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
졌	지+었	VX+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 밥 보처스(Bob Borchers) 돌비 최고마케팅책임자 겸 수석부사장은 애플, 나이키, 노키아 같은 글로벌 기업에서 경력을 쌓고 2014년 돌비에 합류한 돌비의 2인자다.
## <밥 보처스:PER>(<Bob Borchers:PER>) <돌비:ORG> 최고마케팅책임자 겸 수석부사장은 <애플:ORG>, <나이키:ORG>, <노키아:ORG> 같은 글로벌 기업에서 경력을 쌓고 <2014년:DAT> <돌비:ORG>에 합류한 <돌비:ORG>의 <2인자:NOH>다.
밥	밥	NNG	B-PER
_	_	_	I-PER
