## 1
## 공개된 스틸 속에는 ‘고려판 뇌섹남’인 8황자 왕욱으로 완벽히 변신한 강하늘의 모습이 담겨있어 눈길을 끈다.
## 공개된 스틸 속에는 ‘고려판 뇌섹남’인 <8황자:NOH> <왕욱:PER>으로 완벽히 변신한 <강하늘:PER>의 모습이 담겨있어 눈길을 끈다.
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
스틸	스틸	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
고려판	고려판	NNG	O
_	_	_	O
뇌섹남	뇌섹남	NNG	O
’	’	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
8	8	SN	B-NOH
황자	황자	NNG	I-NOH
_	_	_	O
왕욱	왕욱	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
완벽히	완벽히	MAG	O
_	_	_	O
변신한	변신하+ㄴ	VV+ETM	O
_	_	_	O
강	강	NNG	B-PER
하늘	하늘	NNG	I-PER
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
어	어	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끈다	끌+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 교체 투입과 함께 좋은 움직임을 보이던 황희찬은 후반 33분 득점에 성공했다.
## 교체 투입과 함께 좋은 움직임을 보이던 <황희찬:PER>은 후반 <33분:NOH> 득점에 성공했다.
교체	교체	NNG	O
_	_	_	O
투입	투입	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
움직임	움직임	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
던	던	ETM	O
_	_	_	O
황희찬	황희찬	NNP	B-PER
은	은	JX	O
_	_	_	O
후반	후반	NNG	O
_	_	_	O
33	33	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
득점	득점	NNG	O
