## 1
## 그는 그러면서 "다만 박 정부의 창조경제 중 건질 부분이 있으면 그걸 건지면서 가자"고 덧붙였다.
## 그는 그러면서 "다만 <박:PER> 정부의 창조경제 중 건질 부분이 있으면 그걸 건지면서 가자"고 덧붙였다.
그	그	NP	O
는	는	JX	O
_	_	_	O
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
"	"	SS	O
다만	다만	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
창조	창조	NNG	O
경제	경제	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
건질	건지+ㄹ	VV+ETM	O
_	_	_	O
부분	부분	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
그걸	그것+ㄹ	NP+JKO	O
_	_	_	O
건지	건지	VV	O
면서	면서	EC	O
_	_	_	O
가	가	VV	O
자	자	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 【서울=뉴시스】
## 【<서울:LOC>=<뉴시스:ORG>】
【	【	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴시스	뉴시스	NNP	B-ORG
】	】	SS	O

## 3
## 허신행 전 장관 “안철수, 영입취소 인격 살인 사과하라”
## <허신행:PER> 전 장관 “<안철수:PER>, 영입취소 인격 살인 사과하라”
허신행	허신행	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
장관	장관	NNG	O
_	_	_	O
“	“	SS	O
안철수	안철수	NNP	B-PER
,	,	SP	O
_	_	_	O
영입	영입	NNG	O
취소	취소	NNG	O
_	_	_	O
인격	인격	NNG	O
_	_	_	O
살인	살인	NNG	O
_	_	_	O
사과하	사과하	VV	O
라	라	EF	O
”	”	SS	O

## 4
## 그러나 곰리의 작품으로 확정, 설치되기까지 걸린 4년의 기간 동안 이에 대한 찬반 논의는 도시 전체를 시끄럽게 했다.
## 그러나 <곰리:PER>의 작품으로 확정, 설치되기까지 걸린 <4년:DUR>의 기간 동안 이에 대한 찬반 논의는 도시 전체를 시끄럽게 했다.
그러나	그러나	MAJ	O
_	_	_	O
곰	곰	NNG	B-PER
리	리	NNB	I-PER
의	의	JKG	O
_	_	_	O
작품	작품	NNG	O
으로	으로	JKB	O
_	_	_	O
확정	확정	NNG	O
,	,	SP	O
_	_	_	O
설치되	설치되	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
걸린	걸리+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DUR
년	년	NNB	I-DUR
의	의	JKG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
찬반	찬반	NNG	O
_	_	_	O
논의	논의	NNG	O
는	는	JX	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
전체	전체	NNG	O
를	를	JKO	O
_	_	_	O
시끄럽	시끄럽	VA	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 전 세계 언어 장벽을 없애려는 구글의 야심이 점점 더 완성에 가까워지고 있다.
## 전 세계 언어 장벽을 없애려는 <구글:ORG>의 야심이 점점 더 완성에 가까워지고 있다.
전	전	MM	O
_	_	_	O
