## 1
## 지난해까지 아파트 입주자 대표로 활동해온 A씨는 2014년 9월~2015년 12월 공동관리계좌에서 자기 딸의 계좌로 1억원을 송금하거나 인출하는 등 11차례에 걸쳐 1억3800여만원을 빼내 쓴 혐의다.
## 지난해까지 아파트 입주자 대표로 활동해온 <A:PER>씨는 <2014년 9월~2015년 12월:DUR> 공동관리계좌에서 자기 딸의 계좌로 <1억원:MNY>을 송금하거나 인출하는 등 <11차례:NOH>에 걸쳐 <1억3800여만원:MNY>을 빼내 쓴 혐의다.
지난해	지난해	NNG	O
까지	까지	JX	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
입주자	입주자	NNG	O
_	_	_	O
대표	대표	NNG	O
로	로	JKB	O
_	_	_	O
활동해	활동하+여	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
2014	2014	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
9	9	SN	I-DUR
월	월	NNB	I-DUR
~	~	SO	I-DUR
2015	2015	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
12	12	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	O
공동	공동	NNG	O
관리	관리	NNG	O
계좌	계좌	NNG	O
에서	에서	JKB	O
_	_	_	O
자기	자기	NP	O
_	_	_	O
딸	딸	NNG	O
의	의	JKG	O
_	_	_	O
계좌	계좌	NNG	O
로	로	JKB	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
송금하	송금하	VV	O
거나	거나	EC	O
_	_	_	O
인출하	인출하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
11	11	SN	B-NOH
차례	차례	NNG	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
3800	3800	SN	I-MNY
여	여	XSN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
빼내	빼내+어	VV+EC	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## A씨는 횡령금 가운데 1억여원은 딸의 결혼비용과 생활비 등에 사용한 것으로 밝혀졌다.
## <A:PER>씨는 횡령금 가운데 <1억여원:MNY>은 딸의 결혼비용과 생활비 등에 사용한 것으로 밝혀졌다.
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
횡령	횡령	NNG	O
금	금	XSN	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
여	여	XSN	I-MNY
원	원	NNB	I-MNY
은	은	JX	O
_	_	_	O
딸	딸	NNG	O
의	의	JKG	O
_	_	_	O
결혼	결혼	NNG	O
비용	비용	NNG	O
과	과	JC	O
_	_	_	O
생활비	생활비	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
사용한	사용하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
밝혀	밝혀지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 경찰은 “몇백명이 거주하는 소규모 아파트는 관리체계가 허술하다는 점을 노린 범행”이라고 말했다.
## 경찰은 “<몇백명:NOH>이 거주하는 소규모 아파트는 관리체계가 허술하다는 점을 노린 범행”이라고 말했다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
몇	몇	MM	B-NOH
백	백	NR	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
거주하	거주하	VV	O
는	는	ETM	O
_	_	_	O
소규모	소규모	NNG	O
_	_	_	O
아파트	아파트	NNG	O
는	는	JX	O
_	_	_	O
관리	관리	NNG	O
체계	체계	NNG	O
가	가	JKS	O
_	_	_	O
허술하	허술하	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
노린	노리+ㄴ	VV+ETM	O
_	_	_	O
범행	범행	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
