## 1
## 모바일 기반의 ‘어스토리’는 여행 계획을 쉽고 빠르게 세울 수 있어, 한창 주목을 받고 있는 여행 플래닝 서비스이다.
## 모바일 기반의 ‘<어스토리:POH>’는 여행 계획을 쉽고 빠르게 세울 수 있어, 한창 주목을 받고 있는 여행 플래닝 서비스이다.
모바일	모바일	NNG	O
_	_	_	O
기반	기반	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
어	어	XSN	B-POH
스토리	스토리	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
쉽	쉽	VA	O
고	고	EC	O
_	_	_	O
빠르	빠르	VA	O
게	게	EC	O
_	_	_	O
세울	세우+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
,	,	SP	O
_	_	_	O
한창	한창	MAG	O
_	_	_	O
주목	주목	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
플래닝	플래닝	NNG	O
_	_	_	O
서비스	서비스	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 그는 “프랑스는 전쟁 중”이라며 IS의 테러에 대한 대응 의지를 밝혔다.
## 그는 “<프랑스:ORG>는 전쟁 중”이라며 <IS:ORG>의 테러에 대한 대응 의지를 밝혔다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
프랑스	프랑스	NNP	B-ORG
는	는	JX	O
_	_	_	O
전쟁	전쟁	NNG	O
_	_	_	O
중	중	NNP	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
IS	IS	SL	B-ORG
의	의	JKG	O
_	_	_	O
테러	테러	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
대응	대응	NNG	O
_	_	_	O
의지	의지	NNG	O
를	를	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
