## 1
## <호우시절>에서는 중국이라는 외국을 배경으로 촬영했다.
## <<호우시절:POH>>에서는 <중국:LOC>이라는 외국을 배경으로 촬영했다.
<	<	SS	O
호우	호우	NNG	B-POH
시절	시절	NNG	I-POH
>	>	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-LOC
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
외국	외국	NNG	O
을	을	JKO	O
_	_	_	O
배경	배경	NNG	O
으로	으로	JKB	O
_	_	_	O
촬영	촬영하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 박 대통령은 25일 출국해 추석 연휴 기간에 제70차 유엔총회와 유엔개발정상회의에 참석할 예정이다.
## <박:PER> 대통령은 <25일:DAT> 출국해 <추석:DAT> 연휴 기간에 <제70차:NOH> <유엔총회:ORG>와 <유엔개발정상회의:ORG>에 참석할 예정이다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
출국해	출국하+여	VV+EC	O
_	_	_	O
추석	추석	NNG	B-DAT
_	_	_	O
연휴	연휴	NNG	O
_	_	_	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
제	제	XPN	B-NOH
70	70	SN	I-NOH
차	차	NNB	I-NOH
_	_	_	O
유엔	유엔	NNP	B-ORG
총회	총회	NNG	I-ORG
와	와	JC	O
_	_	_	O
유엔	유엔	NNP	B-ORG
개발	개발	NNG	I-ORG
정상	정상	NNG	I-ORG
회의	회의	NNG	I-ORG
에	에	JKB	O
_	_	_	O
참석할	참석하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 전 전 회장 부부는 회사가 또 한 번의 부도 위기에 놓였던 2011년 5월, 123억 원에 이르는 직원 임금을 체불하고 회사 자산인 골프장을 팔아 도피자금을 마련해 미국으로 달아났다.
## <전:PER> 전 회장 부부는 회사가 또 <한 번:NOH>의 부도 위기에 놓였던 <2011년 5월:DAT>, <123억 원:MNY>에 이르는 직원 임금을 체불하고 회사 자산인 골프장을 팔아 도피자금을 마련해 <미국:LOC>으로 달아났다.
전	전	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
회장	회장	NNG	O
_	_	_	O
부부	부부	NNG	O
는	는	JX	O
_	_	_	O
회사	회사	NNG	O
가	가	JKS	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
의	의	JKG	O
_	_	_	O
부도	부도	NNG	O
_	_	_	O
위기	위기	NNG	O
에	에	JKB	O
_	_	_	O
놓	놓이	VV	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
5	5	SN	I-DAT
월	월	NNB	I-DAT
,	,	SP	O
_	_	_	O
123	123	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
는	는	ETM	O
_	_	_	O
직원	직원	NNG	O
_	_	_	O
임금	임금	NNG	O
을	을	JKO	O
_	_	_	O
체불하	체불하	VV	O
고	고	EC	O
_	_	_	O
회사	회사	NNG	O
_	_	_	O
자산	자산	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
골프장	골프장	NNG	O
을	을	JKO	O
_	_	_	O
팔	팔	VV	O
아	아	EC	O
_	_	_	O
도피	도피	NNG	O
자금	자금	NNG	O
을	을	JKO	O
_	_	_	O
마련해	마련하+여	VV+EC	O
_	_	_	O
미국	미국	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
달아났	달아나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 국내 저비용 항공사 중 처음으로 대형 항공사와 인터라인 협정을 맺은 것으로, 유나이티드항공의 표를 사는 승객은 유나이티드항공 노선과 연계된 제주항공 노선의 표를 함께 살 수 있다.
## 국내 저비용 항공사 중 처음으로 대형 항공사와 인터라인 협정을 맺은 것으로, <유나이티드항공:ORG>의 표를 사는 승객은 <유나이티드항공:ORG> 노선과 연계된 <제주항공:ORG> 노선의 표를 함께 살 수 있다.
국내	국내	NNG	O
_	_	_	O
저	저	XPN	O
비용	비용	NNG	O
_	_	_	O
항공사	항공사	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
항공사	항공사	NNG	O
와	와	JC	O
_	_	_	O
인터	인터	NNG	O
라인	라인	NNG	O
_	_	_	O
협정	협정	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
유나이티드항공	유나이티드항공	NNP	B-ORG
의	의	JKG	O
_	_	_	O
표	표	NNG	O
를	를	JKO	O
_	_	_	O
사	사	VV	O
는	는	ETM	O
_	_	_	O
승객	승객	NNG	O
은	은	JX	O
_	_	_	O
유나이티드	유나이티드	NNG	B-ORG
항공	항공	NNG	I-ORG
_	_	_	O
노선	노선	NNG	O
과	과	JKB	O
_	_	_	O
연계된	연계되+ㄴ	VV+ETM	O
_	_	_	O
제주	제주	NNP	B-ORG
항공	항공	NNG	I-ORG
_	_	_	O
노선	노선	NNG	O
의	의	JKG	O
_	_	_	O
표	표	NNG	O
를	를	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
살	살+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 도로공사는 지난 시즌 정규리그 우승을 차지했지만 챔피언결정전에서는 정규리그 2위 IBK기업은행에 3전 전패하며 준우승에 만족해야 했다.
## <도로공사:ORG>는 지난 시즌 정규리그 우승을 차지했지만 챔피언결정전에서는 정규리그 <2위:NOH> <IBK기업은행:ORG>에 <3전:NOH> 전패하며 준우승에 만족해야 했다.
도로	도로	NNG	B-ORG
공사	공사	NNG	I-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
정규	정규	NNG	O
리그	리그	NNG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
챔피언	챔피언	NNG	O
결정	결정	NNG	O
전	전	XSN	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
정규	정규	NNG	O
리그	리그	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
IBK	IBK	SL	B-ORG
기업은행	기업은행	NNP	I-ORG
에	에	JKB	O
_	_	_	O
3	3	SN	B-NOH
전	전	XSN	I-NOH
_	_	_	O
전패하	전패하	VV	O
며	며	EC	O
_	_	_	O
준우승	준우승	NNG	O
에	에	JKB	O
