## 1
## 지난달 전국 분양권 4조원 거래…수도권 전년比 273%↑
## 지난달 전국 분양권 <4조원:MNY> 거래…<수도권:LOC> 전년比 <273%:PNT>↑
지난달	지난달	NNG	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
분양	분양	NNG	O
권	권	XSN	O
_	_	_	O
4	4	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
거래	거래	NNG	O
…	…	SE	O
수도권	수도권	NNG	B-LOC
_	_	_	O
전년	전년	NNG	O
比	比	SH	O
_	_	_	O
273	273	SN	B-PNT
%	%	SW	I-PNT
↑	↑	SW	O

## 2
## 현재 전남 나주 전력거래소 종합조정실에서 근무하는 김 씨는 “다른 취준생보다 스펙은 떨어졌지만 직무 관련 지식을 집중적으로 공부해 합격할 수 있었다”고 말했다.
## 현재 <전남:LOC> <나주:LOC> <전력거래소:LOC> 종합조정실에서 근무하는 <김:PER> 씨는 “다른 취준생보다 스펙은 떨어졌지만 직무 관련 지식을 집중적으로 공부해 합격할 수 있었다”고 말했다.
현재	현재	MAG	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
나주	나주	NNP	B-LOC
_	_	_	O
전력	전력	NNG	B-LOC
거래소	거래소	NNG	I-LOC
_	_	_	O
종합	종합	NNG	O
조정	조정	NNG	O
실	실	XSN	O
에서	에서	JKB	O
_	_	_	O
근무하	근무하	VV	O
는	는	ETM	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
다른	다른	MM	O
_	_	_	O
취준생	취준생	NNG	O
보다	보다	JKB	O
_	_	_	O
스펙	스펙	NNG	O
은	은	JX	O
_	_	_	O
떨어	떨어지	VV	O
졌	었	EP	O
지만	지만	EC	O
_	_	_	O
직무	직무	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
지식	지식	NNG	O
을	을	JKO	O
_	_	_	O
집중적	집중적	NNG	O
으로	으로	JKB	O
_	_	_	O
공부해	공부하+여	VV+EC	O
_	_	_	O
합격할	합격하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 내년에 착공해 2020년 완공한다.
## 내년에 착공해 <2020년:DAT> 완공한다.
내년	내년	NNG	O
에	에	JKB	O
_	_	_	O
착공해	착공하+여	VV+EC	O
_	_	_	O
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
완공한다	완공하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 김미려 정성윤 모아 그렇게 가족이 된다
## <김미려:PER> <정성윤:PER> 모아 그렇게 가족이 된다
김미려	김미려	NNP	B-PER
_	_	_	O
정성윤	정성윤	NNP	B-PER
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
가족	가족	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O

## 5
## 듣는 것만으로도 마음을 설레게 하는 여행지, 유럽! 로맨틱한 유럽을 크루즈를 타고 럭셔리하게 여행해 보는 것은 어떨까. 크루즈 여행으로 충분히 만족스러운 여행을 할 수 있지만 한 번가기 어려운 유럽여행을 7박 8일 여정으로 끝내기는 아쉽다.
## 듣는 것만으로도 마음을 설레게 하는 여행지, <유럽:LOC>! 로맨틱한 <유럽:LOC>을 크루즈를 타고 럭셔리하게 여행해 보는 것은 어떨까. 크루즈 여행으로 충분히 만족스러운 여행을 할 수 있지만 <한 번:NOH>가기 어려운 <유럽:LOC>여행을 <7박 8일:DUR> 여정으로 끝내기는 아쉽다.
듣	듣	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
만	만	JX	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
설레	설레	VV	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
여행지	여행지	NNG	O
,	,	SP	O
_	_	_	O
유럽	유럽	NNP	B-LOC
!	!	SF	O
_	_	_	O
로맨틱한	로맨틱하+ㄴ	VA+ETM	O
_	_	_	O
유럽	유럽	NNP	B-LOC
을	을	JKO	O
_	_	_	O
크루즈	크루즈	NNG	O
를	를	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
럭셔리하	럭셔리하	VA	O
게	게	EC	O
_	_	_	O
여행해	여행하+여	VV+EC	O
_	_	_	O
보	보	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
어떨까	어떻+ㄹ까	VA+EF	O
.	.	SF	O
_	_	_	O
크루즈	크루즈	NNG	O
_	_	_	O
여행	여행	NNG	O
으로	으로	JKB	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
만족스러	만족스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번가	번갈	VV	O
기	기	ETN	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
유럽	유럽	NNP	B-LOC
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
7	7	SN	B-DUR
박	박	NNB	I-DUR
_	_	_	I-DUR
8	8	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
여정	여정	NNG	O
으로	으로	JKB	O
_	_	_	O
끝내	끝내	VV	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
아쉽	아쉽	VA	O
다	다	EF	O
.	.	SF	O

## 6
## NASA의 도움을 받아 연구를 하고 싶으면 제안서에 반드시 어떤 방식으로 일반인들이 쉽게 접근할 수 있도록 자료를 제공할 것인지 밝혀야 한다.
## <NASA:ORG>의 도움을 받아 연구를 하고 싶으면 제안서에 반드시 어떤 방식으로 일반인들이 쉽게 접근할 수 있도록 자료를 제공할 것인지 밝혀야 한다.
NASA	NASA	SL	B-ORG
의	의	JKG	O
_	_	_	O
