## 1
## 지난 18대 대선 때 박근혜 전 대통령은 ‘박근혜 약속펀드’로 51시간 만에 250억원을 모았고 대출로 200억원을 마련했다.
## 지난 <18대:NOH> 대선 때 <박근혜:PER> 전 대통령은 ‘<박근혜 약속펀드:POH>’로 <51시간:DUR> 만에 <250억원:MNY>을 모았고 대출로 <200:MNY>억원을 마련했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
18	18	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
대선	대선	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
박근혜	박근혜	NNP	B-POH
_	_	_	I-POH
약속	약속	NNG	I-POH
펀드	펀드	NNG	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
51	51	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
250	250	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
고	고	EC	O
_	_	_	O
대출	대출	NNG	O
로	로	JKB	O
_	_	_	O
200	200	SN	B-MNY
억	억	NR	O
원	원	NNB	O
을	을	JKO	O
_	_	_	O
마련	마련하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 만약 트럼프가 공석을 모두 메꾼다면 지미 카터 39대 대통령이 사법부를 대폭 확대하면서 259석의 공석을 채우고 152명의 신임판사를 채용한 이후 가장 많은 수다.
## 만약 <트럼프:PER>가 공석을 모두 메꾼다면 지미 카터 <39대:NOH> 대통령이 사법부를 대폭 확대하면서 <259석:NOH>의 공석을 채우고 <152명:NOH>의 신임판사를 채용한 이후 가장 많은 수다.
만약	만약	NNG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
가	가	JKS	O
_	_	_	O
공석	공석	NNG	O
을	을	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
메꾼다면	메꾸+ㄴ다면	VV+EC	O
_	_	_	O
지미	지미	NNP	O
_	_	_	O
카터	카터	NNP	O
_	_	_	O
39	39	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
사법부	사법부	NNG	O
를	를	JKO	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
확대하	확대하	VV	O
면서	면서	EC	O
_	_	_	O
259	259	SN	B-NOH
석	석	NNB	I-NOH
의	의	JKG	O
_	_	_	O
공석	공석	NNG	O
을	을	JKO	O
_	_	_	O
채우	채우	VV	O
고	고	EC	O
_	_	_	O
152	152	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
신임	신임	NNG	O
판사	판사	NNG	O
를	를	JKO	O
_	_	_	O
채용한	채용하+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
수	수+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 티아라의 멤버 홈페이지 관리자들도 줄줄이 ‘탈덕’(팬 중지)을 선언하며 홈페이지를 닫았다.
## <티아라:ORG>의 멤버 홈페이지 관리자들도 줄줄이 ‘탈덕’(팬 중지)을 선언하며 홈페이지를 닫았다.
티아라	티아라	NNP	B-ORG
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
_	_	_	O
