## 1
## 이미 LG 베테랑 타자 박용택이 A형 인플루엔자 판정을 받아 1군 엔트리에서 제외됐다.
## 이미 <LG:ORG> 베테랑 타자 <박용택:PER>이 A형 인플루엔자 판정을 받아 <1군:ORG> 엔트리에서 제외됐다.
이미	이미	MAG	O
_	_	_	O
LG	LG	SL	B-ORG
_	_	_	O
베테랑	베테랑	NNG	O
_	_	_	O
타자	타자	NNG	O
_	_	_	O
박용택	박용택	NNP	B-PER
이	이	JKS	O
_	_	_	O
A	A	SL	O
형	형	XSN	O
_	_	_	O
인플루엔자	인플루엔자	NNG	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
1	1	SN	B-ORG
군	군	NNG	I-ORG
_	_	_	O
엔트리	엔트리	NNG	O
에서	에서	JKB	O
_	_	_	O
제외	제외되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이래저래 따지면 정치권에서 한회장과 안닿는 의원이 별로 없다는 얘기도 들린다.
## 이래저래 따지면 정치권에서 <한:PER>회장과 안닿는 의원이 별로 없다는 얘기도 들린다.
이래저래	이래저래	MAG	O
_	_	_	O
따지	따지	VV	O
면	면	EC	O
_	_	_	O
정치권	정치권	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	NNP	B-PER
회장	회장	NNG	O
과	과	JC	O
_	_	_	O
안	안	NNP	O
닿	닿	VV	O
는	는	ETM	O
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
별로	별로	MAG	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
얘기	얘기	NNG	O
도	도	JX	O
_	_	_	O
들린다	들리+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 올해 가장 작았던 3월의 달보다 지름이 14% 크다.
## 올해 가장 작았던 <3월:DAT>의 달보다 지름이 <14%:PNT> 크다.
올해	올해	NNG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
작	작	VA	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
의	의	JKG	O
_	_	_	O
달	달	NNG	O
보다	보다	JKB	O
_	_	_	O
지름	지름	NNG	O
이	이	JKS	O
_	_	_	O
14	14	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 충남, 미세먼지 火電에 ‘火’ 났다
## <충남:ORG>, 미세먼지 火電에 ‘火’ 났다
충남	충남	NNP	B-ORG
,	,	SP	O
_	_	_	O
미세	미세	NNG	O
먼지	먼지	NNG	O
_	_	_	O
火電	火電	SH	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
火	火	SH	O
’	’	SS	O
_	_	_	O
났	나+았	VV+EP	O
다	다	EF	O

## 5
## 몸무게의 약 900배에 이르는 압력에서 그들은 완전히 납작해졌다가 곧바로 원상을 회복했다.
## 몸무게의 약 <900배:PNT>에 이르는 압력에서 그들은 완전히 납작해졌다가 곧바로 원상을 회복했다.
몸무게	몸무게	NNG	O
의	의	JKG	O
_	_	_	O
약	약	MM	O
_	_	_	O
900	900	SN	B-PNT
배	배	NNG	I-PNT
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
는	는	ETM	O
_	_	_	O
압력	압력	NNG	O
에서	에서	JKB	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
완전히	완전히	MAG	O
_	_	_	O
납작해	납작하	VA	O
졌	여+지+었	EC+VX+EP	O
다가	다가	EC	O
_	_	_	O
곧바로	곧바로	MAG	O
_	_	_	O
원상	원상	NNG	O
을	을	JKO	O
_	_	_	O
회복	회복하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 양국이 1886년 조·불 수호통상조약 체결 이후 130년 만에 열리는 첫 전략대화라는 것 외에도 특별한 점이 있었다.
## <양:NOH>국이 <1886년:DAT> <조·불 수호통상조약:POH> 체결 이후 <130년:NOH> 만에 열리는 첫 전략대화라는 것 외에도 특별한 점이 있었다.
양국	양국	NNG	O
이	이	JKS	O
_	_	_	O
1886	1886	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
조	조	NNG	B-POH
·	·	SP	I-POH
불	불	NNP	I-POH
_	_	_	I-POH
수호	수호	NNG	I-POH
통상	통상	NNG	I-POH
조약	조약	NNG	I-POH
_	_	_	O
체결	체결	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
130	130	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
