## 1
## 동반 3인도 30% 할인을 받을 수 있다.
## 동반 3인도 <30%:PNT> 할인을 받을 수 있다.
동반	동반	NNG	O
_	_	_	O
3	3	SN	O
인도	인도	NNP	O
_	_	_	O
30	30	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
할인	할인	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 따라서 2016년 리우데자네이루 올림픽 예선에 출전할 대표팀에서 리가 하은주(신한은행) 양지희(우리은행)와 함께 골밑을 지켜 준다면 대표팀 전력이 급상승할 수 있다.
## 따라서 <2016년:DAT> <리우데자네이루 올림픽:POH> 예선에 출전할 대표팀에서 리가 <하은주:PER>(<신한은행:ORG>) <양지희:PER>(<우리은행:ORG>)와 함께 골밑을 지켜 준다면 대표팀 전력이 급상승할 수 있다.
따라서	따라서	MAJ	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
리우데자네이루	리우데자네이루	NNP	B-POH
_	_	_	I-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
예선	예선	NNG	O
에	에	JKB	O
_	_	_	O
출전할	출전하+ㄹ	VV+ETM	O
_	_	_	O
대표	대표	NNG	O
팀	팀	NNG	O
에서	에서	JKB	O
_	_	_	O
리	리	NNB	O
가	가	JKS	O
_	_	_	O
하은주	하은주	NNP	B-PER
(	(	SS	O
신한은행	신한은행	NNP	B-ORG
)	)	SS	O
_	_	_	O
양지희	양지희	NNP	B-PER
(	(	SS	O
우리은행	우리은행	NNP	B-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
골	골	NNG	O
밑	밑	NNG	O
을	을	JKO	O
_	_	_	O
지켜	지키+어	VV+EC	O
_	_	_	O
준다면	주+ㄴ다면	VX+EC	O
_	_	_	O
대표	대표	NNG	O
팀	팀	NNG	O
_	_	_	O
전력	전력	NNG	O
이	이	JKS	O
_	_	_	O
급상승할	급상승하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 다만 이효희(37), 정대영(36) 등 지금 도로공사의 베테랑 선수들이 마주한 어려움은 누구보다 잘 안다.
## 다만 <이효희:PER>(<37:NOH>), <정대영:PER>(<36:NOH>) 등 지금 <도로공사:ORG>의 베테랑 선수들이 마주한 어려움은 누구보다 잘 안다.
다만	다만	MAG	O
_	_	_	O
이효희	이효희	NNP	B-PER
(	(	SS	O
37	37	SN	B-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
정대영	정대영	NNP	B-PER
(	(	SS	O
36	36	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
지금	지금	NNG	O
_	_	_	O
도로	도로	NNG	B-ORG
공사	공사	NNG	I-ORG
의	의	JKG	O
_	_	_	O
베테랑	베테랑	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
마주한	마주하+ㄴ	VV+ETM	O
_	_	_	O
어려움	어려움	NNG	O
은	은	JX	O
_	_	_	O
누구	누구	NP	O
보다	보다	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
안다	알+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 김수영에게 이사벨라가 있었다면, 나에게는 바바라가 연인이 되어 북극성처럼 나의 젊은 시절을 이끌어 주었다.
## <김수영:NOH>에게 <이사벨라:ORG>가 있었다면, 나에게는 <바바라:ORG>가 연인이 되어 북극성처럼 나의 젊은 시절을 이끌어 주었다.
김수영	김수영	NNP	B-NOH
에게	에게	JKB	O
_	_	_	O
이사벨라	이사벨라	NNP	B-ORG
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다면	다면	EC	O
,	,	SP	O
_	_	_	O
나	나	NP	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
바바라	바바라	NNP	B-ORG
가	가	JKS	O
_	_	_	O
연인	연인	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
어	어	EC	O
_	_	_	O
북극성	북극성	NNP	O
처럼	처럼	JKB	O
_	_	_	O
나	나	NP	O
의	의	JKG	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
시절	시절	NNG	O
을	을	JKO	O
_	_	_	O
이끌	이끌	VV	O
어	어	EC	O
_	_	_	O
주	주	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 김선영 서울대 생명과학부 교수
## <김선영:PER> <서울대 생명과학부:ORG> 교수
김선영	김선영	NNP	B-PER
_	_	_	O
서울대	서울대	NNP	B-ORG
_	_	_	I-ORG
생명	생명	NNG	I-ORG
과학	과학	NNG	I-ORG
부	부	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O

## 6
## 중국이 요동치고 있는 요즘 시장 여건이 어려울수록 우리는 새로운 해외의 먹을거리를 찾아나가야 한다.
## <중국:ORG>이 요동치고 있는 요즘 시장 여건이 어려울수록 우리는 새로운 해외의 먹을거리를 찾아나가야 한다.
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
요동치	요동치	VV	O
고	고	EC	O
