## 1
## 금융당국, 대형 증권사들 기업대출 한도 확대키로
## <금융당국:ORG>, 대형 증권사들 기업대출 한도 확대키로
금융	금융	NNG	B-ORG
당국	당국	NNG	I-ORG
,	,	SP	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
증권사	증권사	NNG	O
들	들	XSN	O
_	_	_	O
기업	기업	NNG	O
대출	대출	NNG	O
_	_	_	O
한도	한도	NNG	O
_	_	_	O
확대	확대하	VV	O
키	기	ETN	O
로	로	JKB	O

## 2
## ◆여당 “총리 인준안 17일까진 처리해야”=유승민 원내대표는 이날 당 최고위원회의에서 “18일 대정부질문이 시작되는 만큼 17일까진 황교안 국무총리 후보자에 대한 인준안을 처리해야 한다”고 강조했다.
## ◆여당 “총리 인준안 <17일:DAT>까진 처리해야”=<유승민:PER> 원내대표는 이날 당 최고위원회의에서 “<18일:DAT> 대정부질문이 시작되는 만큼 <17일:DAT>까진 <황교안:PER> 국무총리 후보자에 대한 인준안을 처리해야 한다”고 강조했다.
◆	◆	SW	O
여당	여당	NNG	O
_	_	_	O
“	“	SS	O
총리	총리	NNG	O
_	_	_	O
인준	인준	NNG	O
안	안	NNG	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
까진	까지+이	JX+VCP	O
_	_	_	O
처리해야	처리하+여야	VV+EF	O
”	”	SS	O
=	=	SW	O
유승민	유승민	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
당	당	NNG	O
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
회의	회의	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대	대	XPN	O
정부	정부	NNG	O
질문	질문	NNG	O
이	이	JKS	O
_	_	_	O
시작되	시작되	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
까진	까지+이	JX+VCP	O
_	_	_	O
황교안	황교안	NNP	B-PER
_	_	_	O
국무총리	국무총리	NNG	O
_	_	_	O
후보자	후보자	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
인준	인준	NNG	O
안	안	NNG	O
을	을	JKO	O
_	_	_	O
처리해야	처리하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 나름 조절해 능수능란하게 빠져나올 줄 알았는데 그렇지 않더라.”한계는 2일 종영한 MBC 일일드라마 ‘소원을 말해봐’ 이후 절정에 다다랐다.
