## 1
## 지난해 말 기준으로 강남의 유흥업소 숫자는 서울 시내 25개 자치구 중에서 가장 많았다.
## 지난해 말 기준으로 <강남:LOC>의 유흥업소 숫자는 <서울:LOC> 시내 <25개:NOH> 자치구 중에서 가장 많았다.
지난해	지난해	NNG	O
_	_	_	O
말	말	NNB	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
강남	강남	NNP	B-LOC
의	의	JKG	O
_	_	_	O
유흥업소	유흥업소	NNG	O
_	_	_	O
숫자	숫자	NNG	O
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
시내	시내	NNG	O
_	_	_	O
25	25	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
자치구	자치구	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 관세청은 올해 무역금융 사기, 재산 빼돌리기 등에 대한 특별단속을 벌여 5353억 원 규모의 외환범죄를 적발했다고 14일 밝혔다.
## <관세청:ORG>은 올해 무역금융 사기, 재산 빼돌리기 등에 대한 특별단속을 벌여 <5353억 원:MNY> 규모의 외환범죄를 적발했다고 <14일:DAT> 밝혔다.
관세청	관세청	NNG	B-ORG
은	은	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
무역	무역	NNG	O
금융	금융	NNG	O
_	_	_	O
사기	사기	NNG	O
,	,	SP	O
_	_	_	O
재산	재산	NNG	O
_	_	_	O
빼돌리	빼돌리	VV	O
기	기	ETN	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
특별	특별	NNG	O
단속	단속	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌이	VV	O
여	어	EC	O
_	_	_	O
5353	5353	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
외환	외환	NNG	O
범죄	범죄	NNG	O
를	를	JKO	O
_	_	_	O
적발	적발하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 성동일 "김성령, 이민호와 작품하는 건 과유불급" …무슨 말?
## <성동일:PER> "<김성령:PER>, <이민호:PER>와 작품하는 건 과유불급" …무슨 말?
성동일	성동일	NNP	B-PER
_	_	_	O
"	"	SS	O
김성령	김성령	NNP	B-PER
,	,	SP	O
_	_	_	O
이민호	이민호	NNP	B-PER
와	와	JC	O
_	_	_	O
작품	작품	NNG	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
과유불급	과유불급	NNG	O
"	"	SS	O
_	_	_	O
…	…	SE	O
무슨	무슨	MM	O
_	_	_	O
말	말	NNG	O
?	?	SF	O

## 4
## 이 학원의 어퍼 Upper 레벨 반(중학생 대상)은 1차 수업(12월 19일~12월 31일)이 벌써 마감되었고, 2차 수업(2017년 1월 2일~2월 10일)을 접수하고 있다.
## 이 학원의 어퍼 Upper 레벨 반(중학생 대상)은 <1차:NOH> 수업(<12월 19일~12월 31일:DUR>)이 벌써 마감되었고, <2차:NOH> 수업(<2017년 1월 2일~2월 10일:DUR>)을 접수하고 있다.
이	이	MM	O
_	_	_	O
학원	학원	NNG	O
의	의	JKG	O
_	_	_	O
어	어	NNG	O
퍼	퍼	NNG	O
_	_	_	O
Upper	Upper	SL	O
_	_	_	O
레벨	레벨	NNG	O
_	_	_	O
반	반	NNG	O
(	(	SS	O
중학생	중학생	NNG	O
_	_	_	O
대상	대상	NNG	O
)	)	SS	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
수업	수업	NNG	O
(	(	SS	O
12	12	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
19	19	SN	I-DUR
일	일	NNB	I-DUR
~	~	SO	I-DUR
12	12	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
31	31	SN	I-DUR
일	일	NNB	I-DUR
)	)	SS	O
이	이	JKS	O
_	_	_	O
벌써	벌써	MAG	O
_	_	_	O
마감되	마감되	VV	O
었	었	EP	O
고	고	JKQ	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
수업	수업	NNG	O
(	(	SS	O
2017	2017	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
1	1	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
2	2	SN	I-DUR
일	일	NNB	I-DUR
~	~	SO	I-DUR
2	2	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
10	10	SN	I-DUR
일	일	NNB	I-DUR
)	)	SS	O
을	을	JKO	O
_	_	_	O
접수하	접수하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 「북핵대응」/양국 접근방식 무엇이 다른가
## 「북핵대응」/<양:NOH>국 접근방식 무엇이 다른가
「	「	SS	O
북	북	NNP	O
핵	핵	NNG	O
대응	대응	NNG	O
」	」	SS	O
/	/	SP	O
양국	양국	NNG	O
_	_	_	O
접근	접근	NNG	O
방식	방식	NNG	O
_	_	_	O
무엇	무엇	NP	O
이	이	JKS	O
_	_	_	O
다른가	다르+ㄴ가	VA+EF	O

## 6
## 단순 비례로 계산해 WAR 55.8이 타율 0.300이라면 WAR 43.8은 타율 0.235입니다.
## 단순 비례로 계산해 <WAR 55.8:NOH>이 타율 <0.300:PNT>이라면 <WAR 43.8:NOH>은 타율 <0.235:PNT>입니다.
단순	단순	NNG	O
_	_	_	O
비례	비례	NNG	O
로	로	JKB	O
_	_	_	O
계산해	계산하+여	VV+EC	O
_	_	_	O
WAR	WAR	SL	B-NOH
_	_	_	I-NOH
55.8	55.8	SN	I-NOH
이	이	JKC	O
_	_	_	O
타율	타율	NNG	O
_	_	_	O
0.300	0.300	SN	B-PNT
이	이	VCP	O
라면	라면	EC	O
_	_	_	O
WAR	WAR	SL	B-NOH
_	_	_	I-NOH
43.8	43.8	SN	I-NOH
은	은	JX	O
_	_	_	O
타율	타율	NNG	O
_	_	_	O
0.235	0.235	SN	B-PNT
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 7
## 동아대 관계자는 “겉치레를 빼자는 한 총장의 뜻에 따른 것”이라고 설명했다.
## <동아대:ORG> 관계자는 “겉치레를 빼자는 한 총장의 뜻에 따른 것”이라고 설명했다.
동아대	동아대	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
겉치레	겉치레	NNG	O
를	를	JKO	O
_	_	_	O
빼	빼	VV	O
자는	자는	ETM	O
