## 1
## 20일 오전 1시30분께(현지시간) 조 모 씨(57)가 필리핀 바탕가스 주 말바르 시 자택에서 4인조 괴한의 총격을 받고 사망했다.
## <20일:DAT> <오전 1시30분:TIM>께(현지시간) <조 모:PER> 씨(<57:NOH>)가 <필리핀:LOC> <바탕가스 주:LOC> <말바르 시:LOC> 자택에서 <4인조:NOH> 괴한의 총격을 받고 사망했다.
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
1	1	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
께	께	XSN	O
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
조	조	NNP	B-PER
_	_	_	I-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
57	57	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
필리핀	필리핀	NNP	B-LOC
_	_	_	O
바탕가스	바탕가스	NNP	B-LOC
_	_	_	I-LOC
주	주	NNB	I-LOC
_	_	_	O
말	말	NNB	B-LOC
바르	바르	VA	I-LOC
_	_	_	I-LOC
시	시	NNG	I-LOC
_	_	_	O
자택	자택	NNG	O
에서	에서	JKB	O
_	_	_	O
4	4	SN	B-NOH
인	인	NNG	I-NOH
조	조	NNG	I-NOH
_	_	_	O
괴한	괴한	NNG	O
의	의	JKG	O
_	_	_	O
총격	총격	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
사망	사망하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 사건 당시 조씨는 자택에서 필리핀인 부인, 아기와 함께 잠을 자던 중에 피살됐다.
## 사건 당시 <조:PER>씨는 자택에서 필리핀인 부인, 아기와 함께 잠을 자던 중에 피살됐다.
사건	사건	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
조	조	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
자택	자택	NNG	O
에서	에서	JKB	O
_	_	_	O
필리핀	필리핀	NNP	O
