## 1
## 문화체육관광부에 등록된 정기간행물(신문·잡지·통신 등)은 2006년 8551건에서 2015년 1만8712건으로 두 배 이상 증가했다.
## <문화체육관광부:ORG>에 등록된 정기간행물(신문·잡지·통신 등)은 <2006년:DAT> <8551건:NOH>에서 <2015년:DAT> <1만8712건:NOH>으로 <두 배:PNT> 이상 증가했다.
문화	문화	NNG	B-ORG
체육	체육	NNG	I-ORG
관광부	관광부	NNG	I-ORG
에	에	JKB	O
_	_	_	O
등록된	등록되+ㄴ	VV+ETM	O
_	_	_	O
정기	정기	NNG	O
간행물	간행물	NNG	O
(	(	SS	O
신문	신문	NNG	O
·	·	SP	O
잡지	잡지	NNG	O
·	·	SP	O
통신	통신	NNG	O
_	_	_	O
등	등	NNB	O
)	)	SS	O
은	은	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
8551	8551	SN	B-NOH
건	건	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
8712	8712	SN	I-NOH
건	건	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
두	두	MM	B-PNT
_	_	_	I-PNT
배	배	NNG	I-PNT
_	_	_	O
이상	이상	NNG	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 영상에서 한그루는 “저는 매일 이렇게 헬스장에 나와 운동을 합니다”라며 수준급 스트레칭으로 유연성을 과시했다.
## 영상에서 <한그루:PER>는 “저는 매일 이렇게 헬스장에 나와 운동을 합니다”라며 수준급 스트레칭으로 유연성을 과시했다.
영상	영상	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	MM	B-PER
그루	그루	NNB	I-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
저	저	NP	O
는	는	JX	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
헬스	헬스	NNG	O
장	장	XSN	O
에	에	JKB	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
운동	운동	NNG	O
을	을	JKO	O
_	_	_	O
합니다	하+ㅂ니다	VV+EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
수준급	수준급	NNG	O
_	_	_	O
스트레칭	스트레칭	NNG	O
으로	으로	JKB	O
_	_	_	O
유연성	유연성	NNG	O
을	을	JKO	O
_	_	_	O
과시	과시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 홈플러스는 최근 휴가지 인파와 교통체증을 피해 집에서 바캉스를 즐기려는 ‘홈캉스(Home+Vacance)’족을 겨냥한 마케팅을 펼쳐 내수 경기를 살리는 데 일조하고 있다.
## <홈플러스:ORG>는 최근 휴가지 인파와 교통체증을 피해 집에서 바캉스를 즐기려는 ‘홈캉스(Home+Vacance)’족을 겨냥한 마케팅을 펼쳐 내수 경기를 살리는 데 일조하고 있다.
홈플러스	홈플러스	NNP	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
휴가	휴가	NNG	O
지	지	XSN	O
_	_	_	O
인파	인파	NNG	O
와	와	JKB	O
_	_	_	O
교통	교통	NNG	O
체증	체증	NNG	O
을	을	JKO	O
_	_	_	O
피해	피하+여	VV+EC	O
