## 1
## ■ 이용규 4주 부상 이탈…돌파구 있나? 팀최다
## ■ <이용규:PER> <4주:DUR> 부상 이탈…돌파구 있나? 팀최다
■	■	SW	O
_	_	_	O
이용규	이용규	NNP	B-PER
_	_	_	O
4	4	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
부상	부상	NNG	O
_	_	_	O
이탈	이탈	NNG	O
…	…	SE	O
돌파구	돌파구	NNG	O
_	_	_	O
있	있	VA	O
나	나	EF	O
?	?	SF	O
_	_	_	O
팀	팀	NNG	O
최다	최다	NNG	O

## 2
## 건설사들은 “지난해 10월 집단대출 심사가 강화되면서 대출을 거부당하거나 금리가 올라 어려움을 겪고 있다”고 하소연한다.
## 건설사들은 “지난해 <10월:DAT> 집단대출 심사가 강화되면서 대출을 거부당하거나 금리가 올라 어려움을 겪고 있다”고 하소연한다.
건설	건설	NNG	O
사	사	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
집단	집단	NNG	O
대출	대출	NNG	O
_	_	_	O
심사	심사	NNG	O
가	가	JKS	O
_	_	_	O
강화되	강화되	VV	O
면서	면서	EC	O
_	_	_	O
대출	대출	NNG	O
을	을	JKO	O
_	_	_	O
거부	거부	NNG	O
당하	당하	XSV	O
거나	거나	EC	O
_	_	_	O
금리	금리	NNG	O
가	가	JKS	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
어려움	어려움	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
하소연한다	하소연하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 롯데 그룹 경영 비리와 관련해 횡령 등 혐의로 재판에 넘겨진 신동빈 롯데그룹 회장(62) 등 총수 일가 다섯 명과 임원 네 명 등 관련자 모두가 첫 재판에서 혐의 사실을 전면 부인했다.
## <롯데 그룹:ORG> 경영 비리와 관련해 횡령 등 혐의로 재판에 넘겨진 <신동빈:PER> <롯데그룹:ORG> 회장(<62:NOH>) 등 총수 일가 <다섯 명:NOH>과 임원 <네 명:NOH> 등 관련자 모두가 첫 재판에서 혐의 사실을 전면 부인했다.
