## 1
## 이지원 사원은 “영업 부문은 전국 대리점을 돌아다니는 등 대외 활동이 많은 곳이라 분위기가 딱딱하지 않다”고 설명했다.
## <이지원:PER> 사원은 “영업 부문은 전국 대리점을 돌아다니는 등 대외 활동이 많은 곳이라 분위기가 딱딱하지 않다”고 설명했다.
이지원	이지원	NNP	B-PER
_	_	_	O
사원	사원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
영업	영업	NNG	O
_	_	_	O
부문	부문	NNG	O
은	은	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
대리점	대리점	NNG	O
을	을	JKO	O
_	_	_	O
돌아다니	돌아다니	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
대외	대외	NNG	O
_	_	_	O
활동	활동	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
곳	곳	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
분위기	분위기	NNG	O
가	가	JKS	O
_	_	_	O
딱딱하	딱딱하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘아녀자’의 국정농단에 휘둘린 것은 정부 하나로 족하다.
## ‘아녀자’의 국정농단에 휘둘린 것은 정부 <하나:NOH>로 족하다.
‘	‘	SS	O
아녀자	아녀자	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
국정	국정	NNG	O
농단	농단	NNG	O
에	에	JKB	O
_	_	_	O
휘둘린	휘둘리+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
하나	하나	NNG	B-NOH
로	로	JKB	O
_	_	_	O
족하	족하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 작년 하반기부터 PC 시장은 인텔의 6세대 코어 시리즈(코드명 스카이레이크) 프로세서로 본격 세대 전환을 시작했다.
## 작년 하반기부터 PC 시장은 <인텔:ORG>의 <6세대 코어 시리즈:POH>(코드명 <스카이레이크:POH>) 프로세서로 본격 세대 전환을 시작했다.
작년	작년	NNG	O
_	_	_	O
하반기	하반기	NNG	O
부터	부터	JX	O
_	_	_	O
PC	PC	SL	O
_	_	_	O
시장	시장	NNG	O
은	은	JX	O
_	_	_	O
인텔	인텔	NNP	B-ORG
의	의	JKG	O
_	_	_	O
6	6	SN	B-POH
세대	세대	NNG	I-POH
_	_	_	I-POH
코어	코어	NNG	I-POH
_	_	_	I-POH
시리즈	시리즈	NNG	I-POH
(	(	SS	O
코드	코드	NNG	O
명	명	NNG	O
_	_	_	O
