## 1
## 공격적 측면과 전술적 부분에 있어서는 제주전과는 다르게 나갈 것”이라고 전술 변화를 예고했다.
## 공격적 측면과 전술적 부분에 있어서는 <제주:ORG>전과는 다르게 나갈 것”이라고 전술 변화를 예고했다.
공격적	공격적	NNG	O
_	_	_	O
측면	측면	NNG	O
과	과	JC	O
_	_	_	O
전술적	전술적	NNG	O
_	_	_	O
부분	부분	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
어서	어서	EC	O
는	는	JX	O
_	_	_	O
제주전	제주전	NNG	O
과	과	JKB	O
는	는	JX	O
_	_	_	O
다르	다르	VA	O
게	게	EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전술	전술	NNG	O
_	_	_	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
예고	예고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 낸드플래시 시장의 가파른 성장세도 SK가 도시바에 매달리는 이유다.
## 낸드플래시 시장의 가파른 성장세도 <SK:ORG>가 <도시바:ORG>에 매달리는 이유다.
낸드	낸드	NNG	O
플래시	플래시	NNG	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
가파른	가파르+ㄴ	VA+ETM	O
_	_	_	O
성장세	성장세	NNG	O
도	도	JX	O
_	_	_	O
SK	SK	SL	B-ORG
가	가	JKS	O
_	_	_	O
도시바	도시바	NNP	B-ORG
에	에	JKB	O
_	_	_	O
매달리	매달리	VV	O
는	는	ETM	O
_	_	_	O
이유	이유+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 전용 85㎡ 물량의 40%에 적용된다.
## 전용 <85㎡:NOH> 물량의 <40%:PNT>에 적용된다.
전용	전용	NNG	O
_	_	_	O
85	85	SN	B-NOH
㎡	㎡	SW	I-NOH
_	_	_	O
물량	물량	NNG	O
의	의	JKG	O
_	_	_	O
40	40	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
적용된다	적용되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## ＂우리가 공화당 大選후보＂
## ＂우리가 <공화당:ORG> 大選후보＂
＂	＂	SS	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
공화당	공화당	NNP	B-ORG
_	_	_	O
大選	大選	SH	O
후보	후보	NNG	O
＂	＂	SS	O

## 5
## 1991년생으로 올해 배우 5년 차인 이원근은 최근 인기드라마 ‘굿와이프’, 영화 ‘여교사’를 통해 한국 대표 배우 전도연, 유지태, 김하늘 등 내로라하는 선배들과 연기 호흡을 맞췄다.
