## 1
## 경찰은 진 씨가 포함된 해커조직이 사용한 대포통장 계좌에서 스미싱 등의 범죄로 약 145억 원이 드나든 것을 확인하고 수사를 확대하고 있다.
## 경찰은 <진:PER> 씨가 포함된 해커조직이 사용한 대포통장 계좌에서 스미싱 등의 범죄로 약 <145억 원:MNY>이 드나든 것을 확인하고 수사를 확대하고 있다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
진	진	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
포함된	포함되+ㄴ	VV+ETM	O
_	_	_	O
해커	해커	NNG	O
조직	조직	NNG	O
이	이	JKS	O
_	_	_	O
사용한	사용하+ㄴ	VV+ETM	O
_	_	_	O
대포	대포	NNG	O
통장	통장	NNG	O
_	_	_	O
계좌	계좌	NNG	O
에서	에서	JKB	O
_	_	_	O
스	스	NNG	O
미싱	미싱	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
범죄	범죄	NNG	O
로	로	JKB	O
_	_	_	O
약	약	MM	O
_	_	_	O
145	145	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
드나든	드나들+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
확인하	확인하	VV	O
고	고	EC	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
확대하	확대하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 이건혁 기자 gun@donga.com
## <이건혁:PER> 기자 gun@donga.com
이건혁	이건혁	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
gun	gun	SL	O
@	@	SW	O
donga	donga	SL	O
.	.	SF	O
com	com	SL	O

## 3
## 10월 마지막 날인 핼러윈부터 12월 크리스마스까지는 연말 분위기가 나는 쿠키 굽기, 크리스마스 장식하기, 양초 만들기 수업이 인기다.
## <10월:DAT> 마지막 날인 <핼러윈:DAT>부터 <12월:DAT> <크리스마스:DAT>까지는 연말 분위기가 나는 쿠키 굽기, <크리스마스:POH> 장식하기, 양초 만들기 수업이 인기다.
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
날	날	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
핼러윈	핼러윈	NNG	B-DAT
부터	부터	JX	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
크리스마스	크리스마스	NNG	B-DAT
까지	까지	JX	O
는	는	JX	O
_	_	_	O
연말	연말	NNG	O
_	_	_	O
분위기	분위기	NNG	O
가	가	JKS	O
_	_	_	O
나	나	VV	O
는	는	ETM	O
_	_	_	O
쿠키	쿠키	NNP	O
_	_	_	O
굽	굽	VV	O
