## 1
## 불에 달군 쇠막대기로 고양이를 찌르고 주전자에 담긴 끓는 물을 고양이에게 붓는 학대 행위를 동영상으로 촬영해 유포한 20대가 경찰에 붙잡혔다.
## 불에 달군 쇠막대기로 고양이를 찌르고 주전자에 담긴 끓는 물을 고양이에게 붓는 학대 행위를 동영상으로 촬영해 유포한 <20대:NOH>가 경찰에 붙잡혔다.
불	불	NNG	O
에	에	JKB	O
_	_	_	O
달군	달구+ㄴ	VV+ETM	O
_	_	_	O
쇠막대기	쇠막대기	NNG	O
로	로	JKB	O
_	_	_	O
고양이	고양이	NNG	O
를	를	JKO	O
_	_	_	O
찌르	찌르	VV	O
고	고	EC	O
_	_	_	O
주전자	주전자	NNG	O
에	에	JKB	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
끓	끓	VV	O
는	는	ETM	O
_	_	_	O
물	물	NNG	O
을	을	JKO	O
_	_	_	O
고양이	고양이	NNG	O
에게	에게	JKB	O
_	_	_	O
붓	붓	VV	O
는	는	ETM	O
_	_	_	O
학대	학대	NNG	O
_	_	_	O
행위	행위	NNG	O
를	를	JKO	O
_	_	_	O
동영상	동영상	NNG	O
으로	으로	JKB	O
_	_	_	O
촬영해	촬영하+여	VV+EC	O
_	_	_	O
유포한	유포하+ㄴ	VV+ETM	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
붙잡	붙잡히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서울 방배경찰서는 동물보호법상 동물학대행위, 동물학대 영상물 게시물 위반 혐의로 A씨(25·무직)를 불구속 입건했다고 14일 밝혔다.
## <서울 방배경찰서:ORG>는 동물보호법상 동물학대행위, 동물학대 영상물 게시물 위반 혐의로 <A:PER>씨(<25:NOH>·무직)를 불구속 입건했다고 <14일:DAT> 밝혔다.
서울	서울	NNP	B-ORG
_	_	_	I-ORG
방배	방배	NNP	I-ORG
경찰서	경찰서	NNG	I-ORG
는	는	JX	O
_	_	_	O
동물	동물	NNG	O
보호	보호	NNG	O
법	법	NNG	O
상	상	XSN	O
_	_	_	O
동물	동물	NNG	O
학대	학대	NNG	O
행위	행위	NNG	O
,	,	SP	O
_	_	_	O
동물	동물	NNG	O
학대	학대	NNG	O
_	_	_	O
영상물	영상물	NNG	O
_	_	_	O
게시물	게시물	NNG	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
(	(	SS	O
25	25	SN	B-NOH
·	·	SP	O
무직	무직	NNG	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
불구속	불구속	NNG	O
_	_	_	O
입건	입건하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 경찰에 따르면 A씨는 충남 천안시 자신의 집에서 길고양이를 잡아 학대하고 이같은 내용의 영상을 동영상으로 촬영해 유포한 혐의를 받고 있다.
## 경찰에 따르면 <A:PER>씨는 <충남:LOC> <천안시:LOC> 자신의 집에서 길고양이를 잡아 학대하고 이같은 내용의 영상을 동영상으로 촬영해 유포한 혐의를 받고 있다.
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
충남	충남	NNP	B-LOC
_	_	_	O
천안시	천안시	NNP	B-LOC
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
길	길	NNG	O
고양이	고양이	NNG	O
를	를	JKO	O
_	_	_	O
잡	잡	VV	O
아	아	EC	O
_	_	_	O
학대하	학대하	VV	O
고	고	EC	O
_	_	_	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
영상	영상	NNG	O
을	을	JKO	O
_	_	_	O
동영상	동영상	NNG	O
으로	으로	JKB	O
_	_	_	O
촬영해	촬영하+여	VV+EC	O
_	_	_	O
유포한	유포하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 2월에 발표된 표준지공시지가에 따르면 올해 개별공시지가는 전국 평균 4.14% 상승할 것으로 보인다.
## <2월:DAT>에 발표된 표준지공시지가에 따르면 올해 개별공시지가는 전국 평균 <4.14%:PNT> 상승할 것으로 보인다.
