## 1
## 한국당, 첫 대선후보 경선 TV토론회…친박-비박 격돌 예고
## <한국당:ORG>, <첫:NOH> 대선후보 경선 TV토론회…친박-비박 격돌 예고
한국당	한국당	NNP	B-ORG
,	,	SP	O
_	_	_	O
첫	첫	MM	B-NOH
_	_	_	O
대선	대선	NNG	O
후보	후보	NNG	O
_	_	_	O
경선	경선	NNG	O
_	_	_	O
TV	TV	SL	O
토론회	토론회	NNG	O
…	…	SE	O
친	친	XPN	O
박	박	NNP	O
-	-	SO	O
비	비	XPN	O
박	박	NNP	O
_	_	_	O
격돌	격돌	NNG	O
_	_	_	O
예고	예고	NNG	O

## 2
## 한 온라인 커뮤니티에 게재된 글에는 강정호 선수의 어릴 적 모습이 담겨있었다.
## <한:NOH> 온라인 커뮤니티에 게재된 글에는 <강정호:PER> 선수의 어릴 적 모습이 담겨있었다.
한	한	MM	B-NOH
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
커뮤니티	커뮤니티	NNG	O
에	에	JKB	O
_	_	_	O
게재된	게재되+ㄴ	VV+ETM	O
_	_	_	O
글	글	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
강정호	강정호	NNP	B-PER
_	_	_	O
선수	선수	NNG	O
의	의	JKG	O
_	_	_	O
어릴	어리+ㄹ	VA+ETM	O
_	_	_	O
적	적	NNB	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 올해 금감원 2급 퇴직자가 신협중앙회 감독검사 이사, 유진투자증권 경영임원, 롯데카드·신한금융투자·신한저축은행 감사 등으로 자리를 옮겼다.
## 올해 <금감원:ORG> <2급:NOH> 퇴직자가 <신협중앙회:ORG> 감독검사 이사, <유진투자증권:ORG> 경영임원, <롯데카드:ORG>·<신한금융투자:ORG>·<신한저축은행:ORG> 감사 등으로 자리를 옮겼다.
올해	올해	NNG	O
_	_	_	O
금감원	금감원	NNG	B-ORG
_	_	_	O
2	2	SN	B-NOH
급	급	NNG	I-NOH
_	_	_	O
퇴직자	퇴직자	NNG	O
가	가	JKS	O
_	_	_	O
신협	신협	NNP	B-ORG
중앙	중앙	NNG	I-ORG
회	회	XSN	I-ORG
_	_	_	O
감독	감독	NNG	O
검사	검사	NNG	O
_	_	_	O
이사	이사	NNG	O
,	,	SP	O
_	_	_	O
유진투자증권	유진투자증권	NNP	B-ORG
_	_	_	O
경영	경영	NNG	O
임원	임원	NNG	O
,	,	SP	O
_	_	_	O
롯데카드	롯데카드	NNP	B-ORG
·	·	SP	O
신한금융투자	신한금융투자	NNP	B-ORG
·	·	SP	O
신한	신한	NNP	B-ORG
저축은행	저축은행	NNG	I-ORG
_	_	_	O
감사	감사	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
자리	자리	NNG	O
를	를	JKO	O
_	_	_	O
옮	옮기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 지금 KGC에선 오세근의 포스트업 공격 옵션이 거의 없다.
## 지금 <KGC:ORG>에선 <오세근:PER>의 포스트업 공격 옵션이 거의 없다.
지금	지금	MAG	O
_	_	_	O
KGC	KGC	SL	B-ORG
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
오세근	오세근	NNP	B-PER
의	의	JKG	O
_	_	_	O
포스트	포스트	NNG	O
업	업	NNG	O
_	_	_	O
공격	공격	NNG	O
_	_	_	O
옵션	옵션	NNG	O
이	이	JKS	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 사진에는 송승헌의 목을 두 손으로 잡은 채 진하게 키스하는 유역비의 모습이 담겨 있다.
## 사진에는 <송승헌:PER>의 목을 두 손으로 잡은 채 진하게 키스하는 <유역비:PER>의 모습이 담겨 있다.
사진	사진	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
송승헌	송승헌	NNP	B-PER
의	의	JKG	O
_	_	_	O
목	목	NNG	O
을	을	JKO	O
_	_	_	O
두	두	MM	O
_	_	_	O
손	손	NNG	O
으로	으로	JKB	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
진하	진하	VA	O
게	게	EC	O
_	_	_	O
키스하	키스하	VV	O
는	는	ETM	O
_	_	_	O
유역	유역	NNG	B-PER
비	비	XSN	I-PER
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 중국의 개입은 여러 면에서 북한 김정은 정권에 불리하게 해석될 소지가 많다.
## <중국:ORG>의 개입은 여러 면에서 <북한:ORG> <김정은:PER> 정권에 불리하게 해석될 소지가 많다.
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
개입	개입	NNG	O
은	은	JX	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
면	면	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
김정은	김정은	NNP	B-PER
_	_	_	O
정권	정권	NNG	O
에	에	JKB	O
_	_	_	O
불리하	불리하	VA	O
게	게	EC	O
_	_	_	O
해석될	해석되+ㄹ	VV+ETM	O
_	_	_	O
소지	소지	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 최순실씨의 딸 정유라(21)씨가 KEB하나은행으로부터 수억원을 대출받는 과정에 대해 검찰이 조사 중이다.
## <최순실:PER>씨의 딸 <정유라:PER>(<21:NOH>)씨가 <KEB하나은행:ORG>으로부터 <수억원:MNY>을 대출받는 과정에 대해 검찰이 조사 중이다.
최순실	최순실	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
딸	딸	NNG	O
_	_	_	O
정유라	정유라	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
KEB	KEB	SL	B-ORG
하나은행	하나은행	NNP	I-ORG
으로부터	으로부터	JKB	O
_	_	_	O
수억	수억	NR	B-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
대출	대출	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
검찰	검찰	NNG	O
이	이	JKS	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 서울중앙지검 외사부(강지식 부장검사)는 "하나은행 직원들을 참고인 신분으로 불러 조사했다"고 24일 밝혔다.
## <서울중앙지검 외사부:ORG>(<강지식:PER> 부장검사)는 "<하나은행:ORG> 직원들을 참고인 신분으로 불러 조사했다"고 <24일:DAT> 밝혔다.
서울중앙지검	서울중앙지검	NNP	B-ORG
_	_	_	I-ORG
외사부	외사부	NNG	I-ORG
(	(	SS	O
강지식	강지식	NNP	B-PER
_	_	_	O
부장	부장	NNG	O
검사	검사	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
"	"	SS	O
하나	하나	NNG	B-ORG
은행	은행	NNG	I-ORG
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
참고인	참고인	NNG	O
_	_	_	O
신분	신분	NNG	O
으로	으로	JKB	O
_	_	_	O
불	부르	VV	O
러	어	EC	O
_	_	_	O
조사	조사하	VV	O
했	였	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 녹십자는 6월 착공에 들어간 캐나다 공장의 상업생산 시기에 맞춰 원료혈장 공급처를 적극적으로 늘려나가고 있다.
## <녹십자:ORG>는 <6월:DAT> 착공에 들어간 <캐나다:LOC> 공장의 상업생산 시기에 맞춰 원료혈장 공급처를 적극적으로 늘려나가고 있다.
녹십자	녹십자	NNP	B-ORG
는	는	JX	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
착공	착공	NNG	O
에	에	JKB	O
_	_	_	O
들어간	들어가+ㄴ	VV+ETM	O
_	_	_	O
캐나다	캐나다	NNP	B-LOC
_	_	_	O
공장	공장	NNG	O
의	의	JKG	O
_	_	_	O
상업	상업	NNG	O
생산	생산	NNG	O
_	_	_	O
시기	시기	NNG	O
에	에	JKB	O
_	_	_	O
맞춰	맞추+어	VV+EC	O
_	_	_	O
원료	원료	NNG	O
혈장	혈장	NNG	O
_	_	_	O
공급	공급	NNG	O
처	처	XSN	O
를	를	JKO	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
늘려	늘리+어	VV+EC	O
나가	나가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 특히 이 병원은 아내 프리실라 챈이 소아과 레지던트 과정을 마친 곳이라 의미가 깊다.
## 특히 이 병원은 아내 <프리실라 챈:PER>이 소아과 레지던트 과정을 마친 곳이라 의미가 깊다.
특히	특히	MAG	O
_	_	_	O
이	이	MM	O
_	_	_	O
병원	병원	NNG	O
은	은	JX	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
프리실라	프리실라	NNP	B-PER
_	_	_	I-PER
챈	챈	NNP	I-PER
이	이	JKS	O
_	_	_	O
소아과	소아과	NNG	O
_	_	_	O
레지던트	레지던트	NNG	O
_	_	_	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
마친	마치+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
의미	의미	NNG	O
가	가	JKS	O
_	_	_	O
깊	깊	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 이날 '진짜사나이' 이규한의 활약은 대단했다.
## 이날 '<진짜사나이:POH>' <이규한:PER>의 활약은 대단했다.
이날	이날	NNG	O
_	_	_	O
'	'	SS	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
'	'	SS	O
_	_	_	O
이규한	이규한	NNP	B-PER
의	의	JKG	O
_	_	_	O
활약	활약	NNG	O
은	은	JX	O
_	_	_	O
대단	대단하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## [최순실 게이트/파장 어디까지]TV조선 “2014년 융복합 기획안, 최순실씨 필체와 비슷한 글씨로 첨삭… 2016년 차은택 이름으로 제출-실행”
## [<최순실:PER> 게이트/파장 어디까지]<TV조선:ORG> “<2014년:DAT> 융복합 기획안, <최순실:PER>씨 필체와 비슷한 글씨로 첨삭… <2016년:DAT> <차은택:PER> 이름으로 제출-실행”
[	[	SS	O
최순실	최순실	NNP	B-PER
_	_	_	O
게이트	게이트	NNG	O
/	/	SP	O
파장	파장	NNG	O
_	_	_	O
어디	어디	NP	O
까지	까지	JX	O
]	]	SS	O
TV	TV	SL	B-ORG
조선	조선	NNP	I-ORG
_	_	_	O
“	“	SS	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
융	융	NNG	O
복합	복합	NNG	O
_	_	_	O
기획	기획	NNG	O
안	안	NNG	O
,	,	SP	O
_	_	_	O
최순실	최순실	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
필체	필체	NNG	O
와	와	JKB	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
글씨	글씨	NNG	O
로	로	JKB	O
_	_	_	O
첨삭	첨삭	NNG	O
…	…	SE	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
차은택	차은택	NNP	B-PER
_	_	_	O
이름	이름	NNG	O
으로	으로	JKB	O
_	_	_	O
제출	제출	NNG	O
-	-	SO	O
실행	실행	NNG	O
”	”	SS	O

## 13
## ‘나, 다니엘 블레이크’의 연출자는 사회문제를 주로 그려온 노장 켄 로치 감독. 지난해 칸 국제영화제 수상 당시 감독은 “우리는 희망의 메시지를 사람들에 보여줘야 한다”며 “사람들에게 ‘가난은 너의 잘못’이라고 말하는 우리의 잔인함을 돌아봐야 한다”고 밝혀 주목받았다.
## ‘<나, 다니엘 블레이크:POH>’의 연출자는 사회문제를 주로 그려온 <노장 켄 로치:PER> 감독. 지난해 <칸 국제영화제:POH> 수상 당시 감독은 “우리는 희망의 메시지를 사람들에 보여줘야 한다”며 “사람들에게 ‘가난은 너의 잘못’이라고 말하는 우리의 잔인함을 돌아봐야 한다”고 밝혀 주목받았다.
‘	‘	SS	O
나	나	NP	B-POH
,	,	SP	I-POH
_	_	_	I-POH
다니엘	다니엘	NNP	I-POH
_	_	_	I-POH
블레이크	블레이크	NNP	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
연출자	연출자	NNG	O
는	는	JX	O
_	_	_	O
사회	사회	NNG	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
그려	그리+어	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
노장	노장	NNG	B-PER
_	_	_	I-PER
켄	켄	NNP	I-PER
_	_	_	I-PER
로치	로치	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
.	.	SF	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
칸	칸	NNP	B-POH
_	_	_	I-POH
국제	국제	NNG	I-POH
영화제	영화제	NNG	I-POH
_	_	_	O
수상	수상	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
는	는	JX	O
_	_	_	O
희망	희망	NNG	O
의	의	JKG	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
줘야	주+어야	VX+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
사람	사람	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
‘	‘	SS	O
가난	가난	NNG	O
은	은	JX	O
_	_	_	O
너	너	NP	O
의	의	JKG	O
_	_	_	O
잘못	잘못	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말하	말하	VV	O
는	는	ETM	O
_	_	_	O
우리	우리	NP	O
의	의	JKG	O
_	_	_	O
잔인함	잔인하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
돌아봐야	돌아보+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝혀	밝히+어	VV+EC	O
_	_	_	O
주목	주목	NNG	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

