## 1
## 문상영 대표는 “창단 멤버는 성악을 전공한 유럽 유학 출신의 전문 연주자와 전속 작곡가, 반주자로 구성되어 있습니다”라고 설명했다.
## <문상영:PER> 대표는 “창단 멤버는 성악을 전공한 <유럽:LOC> 유학 출신의 전문 연주자와 전속 작곡가, 반주자로 구성되어 있습니다”라고 설명했다.
문상영	문상영	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
창단	창단	NNG	O
_	_	_	O
멤버	멤버	NNG	O
는	는	JX	O
_	_	_	O
성악	성악	NNG	O
을	을	JKO	O
_	_	_	O
전공한	전공하+ㄴ	VV+ETM	O
_	_	_	O
유럽	유럽	NNP	B-LOC
_	_	_	O
유학	유학	NNG	O
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
연주자	연주자	NNG	O
와	와	JC	O
_	_	_	O
전속	전속	NNG	O
_	_	_	O
작곡가	작곡가	NNG	O
,	,	SP	O
_	_	_	O
반주자	반주자	NNG	O
로	로	JKB	O
_	_	_	O
구성되	구성되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서울북부지법 형사7단독 오원찬 판사는 8일 “심화진 총장이 범행을 주도했고 학교 규모에 비해 거액의 교비를 운영권 강화를 위해 사용했고 교비회계 사용의 경종 필요성이 있다”,
## <서울북부지법 형사7:ORG>단독 <오원찬:PER> 판사는 <8일:DAT> “<심화진:PER> 총장이 범행을 주도했고 학교 규모에 비해 거액의 교비를 운영권 강화를 위해 사용했고 교비회계 사용의 경종 필요성이 있다”,
서울북부지법	서울북부지법	NNP	B-ORG
_	_	_	I-ORG
형사	형사	NNG	I-ORG
7	7	SN	I-ORG
단독	단독	NNG	O
_	_	_	O
오원찬	오원찬	NNP	B-PER
_	_	_	O
판사	판사	NNG	O
는	는	JX	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
심화진	심화진	NNP	B-PER
_	_	_	O
총장	총장	NNG	O
이	이	JKS	O
_	_	_	O
범행	범행	NNG	O
을	을	JKO	O
_	_	_	O
주도	주도하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
학교	학교	NNG	O
_	_	_	O
규모	규모	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
거액	거액	NNG	O
의	의	JKG	O
_	_	_	O
교비	교비	NNG	O
를	를	JKO	O
_	_	_	O
운영	운영	NNG	O
권	권	XSN	O
