## 1
## 온라인 중앙일보‘어린이 눈에만 보이는 광고판’ [사진 아동학대방지단체 아날(ANAR)]
## 온라인 <중앙일보:ORG>‘어린이 눈에만 보이는 광고판’ [사진 아동학대방지단체 <아날:ORG>(<ANAR:ORG>)]
온라인	온라인	NNG	O
_	_	_	O
중앙일보	중앙일보	NNP	B-ORG
‘	‘	SS	O
어린이	어린이	NNG	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
광고판	광고판	NNG	O
’	’	SS	O
_	_	_	O
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
아동	아동	NNG	O
학대	학대	NNG	O
방지	방지	NNG	O
단체	단체	NNG	O
_	_	_	O
아날	아날	NNP	B-ORG
(	(	SS	O
ANAR	ANAR	SL	B-ORG
)	)	SS	O
]	]	SS	O

## 2
## 그러면서 “청와대에서 지시 받은 전경련의 요청을 받았고, 대통령의 관심 사안이라는 점이 재단에 출연하게 된 직접적 이유였다”며 재단의 운영방향을 검토해 자발적으로 결정한 것은 아니라고 증언했다.
## 그러면서 “<청와대:ORG>에서 지시 받은 <전경련:ORG>의 요청을 받았고, 대통령의 관심 사안이라는 점이 재단에 출연하게 된 직접적 이유였다”며 재단의 운영방향을 검토해 자발적으로 결정한 것은 아니라고 증언했다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
청와대	청와대	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
지시	지시	NNG	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
전경련	전경련	NNP	B-ORG
의	의	JKG	O
_	_	_	O
요청	요청	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
관심	관심	NNG	O
_	_	_	O
사안	사안	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
재단	재단	NNG	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
직접적	직접적	NNG	O
_	_	_	O
이유	이유+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
재단	재단	NNG	O
의	의	JKG	O
_	_	_	O
운영	운영	NNG	O
방향	방향	NNG	O
을	을	JKO	O
_	_	_	O
검토해	검토하+여	VV+EC	O
_	_	_	O
자발적	자발적	NNG	O
으로	으로	JKB	O
_	_	_	O
결정한	결정하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
라고	라고	EC	O
_	_	_	O
증언	증언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 조 부사장은 미르·K스포츠재단에 출연하는 과정은 일반 공익사업 재원 마련을 위한 출연 과정과 달랐다고도 했다.
## <조:PER> 부사장은 <미르:ORG>·<K스포츠재단:ORG>에 출연하는 과정은 일반 공익사업 재원 마련을 위한 출연 과정과 달랐다고도 했다.
조	조	NR	B-PER
_	_	_	O
부사장	부사장	NNG	O
은	은	JX	O
_	_	_	O
미르	미르	NNP	B-ORG
·	·	SP	O
K	K	SL	B-ORG
스포츠	스포츠	NNG	I-ORG
재단	재단	NNG	I-ORG
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
은	은	JX	O
_	_	_	O
일반	일반	NNG	O
_	_	_	O
공익사업	공익사업	NNG	O
_	_	_	O
재원	재원	NNG	O
_	_	_	O
마련	마련	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
과정	과정	NNG	O
과	과	JKB	O
_	_	_	O
달	다르	VA	O
랐	았	EP	O
다고	다고	EC	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 조 부사장은 “통상 전경련으로부터 하루 전날 갑작스럽게 소집하는 경우는 거의 없다”면서 “(통상 전경련은) 재단사업에 대한 취지, 배경 등을 소상하게 설명한다.
