## 1
## 해리는 에그시에게 말한다.
## <해리:PER>는 <에그시:PER>에게 말한다.
해리	해리	NNP	B-PER
는	는	JX	O
_	_	_	O
에그	에그	NNG	B-PER
시	시	NNG	I-PER
에게	에게	JKB	O
_	_	_	O
말한다	말하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이번 공개 행사는 뉴욕을 비롯해 영국 런던 히어 이스트 등 주요 도시의 장소에서 생중계 형태로 동시에 진행된다.
## 이번 공개 행사는 <뉴욕:LOC>을 비롯해 <영국:LOC> <런던:LOC> <히어 이스트:LOC> 등 주요 도시의 장소에서 생중계 형태로 동시에 진행된다.
이번	이번	NNG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
행사	행사	NNG	O
는	는	JX	O
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
을	을	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
영국	영국	NNP	B-LOC
_	_	_	O
런던	런던	NNP	B-LOC
_	_	_	O
히어	히어	NNG	B-LOC
_	_	_	I-LOC
이스트	이스트	NNG	I-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
도시	도시	NNG	O
의	의	JKG	O
_	_	_	O
장소	장소	NNG	O
에서	에서	JKB	O
_	_	_	O
생	생	XPN	O
중계	중계	NNG	O
_	_	_	O
형태	형태	NNG	O
로	로	JKB	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
진행된다	진행되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 88올림픽때는 외국인에게 깨끗한 한강을 보여주기 위해 하루 1백만원 상당의 약품을 투여하는 비상수단을 동원했다.
## <88:DAT><올림픽:POH>때는 외국인에게 깨끗한 <한강:LOC>을 보여주기 위해 하루 <1백만원:MNY> 상당의 약품을 투여하는 비상수단을 동원했다.
88	88	SN	B-DAT
올림픽	올림픽	NNG	B-POH
때	때	NNG	O
는	는	JX	O
_	_	_	O
외국인	외국인	NNG	O
에게	에게	JKB	O
_	_	_	O
깨끗한	깨끗하+ㄴ	VA+ETM	O
_	_	_	O
한강	한강	NNP	B-LOC
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
1	1	SN	B-MNY
백만	백만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
상당	상당	NNG	O
의	의	JKG	O
_	_	_	O
약품	약품	NNG	O
을	을	JKO	O
_	_	_	O
투여하	투여하	VV	O
는	는	ETM	O
_	_	_	O
비상수단	비상수단	NNG	O
을	을	JKO	O
_	_	_	O
동원	동원하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 에이미는 2011년 방송된 케이블채널 QTV ‘순위 정하는 여자 3’에 출연했다.
## <에이미:PER>는 <2011년:DAT> 방송된 케이블채널 <QTV:ORG> ‘<순위 정하는 여자 3:POH>’에 출연했다.
에이미	에이미	NNP	B-PER
는	는	JX	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
케이블	케이블	NNG	O
채널	채널	NNG	O
_	_	_	O
QTV	QTV	SL	B-ORG
_	_	_	O
‘	‘	SS	O
순위	순위	NNG	B-POH
_	_	_	I-POH
정하	정하	VV	I-POH
