## 1
## 한때 2타 차까지 벌어져 우승에 실패하는 듯 했지만, 후반 뒷심을 발휘하며 승부를 연장까지 끌고 갔고 결국 우승트로피를 품에 안았다.
## 한때 <2타:NOH> 차까지 벌어져 우승에 실패하는 듯 했지만, 후반 뒷심을 발휘하며 승부를 연장까지 끌고 갔고 결국 우승트로피를 품에 안았다.
한때	한때	NNG	O
_	_	_	O
2	2	SN	B-NOH
타	타	NNG	I-NOH
_	_	_	O
차	차	NNB	O
까지	까지	JX	O
_	_	_	O
벌어져	벌어지+어	VV+EC	O
_	_	_	O
우승	우승	NNG	O
에	에	JKB	O
_	_	_	O
실패하	실패하	VV	O
는	는	ETM	O
_	_	_	O
듯	듯	NNB	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
후반	후반	NNG	O
_	_	_	O
뒷심	뒷심	NNG	O
을	을	JKO	O
_	_	_	O
발휘하	발휘하	VV	O
며	며	EC	O
_	_	_	O
승부	승부	NNG	O
를	를	JKO	O
_	_	_	O
연장	연장	NNG	O
까지	까지	JX	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
갔	가+았	VV+EP	O
고	고	EC	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
우승	우승	NNG	O
트로피	트로피	NNG	O
를	를	JKO	O
_	_	_	O
품	품	NNG	O
에	에	JKB	O
_	_	_	O
안	안	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이기준(이기준)교개위 제4소위원장(서울대교수)은 주제발표에서 ▲대학을 담당하는 행정조직을 교육부로부터 분리, 「국가대학관리기구」를 신설하고 ▲95년 전체대학의 10%정도에 정원자율책정권을 부여하고 단계적으로 확대, 2000년에 정원을 완전자율화하며 ▲매년 1조원 규모의 대학시설지원금을 설치하는 방안등을 제시했다.
## <이기준:PER>(<이기준:PER>)<교개위:ORG> <제4:NOH>소위원장(<서울대교수:ORG>)은 주제발표에서 ▲대학을 담당하는 행정조직을 <교육부:ORG>로부터 분리, 「<국가대학관리기구:ORG>」를 신설하고 ▲<95년:DAT> 전체대학의 <10%:PNT>정도에 정원자율책정권을 <부여:LOC>하고 단계적으로 확대, <2000년:DAT>에 정원을 완전자율화하며 ▲매년 <1조원:MNY> 규모의 대학시설지원금을 설치하는 방안등을 제시했다.
이기준	이기준	NNP	B-PER
(	(	SS	O
이기준	이기준	NNP	B-PER
)	)	SS	O
교개위	교개위	NNG	B-ORG
_	_	_	O
제	제	XPN	B-NOH
4	4	SN	I-NOH
소위	소위	NNG	O
원장	원장	NNG	O
(	(	SS	O
서울대	서울대	NNP	B-ORG
교수	교수	NNG	I-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
주제	주제	NNG	O
발표	발표	NNG	O
에서	에서	JKB	O
_	_	_	O
▲	▲	SW	O
대학	대학	NNG	O
을	을	JKO	O
_	_	_	O
담당하	담당하	VV	O
는	는	ETM	O
_	_	_	O
행정	행정	NNG	O
조직	조직	NNG	O
을	을	JKO	O
_	_	_	O
교육부	교육부	NNG	B-ORG
로부터	로부터	JKB	O
_	_	_	O
분리	분리	NNG	O
,	,	SP	O
_	_	_	O
「	「	SS	O
국가	국가	NNG	B-ORG
대학	대학	NNG	I-ORG
관리	관리	NNG	I-ORG
기구	기구	NNG	I-ORG
」	」	SS	O
를	를	JKO	O
_	_	_	O
신설하	신설하	VV	O
고	고	EC	O
_	_	_	O
▲	▲	SW	O
95	95	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
전체	전체	NNG	O
대학	대학	NNG	O
의	의	JKG	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
정도	정도	NNG	O
에	에	JKB	O
_	_	_	O
정원	정원	NNG	O
자율	자율	NNG	O
책정	책정	NNG	O
권	권	XSN	O
을	을	JKO	O
_	_	_	O
부여하	부여하	VV	O
고	고	EC	O
_	_	_	O
단계적	단계적	NNG	O
으로	으로	JKB	O
_	_	_	O
확대	확대	NNG	O
,	,	SP	O
_	_	_	O
2000	2000	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
정원	정원	NNG	O
을	을	JKO	O
_	_	_	O
완전	완전	NNG	O
자율	자율	NNG	O
화	화	XSN	O
하며	하며	JC	O
_	_	_	O
▲	▲	SW	O
매년	매년	MAG	O
_	_	_	O
1	1	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
대학	대학	NNG	O
시설	시설	NNG	O
지원금	지원금	NNG	O
을	을	JKO	O
_	_	_	O
설치하	설치하	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘히어로즈 오브 더 스톰’ 새 묶음 상품 판매
## ‘<히어로즈 오브 더 스톰:POH>’ 새 묶음 상품 판매
‘	‘	SS	O
히어로즈	히어로즈	NNP	B-POH
_	_	_	I-POH
오브	오브	NNG	I-POH
_	_	_	I-POH
더	더	MAG	I-POH
_	_	_	I-POH
스톰	스톰	NNG	I-POH
’	’	SS	O
_	_	_	O
새	새	MM	O
_	_	_	O
묶음	묶음	NNG	O
_	_	_	O
상품	상품	NNG	O
_	_	_	O
판매	판매	NNG	O

## 4
## 의원들의 주장은, 이 전 시장이 「성수대교는 문제없다」고 명백한 위증을 한 것은 아니지만, 전반적으로 볼 때 안이한 답변으로 일관, 위증가능성이 크다는 것이다.
## 의원들의 주장은, <이:PER> 전 시장이 「<성수대교:POH>는 문제없다」고 명백한 위증을 한 것은 아니지만, 전반적으로 볼 때 안이한 답변으로 일관, 위증가능성이 크다는 것이다.
의원	의원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
주장	주장	NNG	O
은	은	JX	O
,	,	SP	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
시장	시장	NNG	O
이	이	JKS	O
_	_	_	O
「	「	SS	O
성수	성수	NNG	B-POH
대교	대교	NNG	I-POH
는	는	JX	O
_	_	_	O
문제없	문제없	VA	O
다	다	EF	O
」	」	SS	O
고	고	JKQ	O
_	_	_	O
명백한	명백하+ㄴ	VA+ETM	O
_	_	_	O
위증	위증	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
전반적	전반적	NNG	O
으로	으로	JKB	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
안이한	안이하+ㄴ	VA+ETM	O
_	_	_	O
답변	답변	NNG	O
으로	으로	JKB	O
_	_	_	O
일관	일관	NNG	O
,	,	SP	O
_	_	_	O
위증	위증	NNG	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 이런 변화 하나 만으로도 지방 자치, 그리고 지방화 시대가 무엇이며, 왜 좋은지 등을 실감하게 된다.
## 이런 변화 <하나:NOH> 만으로도 지방 자치, 그리고 지방화 시대가 무엇이며, 왜 좋은지 등을 실감하게 된다.
이런	이런	MM	O
_	_	_	O
변화	변화	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
만	만	NR	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
자치	자치	NNG	O
,	,	SP	O
_	_	_	O
그리고	그리고	MAG	O
_	_	_	O
지방	지방	NNG	O
화	화	XSN	O
_	_	_	O
시대	시대	NNG	O
가	가	JKS	O
_	_	_	O
무엇	무엇	NP	O
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
좋	좋	VA	O
은지	은지	EC	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
실감하	실감하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 새정치민주연합 전병헌 최고위원은 8일 정부·여당의 역사교과서 국정화 추진에 대해 “역사교과서를 국정화하겠다는 방식은 전형적인 북한 따라하기인데, 전형적인 종북정책을 왜 이렇게 강력히 밀어붙이려고 하는지 정말 유감”이라고 비판했다.
## <새정치민주연합:ORG> <전병헌:PER> 최고위원은 <8일:DAT> 정부·여당의 역사교과서 국정화 추진에 대해 “역사교과서를 국정화하겠다는 방식은 전형적인 <북한:ORG> 따라하기인데, 전형적인 종북정책을 왜 이렇게 강력히 밀어붙이려고 하는지 정말 유감”이라고 비판했다.
새정치민주연합	새정치민주연합	NNP	B-ORG
_	_	_	O
전병헌	전병헌	NNP	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
정부	정부	NNG	O
·	·	SP	O
여당	여당	NNG	O
의	의	JKG	O
_	_	_	O
역사	역사	NNG	O
교과서	교과서	NNG	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
추진	추진	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
역사	역사	NNG	O
교과서	교과서	NNG	O
를	를	JKO	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
하	하	XSV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
방식	방식	NNG	O
은	은	JX	O
_	_	_	O
전형적	전형적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
따	따르	VV	O
라	아	EC	O
하	하	VV	O
기	기	ETN	O
인데	이+ㄴ데	VCP+EC	O
,	,	SP	O
_	_	_	O
전형적	전형적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
종	종	XPN	O
북	북	NNP	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
강력히	강력히	MAG	O
_	_	_	O
밀어붙이	밀어붙이	VV	O
려고	려고	EC	O
_	_	_	O
하	하	VX	O
는지	는지	EC	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
유감	유감	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
비판	비판하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 전 최고위원은 이날 YTN 라디오 ‘신율의 출발 새아침’과 인터뷰에서 “역사교과서를 국정화라는 방식을 통해서 단일화 시키겠다는 것은 역사적 상상력이나 역사적 해석을 획일화 시키겠다는 전체주의적 발상에 불과하다”며 이 같이 말했다.
## <전:PER> 최고위원은 이날 <YTN 라디오:POH> ‘<신율의 출발 새아침:POH>’과 인터뷰에서 “역사교과서를 국정화라는 방식을 통해서 단일화 시키겠다는 것은 역사적 상상력이나 역사적 해석을 획일화 시키겠다는 전체주의적 발상에 불과하다”며 이 같이 말했다.
전	전	MM	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
YTN	YTN	SL	B-POH
_	_	_	I-POH
라디오	라디오	NNG	I-POH
_	_	_	O
‘	‘	SS	O
신율	신율	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
출발	출발	NNG	I-POH
_	_	_	I-POH
새	새	MM	I-POH
아침	아침	NNG	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
역사	역사	NNG	O
교과서	교과서	NNG	O
를	를	JKO	O
_	_	_	O
국정	국정	NNG	O
화	화+이	XSN+VCP	O
라는	라는	ETM	O
_	_	_	O
방식	방식	NNG	O
을	을	JKO	O
_	_	_	O
통해서	통하+여서	VV+EC	O
_	_	_	O
단일화	단일화	NNG	O
_	_	_	O
시키	시키	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
역사적	역사적	NNG	O
_	_	_	O
상상력	상상력	NNG	O
이나	이나	JC	O
_	_	_	O
역사적	역사적	NNG	O
_	_	_	O
해석	해석	NNG	O
을	을	JKO	O
_	_	_	O
획일	획일	NNG	O
화	화	XSN	O
_	_	_	O
시키	시키	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
전체주의	전체주의	NNG	O
적	적	XSN	O
_	_	_	O
발상	발상	NNG	O
에	에	JKB	O
_	_	_	O
불과하	불과하	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
이	이	NP	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 그는 “OECD국가 중에 역사교과서를 국정화시키고 있는 나라는 단 한 나라도 없고, 세계적으로도 국정화를 하고 있는 나라는 북한을 비롯해서 몽골, 스리랑카, 베트남 정도”라고 지적했다.
## 그는 “OECD국가 중에 역사교과서를 국정화시키고 있는 나라는 단 <한:NOH> 나라도 없고, 세계적으로도 국정화를 하고 있는 나라는 <북한:ORG>을 비롯해서 <몽골:ORG>, <스리랑카:ORG>, <베트남:ORG> 정도”라고 지적했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
OECD	OECD	SL	O
국가	국가	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
역사	역사	NNG	O
교과서	교과서	NNG	O
를	를	JKO	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
시키	시키	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
나라	나라	NNG	O
는	는	JX	O
_	_	_	O
단	단	MM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
나라	나라	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
세계적	세계적	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
나라	나라	NNG	O
는	는	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
을	을	JKO	O
_	_	_	O
비롯해서	비롯하+여서	VV+EC	O
_	_	_	O
몽골	몽골	NNP	B-ORG
,	,	SP	O
_	_	_	O
스리랑카	스리랑카	NNP	B-ORG
,	,	SP	O
_	_	_	O
베트남	베트남	NNP	B-ORG
_	_	_	O
정도	정도	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 그는 여권의 역사교과서 국정화 추진 이유에 대해 “새누리당과 박근혜 정권의 뿌리가 친일과 독재에 뿌리를 두고 있다”며 “친일과 독재를 미화시키려고 하는 매우 불손한 저의가 있다고 보고 있다”고 밝혔다.
## 그는 여권의 역사교과서 국정화 추진 이유에 대해 “<새누리당:ORG>과 <박근혜:PER> 정권의 뿌리가 친일과 독재에 뿌리를 두고 있다”며 “친일과 독재를 미화시키려고 하는 매우 불손한 저의가 있다고 보고 있다”고 밝혔다.
그	그	NP	O
는	는	JX	O
_	_	_	O
여권	여권	NNG	O
의	의	JKG	O
_	_	_	O
역사	역사	NNG	O
교과서	교과서	NNG	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
추진	추진	NNG	O
_	_	_	O
이유	이유	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
새누리당	새누리당	NNP	B-ORG
과	과	JC	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
정권	정권	NNG	O
의	의	JKG	O
_	_	_	O
뿌리	뿌리	NNG	O
가	가	JKS	O
_	_	_	O
친일	친일	NNG	O
과	과	JC	O
_	_	_	O
독재	독재	NNG	O
에	에	JKB	O
_	_	_	O
뿌리	뿌리	NNG	O
를	를	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
친일	친일	NNG	O
과	과	JC	O
_	_	_	O
독재	독재	NNG	O
를	를	JKO	O
_	_	_	O
미화	미화	NNG	O
시키	시키	XSV	O
려고	려고	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
불손한	불손하+ㄴ	VA+ETM	O
_	_	_	O
저의	저의	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 바이든 부통령은 "나의 가족들이 경선에 대해 준비가 되지 않을 경우 나는 이 일들을 할 수 없다는 것을 또한 잘 알고 있다"고 말했다.
## <바이든:PER> 부통령은 "나의 가족들이 경선에 대해 준비가 되지 않을 경우 나는 이 일들을 할 수 없다는 것을 또한 잘 알고 있다"고 말했다.
바이든	바이든	NNP	B-PER
_	_	_	O
부통령	부통령	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
나	나	NP	O
의	의	JKG	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
경선	경선	NNP	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
준비	준비	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
일	일	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 바이든 부통령의 불출마 선언으로 인해 현재 민주당 내 지지율 선두를 달리고 있는 힐러리 클린턴 전 국무장관의 잠재적 장애물이 사라졌다고 전문가들은 진단하고 있다.
## <바이든:PER> 부통령의 불출마 선언으로 인해 현재 <민주당:ORG> 내 지지율 선두를 달리고 있는 <힐러리 클린턴:PER> 전 국무장관의 잠재적 장애물이 사라졌다고 전문가들은 진단하고 있다.
바이든	바이든	NNP	B-PER
_	_	_	O
부통령	부통령	NNG	O
의	의	JKG	O
_	_	_	O
불출마	불출마	NNG	O
_	_	_	O
선언	선언	NNG	O
으로	으로	JKB	O
_	_	_	O
인해	인하+여	VV+EC	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
내	내	NNB	O
_	_	_	O
지지율	지지율	NNG	O
_	_	_	O
선두	선두	NNG	O
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
힐러리	힐러리	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국무	국무	NNG	O
장관	장관	NNG	O
의	의	JKG	O
_	_	_	O
잠재적	잠재적	NNG	O
_	_	_	O
장애물	장애물	NNG	O
이	이	JKS	O
_	_	_	O
사라	사라지	VV	O
졌	었	EP	O
다고	다고	EC	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
진단하	진단하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 오승환은 메이저리그에 대한 대비책을 묻는 질문에 “다른 구종을 추가하기보다는 일본에서 던진 스플리터 계열의 몸 쪽으로 떨어지는 공을 많이 던지겠다”고 대답했다.
## <오승환:PER>은 <메이저리그:ORG>에 대한 대비책을 묻는 질문에 “다른 구종을 추가하기보다는 <일본:LOC>에서 던진 스플리터 계열의 몸 쪽으로 떨어지는 공을 많이 던지겠다”고 대답했다.
오승환	오승환	NNP	B-PER
은	은	JX	O
_	_	_	O
메이저리그	메이저리그	NNG	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
대비책	대비책	NNG	O
을	을	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
질문	질문	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
다른	다른	MM	O
_	_	_	O
구종	구종	NNG	O
을	을	JKO	O
_	_	_	O
추가하	추가하	VV	O
기	기	ETN	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
일본	일본	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
던진	던지+ㄴ	VV+ETM	O
_	_	_	O
스플리터	스플리터	NNG	O
_	_	_	O
계열	계열	NNG	O
의	의	JKG	O
_	_	_	O
몸	몸	NNG	O
_	_	_	O
쪽	쪽	NNB	O
