## 1
## 화성 동탄2신도시, 하남 미사강변도시, 남양주 다산신도시 등지가 눈길을 끈다.
## <화성 동탄2신도시:LOC>, <하남 미사강변도시:LOC>, <남양주 다산신도시:LOC> 등지가 <눈길:POH>을 끈다.
화성	화성	NNP	B-LOC
_	_	_	I-LOC
동탄	동탄	NNP	I-LOC
2	2	SN	I-LOC
신도시	신도시	NNG	I-LOC
,	,	SP	O
_	_	_	O
하남	하남	NNP	B-LOC
_	_	_	I-LOC
미사	미사	NNP	I-LOC
강변	강변	NNG	I-LOC
도시	도시	NNG	I-LOC
,	,	SP	O
_	_	_	O
남양주	남양주	NNP	B-LOC
_	_	_	I-LOC
다산	다산	NNP	I-LOC
신도시	신도시	NNG	I-LOC
_	_	_	O
등지	등지	NNB	O
가	가	JKS	O
_	_	_	O
눈길	눈길	NNG	B-POH
을	을	JKO	O
_	_	_	O
끈다	끌+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 한 번 태우고 난 소각로는 그 열기가 쉽게 사그라지지 않기 때문에 바로 작업을 할 수 없다.
## <한 번:NOH> 태우고 난 소각로는 그 열기가 쉽게 사그라지지 않기 때문에 바로 작업을 할 수 없다.
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
태우	태우	VV	O
고	고	EC	O
_	_	_	O
난	나+ㄴ	VX+ETM	O
_	_	_	O
소각로	소각로	NNG	O
는	는	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
열기	열기	NNG	O
가	가	JKS	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
사그라지	사그라지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이제 한국 지도자들이 상하이의 천지개벽을 직시하고 통렬하게 자성할 차례다.테마파크 사례만이 아니다.
## 이제 <한국:ORG> 지도자들이 <상하이:LOC>의 천지개벽을 직시하고 통렬하게 자성할 차례다.테마파크 사례만이 아니다.
이제	이제	MAG	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
지도자	지도자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
상하이	상하이	NNP	B-LOC
의	의	JKG	O
_	_	_	O
천지개벽	천지개벽	NNG	O
을	을	JKO	O
_	_	_	O
직시하	직시하	VV	O
고	고	EC	O
_	_	_	O
통렬하	통렬하	VA	O
게	게	EC	O
_	_	_	O
자성할	자성하+ㄹ	VV+ETM	O
_	_	_	O
차례	차례+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O
테마파크	테마파크	NNG	O
_	_	_	O
사례	사례	NNG	O
만	만	JX	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 4
## 사회 구성원 모두가 연봉 얼마짜리 경력을 관리하는 것보다 아이를 키우는 경험이 백 배 중요하다는 것을 알아야 합니다.
## 사회 구성원 모두가 연봉 얼마짜리 경력을 관리하는 것보다 아이를 키우는 경험이 <백 배:PNT> 중요하다는 것을 알아야 합니다.
사회	사회	NNG	O
_	_	_	O
구성원	구성원	NNG	O
_	_	_	O
모두	모두	NNG	O
가	가	JKS	O
_	_	_	O
연봉	연봉	NNG	O
_	_	_	O
얼마	얼마	NNG	O
짜리	짜리	XSN	O
_	_	_	O
경력	경력	NNG	O
을	을	JKO	O
_	_	_	O
관리하	관리하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
키우	키우	VV	O
는	는	ETM	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
백	백	NR	B-PNT
_	_	_	I-PNT
배	배	NNG	I-PNT
_	_	_	O
중요하	중요하	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
아야	아야	EC	O
_	_	_	O
합니다	하+ㅂ니다	VX+EF	O
.	.	SF	O

## 5
## 두 사람은 영화 ‘붉은 가족’ 후반 작업과 그 후 영화관계자들이 함께한 식사자리 등의 만남을 통해서 호감을 갖기 시작해 연인으로 발전했다.한편 정우는 tvN ‘꽃보다 청춘’에 출연 중이다.
## <두 사람:NOH>은 영화 ‘<붉은 가족:POH>’ 후반 작업과 그 후 영화관계자들이 함께한 식사자리 등의 만남을 통해서 호감을 갖기 시작해 연인으로 발전했다.한편 <정우:PER>는 <tvN:ORG> ‘<꽃보다 청춘:POH>’에 출연 중이다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
붉	붉	VA	B-POH
은	은	ETM	I-POH
_	_	_	I-POH
가족	가족	NNG	I-POH
’	’	SS	O
_	_	_	O
후반	후반	NNG	O
_	_	_	O
작업	작업	NNG	O
과	과	JC	O
_	_	_	O
그	그	MM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
영화	영화	NNG	O
관계자	관계자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
함께한	함께하+ㄴ	VV+ETM	O
_	_	_	O
식사	식사	NNG	O
자리	자리	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
만남	만남	NNG	O
을	을	JKO	O
_	_	_	O
통해서	통하+여서	VV+EC	O
_	_	_	O
호감	호감	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
기	기	ETN	O
_	_	_	O
시작해	시작하+여	VV+EC	O
_	_	_	O
연인	연인	NNG	O
으로	으로	JKB	O
_	_	_	O
발전	발전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
한편	한편	MAG	O
_	_	_	O
정우	정우	NNP	B-PER
는	는	JX	O
_	_	_	O
tvN	tvN	SL	B-ORG
_	_	_	O
‘	‘	SS	O
꽃	꽃	NNG	B-POH
보다	보다	JKB	I-POH
_	_	_	I-POH
청춘	청춘	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘진세연’배우 진세연이 최근 또 다시 악플에 시달려 심각한 고민에 빠졌다.진세연의 소속사 측은 허위사실 유포자에 대해 법적 수단을 동원할지 고민하고 있다.31일 소속사 얼리버드엔터테인먼트 측은 복수의 매체를 통해 “지난해 수사를 통해 10여명의 악플러이 법적 처벌을 받게 됐으나 이들이 중고생이라 봉사활동으로 선처 했다.
## ‘<진세연:PER>’배우 <진세연:PER>이 최근 또 다시 악플에 시달려 심각한 고민에 빠졌다.<진세연:PER>의 소속사 측은 허위사실 유포자에 대해 법적 수단을 동원할지 고민하고 있다.<31일:DAT> 소속사 <얼리버드엔터테인먼트:ORG> 측은 복수의 매체를 통해 “지난해 수사를 통해 <10여명:NOH>의 악플러이 법적 처벌을 받게 됐으나 이들이 중고생이라 봉사활동으로 선처 했다.
‘	‘	SS	O
진세연	진세연	NNP	B-PER
’	’	SS	O
배우	배우	NNG	O
_	_	_	O
진세연	진세연	NNP	B-PER
이	이	JKS	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
악	악	NNG	O
플	플	NNG	O
에	에	JKB	O
_	_	_	O
시달려	시달리+어	VV+EC	O
_	_	_	O
심각한	심각하+ㄴ	VA+ETM	O
_	_	_	O
고민	고민	NNG	O
에	에	JKB	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O
진세연	진세연	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
허위	허위	NNG	O
사실	사실	NNG	O
_	_	_	O
유포	유포	NNG	O
자	자	XSN	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
법적	법적	NNG	O
_	_	_	O
수단	수단	NNG	O
을	을	JKO	O
_	_	_	O
동원할지	동원하+ㄹ지	VV+EC	O
_	_	_	O
고민하	고민하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
얼리버드	얼리버드	NNP	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
복수	복수	NNG	O
의	의	JKG	O
_	_	_	O
매체	매체	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
지난해	지난해	NNG	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
10	10	SN	B-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
악플러	악플러	NNG	O
이	이	VCP	O
_	_	_	O
법적	법적	NNG	O
_	_	_	O
처벌	처벌	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
으나	으나	EC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
중고생	중고생	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
봉사	봉사	NNG	O
활동	활동	NNG	O
으로	으로	JKB	O
_	_	_	O
선처	선처	NNG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한 스리랑카 재봉공은 언론 인터뷰에서 “아이비 파크가 말하는 여성과 여성의 권리는 오직 외국인들에게만 적용이 된다”라고 꼬집었다.
## <한:NOH> 스리랑카 재봉공은 언론 인터뷰에서 “<아이비 파크:PER>가 말하는 여성과 여성의 권리는 오직 외국인들에게만 적용이 된다”라고 꼬집었다.
한	하+ㄴ	VV+ETM	B-NOH
_	_	_	O
스리랑카	스리랑카	NNP	O
_	_	_	O
재봉공	재봉공	NNG	O
은	은	JX	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
아이비	아이비	NNG	B-PER
_	_	_	I-PER
파크	파크	NNG	I-PER
가	가	JKS	O
