## 1
## 10 8번 아이라이너로 눈 밑 점막을 채워 넣고, 면봉으로 눈두덩을 살짝 올린 뒤 1번 아이라이너로 점막을 채운다.11 1번 아이라이너로 아이라인을 따라 속눈썹 윗부분을 채우고 눈꼬리는 위로 빼 그려놓은 라인과 연결한다.
## <10:NOH> <8번:NOH> 아이라이너로 눈 밑 점막을 채워 넣고, 면봉으로 눈두덩을 살짝 올린 뒤 <1번:NOH> 아이라이너로 점막을 채운다.<11:NOH> <1번:NOH> 아이라이너로 아이라인을 따라 속눈썹 윗부분을 채우고 눈꼬리는 위로 빼 그려놓은 라인과 연결한다.
10	10	SN	B-NOH
_	_	_	O
8	8	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
아이라이너	아이라이너	NNG	O
로	로	JKB	O
_	_	_	O
눈	눈	NNG	O
_	_	_	O
밑	밑	NNG	O
_	_	_	O
점막	점막	NNG	O
을	을	JKO	O
_	_	_	O
채	채우	VV	O
워	어	EC	O
_	_	_	O
넣	넣	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
면봉	면봉	NNG	O
으로	으로	JKB	O
_	_	_	O
눈두덩	눈두덩	NNG	O
을	을	JKO	O
_	_	_	O
살짝	살짝	MAG	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
1	1	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
아이라이너	아이라이너	NNG	O
로	로	JKB	O
_	_	_	O
점막	점막	NNG	O
을	을	JKO	O
_	_	_	O
채운다	채우+ㄴ다	VV+EF	O
.	.	SF	O
11	11	SN	B-NOH
_	_	_	O
1	1	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
아이라이너	아이라이너	NNG	O
로	로	JKB	O
_	_	_	O
아이라인	아이라인	NNG	O
을	을	JKO	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
속눈썹	속눈썹	NNG	O
_	_	_	O
윗부분	윗부분	NNG	O
을	을	JKO	O
_	_	_	O
채우	채우	VV	O
고	고	EC	O
_	_	_	O
눈꼬리	눈꼬리	NNG	O
는	는	JX	O
_	_	_	O
위	위	NNG	O
로	로	JKB	O
_	_	_	O
빼	빼+어	VV+EC	O
_	_	_	O
그려	그리+어	VV+EC	O
놓	놓	VX	O
은	은	ETM	O
_	_	_	O
라인	라인	NNG	O
과	과	JC	O
_	_	_	O
연결한다	연결하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 첼시는 성적 부진의 이유로 지난 18일에 조세 무리뉴 감독을 경질했으며, 이번 시즌이 끝날 때까지 히딩크를 새 사령탑으로 선임했다.지난 2009년 2월 첼시 임시 감독직을 맡았던 히딩크 감독은 FA컵 우승, 프리미어리그 3위, 챔피언스리그 4강 진출의 성과를 낸 바 있다.
## <첼시:ORG>는 성적 부진의 이유로 지난 <18일:DAT>에 <조세 무리뉴:PER> 감독을 경질했으며, 이번 시즌이 끝날 때까지 <히딩크:PER>를 새 사령탑으로 선임했다.지난 <2009년 2월:DAT> <첼시:ORG> 임시 감독직을 맡았던 <히딩크:PER> 감독은 <FA컵:POH> 우승, <프리미어리그:POH> <3위:NOH>, <챔피언스리그:POH> <4강:NOH> 진출의 성과를 낸 바 있다.
첼시	첼시	NNP	B-ORG
는	는	JX	O
_	_	_	O
성적	성적	NNG	O
_	_	_	O
부진	부진	NNG	O
의	의	JKG	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
_	_	_	O
조세	조세	NNG	B-PER
_	_	_	I-PER
무리	무리	NNG	I-PER
뉴	뉴	NNG	I-PER
_	_	_	O
감독	감독	NNG	O
을	을	JKO	O
_	_	_	O
경질	경질하	VV	O
