## 1
## 정지 상태에서 3.8초 만에 시속 100km까지 속도를 높일 수 있다.
## 정지 상태에서 <3.8초:NOH> 만에 시속 <100km:NOH>까지 속도를 높일 수 있다.
정지	정지	NNG	O
_	_	_	O
상태	상태	NNG	O
에서	에서	JKB	O
_	_	_	O
3.8	3.8	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
시속	시속	NNG	O
_	_	_	O
100	100	SN	B-NOH
km	km	SL	I-NOH
까지	까지	JX	O
_	_	_	O
속도	속도	NNG	O
를	를	JKO	O
_	_	_	O
높일	높이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 미국이 위대하지 않게 된 이유로 피부색이 다른 내 이웃을 지목하는 것 자체가 통합을 추구해 온 미국인에게 부담스러운 일이다.
## <미국:ORG>이 위대하지 않게 된 이유로 피부색이 다른 내 이웃을 지목하는 것 자체가 통합을 추구해 온 미국인에게 부담스러운 일이다.
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
위대하	위대하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
피부색	피부색	NNG	O
이	이	JKS	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
이웃	이웃	NNG	O
을	을	JKO	O
_	_	_	O
지목하	지목하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
자체	자체	NNG	O
가	가	JKS	O
_	_	_	O
통합	통합	NNG	O
을	을	JKO	O
_	_	_	O
추구해	추구하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
미국인	미국인	NNG	O
에게	에게	JKB	O
_	_	_	O
부담스러	부담스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
일	일	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 전기협은 이에 대해 『철도청과 철도노조가 합의한 잠정안은 기존의 변형 근로시간제를 더욱 강화하는 등 노조원들의 열망을 외면하고 있다』고 비난, 파업 강행의사를 고수했다.
## <전기협:ORG>은 이에 대해 『<철도청:ORG>과 <철도노조:ORG>가 합의한 잠정안은 기존의 변형 근로시간제를 더욱 강화하는 등 노조원들의 열망을 외면하고 있다』고 비난, 파업 강행의사를 고수했다.
전기협	전기협	NNP	B-ORG
은	은	JX	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
『	『	SS	O
철도청	철도청	NNG	B-ORG
과	과	JC	O
_	_	_	O
철도	철도	NNG	B-ORG
노조	노조	NNG	I-ORG
가	가	JKS	O
_	_	_	O
합의한	합의하+ㄴ	VV+ETM	O
_	_	_	O
잠정	잠정	NNG	O
안	안	NNG	O
은	은	JX	O
_	_	_	O
기존	기존	NNG	O
의	의	JKG	O
_	_	_	O
변형	변형	NNG	O
_	_	_	O
근로	근로	NNG	O
시간	시간	NNG	O
