## 1
## 늘어나는 관광객 수에 비해 제주 내 숙박시설은 부족한 실정이다.
## 늘어나는 관광객 수에 비해 <제주:LOC> 내 숙박시설은 부족한 실정이다.
늘어나	늘어나	VV	O
는	는	ETM	O
_	_	_	O
관광객	관광객	NNG	O
_	_	_	O
수	수	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
숙박	숙박	NNG	O
시설	시설	NNG	O
은	은	JX	O
_	_	_	O
부족한	부족하+ㄴ	VA+ETM	O
_	_	_	O
실정	실정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 서성건 변호사(56·17기) 손범규 변호사(50·28기) 채명성 변호사(38·36기) 등 4명이 선임계를 냈고 전직 헌법재판관 등 중량감 있는 인사도 참여할 예정이다.
## <서성건:PER> 변호사(<56:NOH>·<17기:NOH>) <손범규:PER> 변호사(<50:NOH>·<28기:NOH>) <채명성:PER> 변호사(<38:NOH>·<36기:NOH>) 등 <4명:NOH>이 선임계를 냈고 전직 헌법재판관 등 중량감 있는 인사도 참여할 예정이다.
서성건	서성건	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
(	(	SS	O
56	56	SN	B-NOH
·	·	SP	O
17	17	SN	B-NOH
기	기	NNG	I-NOH
)	)	SS	O
_	_	_	O
손범규	손범규	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
(	(	SS	O
50	50	SN	B-NOH
·	·	SP	O
28	28	SN	B-NOH
기	기	NNG	I-NOH
)	)	SS	O
_	_	_	O
채명성	채명성	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
(	(	SS	O
38	38	SN	B-NOH
·	·	SP	O
36	36	SN	B-NOH
기	기	NNG	I-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
선임	선임	NNG	O
계	계	XSN	O
를	를	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
고	고	EC	O
_	_	_	O
전직	전직	NNG	O
_	_	_	O
헌법	헌법	NNG	O
재판관	재판관	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
중량감	중량감	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
인사	인사	NNG	O
도	도	JX	O
_	_	_	O
참여할	참여하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 새정치민주연합이 ‘트리플 딜레마’에 빠져 있다.
## <새정치민주연합:ORG>이 ‘트리플 딜레마’에 빠져 있다.
새정치민주연합	새정치민주연합	NNP	B-ORG
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
트리플	트리플	NNG	O
_	_	_	O
딜레마	딜레마	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
빠져	빠지+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 금강제화는 1일 서울 중구 명동 본점에서 ‘로얄 에디션’ 등 신제품 출시를 기념하는 행사를 가졌다.
## <금강제화:ORG>는 <1일:DAT> <서울:LOC> <중구:LOC> <명동:LOC> 본점에서 ‘<로얄 에디션:POH>’ 등 신제품 출시를 기념하는 행사를 가졌다.
금강제화	금강제화	NNP	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
중	중	NNG	B-LOC
구	구	NNG	I-LOC
_	_	_	O
명동	명동	NNP	B-LOC
_	_	_	O
본점	본점	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
로얄	로얄	NNG	B-POH
_	_	_	I-POH
에디션	에디션	NNG	I-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
신제품	신제품	NNG	O
_	_	_	O
출시	출시	NNG	O
를	를	JKO	O
_	_	_	O
기념하	기념하	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
가	가지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그중에서도 터키와 아이슬란드는 국정교과서와 민간 발행 교과서를 혼용하고 있다.
## 그중에서도 <터키:LOC>와 <아이슬란드:LOC>는 국정교과서와 민간 발행 교과서를 혼용하고 있다.
