## 1
## 카메라G4는 후면 1600만, 전면 800만의 높은 화소수로 어두운 환경에서도 비교적 좋은 사진을 촬영할 수 있었다.
## 카메라<G4:POH>는 후면 <1600만:NOH>, 전면 <800만:NOH>의 높은 화소수로 어두운 환경에서도 비교적 좋은 사진을 촬영할 수 있었다.
카메라	카메라	NNG	O
G	G	SL	B-POH
4	4	SN	I-POH
는	는	JX	O
_	_	_	O
후	후+이	NNG+VCP	O
면	면	EC	O
_	_	_	O
1600	1600	SN	B-NOH
만	만	NR	I-NOH
,	,	SP	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
800	800	SN	B-NOH
만	만	NR	I-NOH
의	의	JKG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
화소	화소	NNG	O
수	수	NNG	O
로	로	JKB	O
_	_	_	O
어두	어둡	VA	O
운	ㄴ	ETM	O
_	_	_	O
환경	환경	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
비교적	비교적	NNG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
촬영할	촬영하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 근로자장기저축등 12종의 비과세 저축상품 가입자는 이자소득의 2%, 소액가계저축등 5종의 저율(5%)과세 저축상품 가입자는 이자소득의 1.5%에 해당하는 농특세를 각각 추가로 부담해야한다.
## 근로자장기저축등 <12종:NOH>의 비과세 저축상품 가입자는 이자소득의 <2%:PNT>, 소액가계저축등 <5종:NOH>의 저율(<5%:PNT>)과세 저축상품 가입자는 이자소득의 <1.5%:PNT>에 해당하는 농특세를 각각 추가로 부담해야한다.
근로자	근로자	NNG	O
장기	장기	NNG	O
저축	저축	NNG	O
등	등	NNB	O
_	_	_	O
12	12	SN	B-NOH
종	종	NNG	I-NOH
의	의	JKG	O
_	_	_	O
비과세	비과세	NNG	O
_	_	_	O
저축	저축	NNG	O
상품	상품	NNG	O
_	_	_	O
가입자	가입자	NNG	O
는	는	JX	O
_	_	_	O
이자	이자	NNG	O
소득	소득	NNG	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
소액	소액	NNG	O
가계	가계	NNG	O
저축	저축	NNG	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
종	종	NNG	I-NOH
의	의	JKG	O
_	_	_	O
저율	저율	NNG	O
(	(	SS	O
5	5	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
과세	과세	NNG	O
_	_	_	O
저축	저축	NNG	O
상품	상품	NNG	O
_	_	_	O
가입자	가입자	NNG	O
는	는	JX	O
_	_	_	O
이자	이자	NNG	O
소득	소득	NNG	O
의	의	JKG	O
_	_	_	O
1.5	1.5	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
해당하	해당하	VV	O
는	는	ETM	O
_	_	_	O
농특	농특	NNG	O
세	세	NNG	O
를	를	JKO	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
부담해야	부담하+여야	VV+EC	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 3
## 블루투스 기능이 탑재된 기어S2와 기어S2 클래식의 출고가는 각각 33만3300원, 37만4000원이다.
## 블루투스 기능이 탑재된 <기어S2:POH>와 <기어S2:POH> 클래식의 출고가는 각각 <33만3300원:MNY>, <37만4000원:MNY>이다.
블루	블루	NNG	O
투스	투스	NNP	O
_	_	_	O
기능	기능	NNG	O
이	이	JKS	O
_	_	_	O
탑재	탑재	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
기	기	VV	B-POH
어	어	EC	I-POH
S	S	SL	I-POH
2	2	SN	I-POH
와	와	JC	O
_	_	_	O
기	기	VV	B-POH
어	어	EC	I-POH
S	S	SL	I-POH
2	2	SN	I-POH
_	_	_	O
클래식	클래식	NNG	O
의	의	JKG	O
_	_	_	O
출고	출고	NNG	O
가	가	XSN	O
는	는	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
33	33	SN	B-MNY
만	만	NR	I-MNY
3300	3300	SN	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
37	37	SN	B-MNY
만	만	NR	I-MNY
4000	4000	SN	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 동국대에 따르면 이 기부자는 동국대 대외협력처장 종호 스님을 방문, 기부의사를 전했다.
## <동국대:ORG>에 따르면 이 기부자는 <동국대:ORG> 대외협력처장 <종호:PER> 스님을 방문, 기부의사를 전했다.
동국대	동국대	NNP	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
기부자	기부자	NNG	O
는	는	JX	O
_	_	_	O
동국대	동국대	NNP	B-ORG
_	_	_	O
대외	대외	NNG	O
협력	협력	NNG	O
처장	처장	NNG	O
_	_	_	O
종호	종호	NNP	B-PER
_	_	_	O
스님	스님	NNG	O
을	을	JKO	O
_	_	_	O
방문	방문	NNG	O
,	,	SP	O
_	_	_	O
기부	기부	NNG	O
의사	의사	NNG	O
를	를	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 맵시있는 팔 만들기, '에어 트레드밀'과 '스탠딩 슬레드'가 효과적…"어떻게 하는거지?"
## 맵시있는 팔 만들기, '<에어 트레드밀:POH>'과 '<스탠딩 슬레드:POH>'가 효과적…"어떻게 하는거지?"
맵시	맵시	NNG	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
팔	팔	NNG	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
,	,	SP	O
_	_	_	O
'	'	SS	O
에어	에어	NNG	B-POH
_	_	_	I-POH
트레드	트레드	NNG	I-POH
밀	밀	NNG	I-POH
'	'	SS	O
과	과	JKB	O
_	_	_	O
'	'	SS	O
스탠딩	스탠딩	NNG	B-POH
_	_	_	I-POH
슬	슬	NNG	I-POH
레드	레드	NNG	I-POH
'	'	SS	O
가	가	JKS	O
_	_	_	O
효과적	효과적	NNG	O
…	…	SE	O
"	"	SS	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
거	것+이	NNB+VCP	O
지	지	EF	O
?	?	SF	O
"	"	SS	O

## 6
## 두 형제는 너무 닮아서 경찰은 여섯 번이나 형의 거짓 진술을 알아차리지 못했다.
## <두:NOH> 형제는 너무 닮아서 경찰은 <여섯 번:NOH>이나 형의 거짓 진술을 알아차리지 못했다.
두	두	MM	B-NOH
_	_	_	O
형제	형제	NNG	O
는	는	JX	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
닮	닮	VV	O
아서	아서	EC	O
_	_	_	O
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
여섯	여섯	NR	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
이나	이나	JC	O
_	_	_	O
형	형	NNG	O
의	의	JKG	O
_	_	_	O
거짓	거짓	NNG	O
_	_	_	O
진술	진술	NNG	O
을	을	JKO	O
_	_	_	O
알아차리	알아차리	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 중앙선관위측은 『법으로만 보면 이번 통합선거법은 영국이 선거부정을 막기위해 1883년에 제정했던 부패방지법에 못지 않다』고 말한다.
## 중앙선관위측은 『법으로만 보면 이번 통합선거법은 <영국:ORG>이 선거부정을 막기위해 <1883년:DAT>에 제정했던 부패방지법에 못지 않다』고 말한다.
중앙	중앙	NNG	O
선관위	선관위	NNG	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
『	『	SS	O
법	법	NNG	O
으로	으로	JKB	O
만	만	JX	O
_	_	_	O
보	보	VV	O
면	면	EC	O
