## 1
## 이날 오후 영등포 타임스퀘어에서 레드카펫 행사에 참여한 잭 블랙은 21일 MBC 예능프로그램 ‘무한도전’ 녹화에도 참여한다.
## 이날 오후 <영등포 타임스퀘어:LOC>에서 레드카펫 행사에 참여한 <잭 블랙:PER>은 <21일:DAT> <MBC:POH> 예능프로그램 ‘<무한도전:POH>’ 녹화에도 참여한다.
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
영등포	영등포	NNP	B-LOC
_	_	_	I-LOC
타임스퀘어	타임스퀘어	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
레드	레드	NNG	O
카펫	카펫	NNG	O
_	_	_	O
행사	행사	NNG	O
에	에	JKB	O
_	_	_	O
참여한	참여하+ㄴ	VV+ETM	O
_	_	_	O
잭	잭	NNP	B-PER
_	_	_	I-PER
블랙	블랙	NNG	I-PER
은	은	JX	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	O
예능	예능	NNG	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
_	_	_	O
녹화	녹화	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
참여한다	참여하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 예컨대 동북공정, 독도 관련 분야는 이 문제를 전담하는 동북아역사재단에서 원고를 받는 게 합당하다고 봤다.
## 예컨대 <동북공정:POH>, <독도:LOC> 관련 분야는 이 문제를 전담하는 <동북아역사재단:ORG>에서 원고를 받는 게 합당하다고 봤다.
예컨대	예컨데	MAG	O
_	_	_	O
동북	동북	NNG	B-POH
공정	공정	NNG	I-POH
,	,	SP	O
_	_	_	O
독도	독도	NNP	B-LOC
_	_	_	O
관련	관련	NNG	O
_	_	_	O
분야	분야	NNG	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
전담하	전담하	VV	O
는	는	ETM	O
_	_	_	O
동북아	동북아	NNP	B-ORG
역사	역사	NNG	I-ORG
재단	재단	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
원고	원고	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
합당하	합당하	VA	O
다고	다고	EC	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김 할머니는 위안부 피해자 조사·등록이 시작된 1992년 정부에서 할머니가 다녔던 초등학교의 강제 동원 명부를 확인하면서 피해자로 등록됐다.
## <김:PER> 할머니는 <위안부:ORG> 피해자 조사·등록이 시작된 <1992년:DAT> 정부에서 할머니가 다녔던 초등학교의 강제 동원 명부를 확인하면서 피해자로 등록됐다.
김	김	NNP	B-PER
_	_	_	O
할머니	할머니	NNG	O
는	는	JX	O
_	_	_	O
위안부	위안부	NNG	B-ORG
_	_	_	O
피해자	피해자	NNG	O
_	_	_	O
조사	조사	NNG	O
·	·	SP	O
등록	등록	NNG	O
이	이	JKS	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
1992	1992	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
정부	정부	NNG	O
에서	에서	JKB	O
_	_	_	O
할머니	할머니	NNG	O
가	가	JKS	O
_	_	_	O
다	다니	VV	O
녔	었	EP	O
던	던	ETM	O
_	_	_	O
초등학교	초등학교	NNG	O
의	의	JKG	O
_	_	_	O
강제	강제	NNG	O
_	_	_	O
동원	동원	NNG	O
_	_	_	O
명부	명부	NNG	O
를	를	JKO	O
_	_	_	O
확인하	확인하	VV	O
면서	면서	EC	O
_	_	_	O
피해자	피해자	NNG	O
로	로	JKB	O
_	_	_	O
등록	등록되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## TPP는 미국의 비준 없이 발효될 수 없다.
