## 1
## 섣부른 정치 파업으로 조선업체의 ‘버티기’를 흔드는 것은 중국이나 일본 등 경쟁국 조선업체들만 이롭게 할 뿐이다.
## 섣부른 정치 파업으로 조선업체의 ‘버티기’를 흔드는 것은 <중국:ORG>이나 <일본:ORG> 등 경쟁국 조선업체들만 이롭게 할 뿐이다.
섣부른	섣부르+ㄴ	VA+ETM	O
_	_	_	O
정치	정치	NNG	O
_	_	_	O
파업	파업	NNG	O
으로	으로	JKB	O
_	_	_	O
조선	조선	NNP	O
업체	업체	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
버티	버티	VV	O
기	기	ETN	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
흔드	흔들	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
이나	이나	JC	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
경쟁국	경쟁국	NNG	O
_	_	_	O
조선	조선	NNP	O
업체	업체	NNG	O
들	들	XSN	O
만	만	JX	O
_	_	_	O
이롭	이롭	VA	O
게	게	EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
뿐	뿐	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 박유천 고소女 ‘무고·공갈미수’ 혐의로 구속 기소
## <박유천:PER> 고소女 ‘무고·공갈미수’ 혐의로 구속 기소
박유천	박유천	NNP	B-PER
_	_	_	O
고소	고소	NNG	O
女	女	SH	O
_	_	_	O
‘	‘	SS	O
무고	무고	NNG	O
·	·	SP	O
공갈	공갈	NNG	O
미수	미수	NNG	O
’	’	SS	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
구속	구속	NNG	O
_	_	_	O
기소	기소	NNG	O

## 3
## 시 대상 1억원 손배소
## 시 대상 <1억원:MNY> 손배소
시	시	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
손배소	손배소	NNG	O

## 4
## 제목은 ‘대위법 80년대’ 혹은 ‘푸가 1980’ 등을 고려하고 있다.
## 제목은 ‘<대위법 80년대:POH>’ 혹은 ‘<푸가 1980:POH>’ 등을 <고려:ORG>하고 있다.
제목	제목	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
대위법	대위법	NNG	B-POH
_	_	_	I-POH
80	80	SN	I-POH
년대	년대	NNB	I-POH
’	’	SS	O
_	_	_	O
혹은	혹은	MAG	O
_	_	_	O
‘	‘	SS	O
푸가	푸가	NNG	B-POH
_	_	_	I-POH
1980	1980	SN	I-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
고려하	고려하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 이에 민주당의 비문(非문재인)계와 지지율이 주춤하고 있는 바른정당 등의 연대 논의가 오갈 것으로 보인다.
## 이에 <민주당:ORG>의 비문(非<문재인:PER>)계와 지지율이 주춤하고 있는 <바른정당:ORG> 등의 연대 논의가 오갈 것으로 보인다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
민주당	민주당	NNP	B-ORG
의	의	JKG	O
_	_	_	O
비문	비문	NNG	O
(	(	SS	O
非	非	SH	O
문재인	문재인	NNP	B-PER
)	)	SS	O
계	계	XSN	O
와	와	JC	O
_	_	_	O
지지율	지지율	NNG	O
이	이	JKS	O
_	_	_	O
주춤하	주춤하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
바른	바른	MM	B-ORG
정당	정당	NNG	I-ORG
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
연대	연대	NNG	O
_	_	_	O
논의	논의	NNG	O
가	가	JKS	O
_	_	_	O
오갈	오가+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 산업연구원은 6월 ‘제조 강국으로 도약하는 중국’ 보고서에서 “양국의 산업 발전 방향이 거의 일치한다”고 분석했다.
## 산업연구원은 <6월:DAT> ‘제조 강국으로 도약하는 <중국:ORG>’ 보고서에서 “양국의 산업 발전 방향이 거의 일치한다”고 분석했다.
산업	산업	NNG	O
연구원	연구원	NNG	O
은	은	JX	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
제조	제조	NNG	O
_	_	_	O
강국	강국	NNG	O
으로	으로	JKB	O
_	_	_	O
도약하	도약하	VV	O
는	는	ETM	O
_	_	_	O
중국	중국	NNP	B-ORG
’	’	SS	O
_	_	_	O
보고서	보고서	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
양국	양국	NNG	O
의	의	JKG	O
_	_	_	O
산업	산업	NNG	O
_	_	_	O
발전	발전	NNG	O
_	_	_	O
방향	방향	NNG	O
이	이	JKS	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
일치한다	일치하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## LH, 입주단지 승강기 대상 정밀점검 실시
## <LH:ORG>, 입주단지 승강기 대상 정밀점검 실시
LH	LH	SL	B-ORG
,	,	SP	O
_	_	_	O
입주	입주	NNG	O
단지	단지	NNG	O
_	_	_	O
승강기	승강기	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
정밀	정밀	NNG	O
점검	점검	NNG	O
_	_	_	O
실시	실시	NNG	O

## 8
## 미국은 유럽의 다른 국가에도 불법 거래를 문제 삼아 칼을 겨누고 있어 확전 가능성을 배제할 수 없는 상황이다.
## <미국:ORG>은 <유럽:LOC>의 다른 국가에도 불법 거래를 문제 삼아 칼을 겨누고 있어 확전 가능성을 배제할 수 없는 상황이다.
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
유럽	유럽	NNP	B-LOC
의	의	JKG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
국가	국가	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
거래	거래	NNG	O
를	를	JKO	O
_	_	_	O
문제	문제	NNG	O
_	_	_	O
삼	삼	VV	O
아	아	EC	O
_	_	_	O
칼	칼	NNG	O
을	을	JKO	O
_	_	_	O
겨누	겨누	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
확전	확전	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
배제할	배제하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 현지 교민 650여 명과 여행 중인 한국인 보호에도 차질이 없도록 해야 할 것이다.
## 현지 교민 <650여 명:NOH>과 여행 중인 한국인 보호에도 차질이 없도록 해야 할 것이다.
현지	현지	NNG	O
_	_	_	O
교민	교민	NNG	O
_	_	_	O
650	650	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
과	과	JC	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
한국인	한국인	NNG	O
